"V4","V7","V25","V29","V30","V31","V41","Class"
70,66,74,54,67,54,62,"1"
69,82,79,70,71,69,73,"1"
70,64,47,68,72,59,55,"1"
70,63,74,54,70,73,73,"1"
61,58,70,40,58,46,64,"1"
68,74,71,55,61,68,77,"1"
62,71,69,65,68,65,68,"1"
60,72,60,59,64,59,58,"1"
67,67,78,36,68,65,79,"1"
72,61,57,49,55,65,67,"1"
60,60,60,69,68,68,76,"1"
65,70,73,51,70,68,61,"1"
78,67,76,67,67,57,65,"1"
67,60,67,50,67,61,68,"1"
68,69,62,67,66,62,62,"1"
73,56,59,60,70,60,60,"1"
66,46,54,41,59,59,44,"1"
69,62,68,53,66,60,67,"1"
66,75,63,66,66,61,67,"1"
82,74,75,69,66,66,71,"1"
66,58,72,71,71,67,69,"1"
65,67,70,70,49,48,72,"1"
58,60,71,71,49,43,70,"1"
52,89,72,31,17,20,30,"1"
54,50,73,66,54,41,54,"1"
62,58,68,54,69,70,67,"1"
75,68,65,60,67,66,61,"1"
71,71,66,63,62,59,67,"1"
75,72,78,62,64,63,59,"1"
75,59,67,68,48,47,52,"1"
70,71,66,63,67,65,65,"1"
68,63,55,57,41,35,43,"1"
66,62,48,59,66,66,74,"1"
75,67,50,73,61,61,58,"1"
71,75,68,56,62,68,65,"1"
76,68,72,61,59,70,60,"1"
66,69,71,64,66,67,71,"1"
68,59,53,50,67,71,72,"1"
79,73,72,54,49,56,64,"1"
65,64,69,44,66,59,67,"1"
64,58,73,67,65,69,71,"0"
68,70,74,68,66,69,77,"0"
69,59,79,66,68,65,75,"0"
70,75,68,69,71,74,73,"0"
79,76,69,61,69,68,76,"0"
74,72,68,60,54,56,70,"0"
74,69,68,70,58,65,68,"0"
71,69,65,65,71,68,71,"0"
77,66,81,63,63,67,75,"0"
74,74,68,67,76,74,76,"0"
71,70,81,79,73,75,74,"0"
68,72,73,52,67,68,75,"0"
72,62,73,67,69,69,69,"0"
69,68,69,59,69,69,74,"0"
70,70,68,68,70,75,72,"0"
73,73,75,60,74,71,76,"0"
78,67,75,67,67,65,67,"0"
75,68,67,67,61,63,67,"0"
66,71,77,74,64,63,77,"0"
73,68,75,78,68,69,72,"0"
67,70,68,64,68,68,77,"0"
78,68,74,57,62,64,77,"0"
74,67,62,62,67,73,72,"0"
53,74,71,64,67,71,71,"0"
63,70,70,71,70,71,79,"0"
66,76,76,60,70,72,72,"0"
69,65,74,68,68,68,74,"0"
75,71,76,68,72,75,72,"0"
80,69,74,65,61,65,72,"0"
73,70,80,62,74,68,66,"0"
68,68,69,64,56,61,64,"0"
70,72,76,61,68,76,77,"0"
74,63,76,58,69,66,80,"0"
71,66,75,82,69,72,72,"0"
75,70,79,66,69,68,78,"0"
72,71,72,58,63,69,71,"0"
67,68,72,70,71,77,68,"0"
73,77,64,61,64,69,75,"0"
72,74,60,69,70,69,75,"0"
69,69,73,57,70,68,69,"0"
