"V2","V4","V9","V15","V18","V19","V20","V22","V23","V26","V27","V31","V32","V34","V37","V40","V42","V45","Class"
59,70,61,77,67,55,61,68,66,63,64,54,76,65,56,72,74,67,1
72,69,65,74,72,75,66,73,78,74,69,69,72,62,71,69,67,58,1
71,70,65,65,73,71,75,80,74,53,37,59,72,60,70,64,61,46,1
69,70,65,75,60,55,62,67,66,64,60,73,69,62,61,72,68,63,1
70,61,69,71,74,75,70,83,77,41,37,46,75,65,69,70,60,41,1
57,68,71,69,60,55,71,79,70,65,63,68,75,63,58,79,72,65,1
69,62,76,80,71,77,65,72,67,65,57,65,76,63,70,69,70,59,1
61,60,67,71,74,70,75,69,62,66,65,59,72,55,66,60,60,52,1
65,67,71,69,67,62,74,80,76,53,47,65,74,60,63,77,68,56,1
74,72,66,57,62,50,67,79,70,52,36,65,74,58,62,62,60,46,1
70,60,77,70,76,75,63,67,74,54,44,68,74,61,67,64,64,49,1
67,65,72,76,74,73,69,78,70,70,70,68,79,75,71,65,73,67,1
76,78,70,75,76,68,81,77,78,66,76,57,68,50,59,75,74,48,1
70,67,77,79,77,76,63,68,65,59,52,61,74,67,66,74,77,62,1
78,68,74,71,66,68,61,75,71,64,66,62,74,61,66,71,69,59,1
67,73,63,62,68,62,65,77,69,64,55,60,72,58,59,74,76,56,1
70,66,58,58,73,59,76,82,57,58,30,59,67,62,55,65,73,28,1
63,69,57,78,61,54,70,72,67,57,55,60,76,73,58,77,78,58,1
62,66,59,65,66,66,71,80,74,62,72,61,73,59,62,76,77,58,1
80,82,77,72,66,68,63,69,75,59,64,66,70,62,65,74,66,62,1
63,66,74,67,58,66,68,72,74,77,75,67,75,60,70,70,71,61,1
70,65,74,74,71,71,74,77,78,67,65,48,73,65,73,73,73,64,1
61,58,75,59,73,76,71,83,84,69,69,43,59,56,72,69,65,62,1
70,52,72,59,39,37,35,59,52,23,46,20,49,61,13,31,57,57,1
75,54,69,48,73,77,46,68,59,54,60,41,53,58,65,64,36,52,1
77,62,68,75,77,74,61,72,76,56,53,70,73,65,68,71,60,57,1
75,75,77,73,69,69,67,77,68,58,54,66,75,63,64,73,52,37,1
78,71,74,73,65,65,73,81,80,59,44,59,71,59,61,62,44,30,1
69,75,72,72,68,62,62,67,67,64,68,63,75,66,65,64,74,67,1
72,75,63,48,69,68,68,68,75,68,71,47,74,63,62,56,69,73,1
64,70,71,66,69,69,61,56,60,69,71,65,62,52,66,64,71,63,1
72,68,61,57,54,52,57,78,78,35,37,35,67,75,46,53,38,26,1
79,66,70,65,76,71,68,72,71,23,26,66,72,56,63,70,34,12,1
66,75,81,64,74,74,56,74,78,37,38,61,73,61,66,46,35,20,1
65,71,83,68,69,76,72,76,80,57,59,68,75,65,73,63,65,42,1
71,76,68,58,70,74,74,71,78,69,72,70,72,61,71,64,72,63,1
70,66,61,71,71,73,80,82,82,52,47,67,66,58,65,70,67,53,1
73,68,76,53,60,56,56,80,79,19,14,71,63,49,65,57,31,11,1
68,79,78,71,61,63,52,64,74,36,44,56,73,65,60,58,52,50,1
68,65,73,71,73,68,63,76,73,48,59,59,75,64,61,74,51,45,1
62,64,74,71,64,74,64,74,77,59,58,69,78,61,67,71,71,61,0
62,68,77,74,76,75,66,73,73,63,67,69,78,69,73,73,72,66,0
59,69,73,66,71,66,69,75,73,69,65,65,75,59,64,81,74,66,0
75,70,75,72,76,70,67,74,75,69,68,74,75,63,69,70,66,59,0
77,79,81,73,67,73,63,72,67,68,64,68,73,70,70,73,79,63,0
68,74,75,77,67,67,70,78,82,63,60,56,70,59,58,73,69,41,0
76,74,76,62,67,66,73,80,81,75,69,65,79,74,64,78,75,60,0
61,71,69,72,70,73,61,69,79,62,66,68,67,59,65,74,69,59,0
