"V2","V5","V8","V16","V18","V19","V20","V25","V27","V29","V30","V31","V34","V38","V39","V40","V41","V42","V44","V45","Class"
59,67,72,66,67,55,61,74,64,54,67,54,65,62,56,72,62,74,64,67,1
72,67,74,70,72,75,66,79,69,70,71,69,62,63,60,69,73,67,56,58,1
71,64,79,61,73,71,75,47,37,68,72,59,60,66,65,64,55,61,51,46,1
69,78,67,65,60,55,62,74,60,54,70,73,62,66,65,72,73,68,59,63,1
70,66,69,63,74,75,70,70,37,40,58,46,65,70,66,70,64,60,49,41,1
57,75,73,61,60,55,71,71,63,55,61,68,63,69,67,79,77,72,61,65,1
69,75,72,66,71,77,65,69,57,65,68,65,63,72,72,69,68,70,63,59,1
61,62,68,76,74,70,75,60,65,59,64,59,55,66,60,60,58,60,49,52,1
65,68,71,56,67,62,74,78,47,36,68,65,60,74,63,77,79,68,59,56,1
74,79,76,48,62,50,67,57,36,49,55,65,58,73,69,62,67,60,53,46,1
70,62,71,69,76,75,63,60,44,69,68,68,61,64,68,64,76,64,54,49,1
67,77,72,74,74,73,69,73,70,51,70,68,75,69,63,65,61,73,64,67,1
76,73,75,74,76,68,81,76,76,67,67,57,50,47,49,75,65,74,51,48,1
70,66,76,70,77,76,63,67,52,50,67,61,67,73,68,74,68,77,65,62,1
78,74,63,64,66,68,61,62,66,67,66,62,61,68,65,71,62,69,61,59,1
67,65,72,70,68,62,65,59,55,60,70,60,58,71,62,74,60,76,62,56,1
70,66,74,68,73,59,76,54,30,41,59,59,62,65,56,65,44,73,51,28,1
63,72,65,64,61,54,70,68,55,53,66,60,73,75,70,77,67,78,64,58,1
62,57,68,67,66,66,71,63,72,66,66,61,59,73,73,76,67,77,62,58,1
80,77,73,62,66,68,63,75,64,69,66,66,62,67,66,74,71,66,59,62,1
63,55,69,73,58,66,68,72,75,71,71,67,60,65,62,70,69,71,58,61,1
70,62,77,64,71,71,74,70,65,70,49,48,65,75,71,73,72,73,65,64,1
61,62,67,66,73,76,71,71,69,71,49,43,56,70,73,69,70,65,65,62,1
70,58,70,40,39,37,35,72,46,31,17,20,61,40,23,31,30,57,41,57,1
75,51,68,61,73,77,46,73,60,66,54,41,58,33,23,64,54,36,45,52,1
77,68,72,62,77,74,61,68,53,54,69,70,65,67,66,71,67,60,53,57,1
75,79,79,57,69,69,67,65,54,60,67,66,63,72,69,73,61,52,34,37,1
78,72,75,59,65,65,73,66,44,63,62,59,59,77,76,62,67,44,44,30,1
69,74,75,70,68,62,62,78,68,62,64,63,66,62,63,64,59,74,63,67,1
72,67,64,61,69,68,68,67,71,68,48,47,63,64,67,56,52,69,59,73,1
64,75,74,69,69,69,61,66,71,63,67,65,52,61,56,64,65,71,57,63,1
72,62,79,43,54,52,57,55,37,57,41,35,75,63,62,53,43,38,32,26,1
79,63,78,68,76,71,68,48,26,59,66,66,56,66,69,70,74,34,11,12,1
66,72,74,58,74,74,56,50,38,73,61,61,61,60,71,46,58,35,24,20,1
65,72,76,63,69,76,72,68,59,56,62,68,65,66,70,63,65,65,53,42,1
71,74,67,71,70,74,74,72,72,61,59,70,61,59,64,64,60,72,55,63,1
70,68,64,73,71,73,80,71,47,64,66,67,58,71,67,70,71,67,52,53,1
73,74,73,25,60,56,56,53,14,50,67,71,49,62,58,57,72,31,15,11,1
68,78,68,58,61,63,52,72,44,54,49,56,65,63,70,58,64,52,49,50,1
68,68,77,61,73,68,63,69,59,44,66,59,64,70,69,74,67,51,45,45,1
62,70,67,60,64,74,64,73,58,67,65,69,61,72,74,71,71,71,66,61,0
62,70,73,71,76,75,66,74,67,68,66,69,69,72,71,73,77,72,64,66,0
59,67,78,66,71,66,69,79,65,66,68,65,59,73,71,81,75,74,69,66,0
75,77,75,64,76,70,67,68,68,69,71,74,63,66,63,70,73,66,58,59,0
77,77,76,72,67,73,63,69,64,61,69,68,70,70,70,73,76,79,65,63,0
68,80,78,66,67,67,70,68,60,60,54,56,59,50,51,73,70,69,42,41,0
76,76,76,69,67,66,73,68,69,70,58,65,74,65,62,78,68,75,62,60,0
61,68,77,71,70,73,61,65,66,65,71,68,59,60,68,74,71,69,63,59,0
67,74,67,62,65,65,73,81,65,63,63,67,63,73,72,76,75,72,65,64,0
71,74,69,70,71,68,72,68,60,67,76,74,67,70,74,83,76,74,54,54,0
64,69,75,71,75,76,73,81,70,79,73,75,65,59,62,71,74,68,58,57,0
76,78,72,60,63,67,59,73,56,52,67,68,65,69,74,77,75,74,63,61,0
74,75,67,64,65,69,79,73,62,67,69,69,66,71,73,66,69,62,55,56,0
65,76,65,66,64,62,73,69,59,59,69,69,65,69,64,69,74,69,62,57,0
59,76,65,63,74,67,78,68,64,68,70,75,59,64,64,65,72,61,51,55,0
76,69,74,68,69,70,60,75,64,60,74,71,61,62,63,73,76,62,52,59,0
71,78,75,67,66,67,66,75,72,67,67,65,61,51,57,77,67,78,60,59,0
80,75,74,66,67,75,74,67,58,67,61,63,66,77,74,69,67,65,61,58,0
68,72,77,65,72,77,69,77,69,74,64,63,58,75,77,77,77,69,65,64,0
67,78,72,69,70,68,65,75,66,78,68,69,65,62,72,69,72,70,60,59,0
72,69,74,65,70,77,69,68,58,64,68,68,62,73,77,74,77,71,63,65,0
62,84,72,54,63,67,54,74,57,57,62,64,62,64,67,72,77,62,61,65,0
69,76,69,58,66,70,67,62,61,62,67,73,58,66,76,70,72,64,60,56,0
59,60,67,68,72,70,70,71,71,64,67,71,62,57,57,64,71,70,53,49,0
66,70,73,71,71,69,65,70,64,71,70,71,58,70,72,77,79,79,66,66,0
62,68,68,63,71,68,58,76,70,60,70,72,67,63,63,70,72,75,62,59,0
71,71,76,63,74,71,58,74,66,68,68,68,59,73,71,78,74,68,57,55,0
63,72,69,70,76,73,68,76,73,68,72,75,65,58,57,72,72,68,57,58,0
74,78,74,62,68,68,67,74,62,65,61,65,63,70,74,63,72,68,61,64,0
69,72,66,65,63,58,63,80,77,62,74,68,70,59,58,69,66,74,62,59,0
70,67,76,70,74,68,65,69,63,64,56,61,66,57,48,75,64,79,59,58,0
65,78,72,62,65,62,72,76,67,61,68,76,65,64,67,67,77,66,59,57,0
64,70,70,65,65,63,63,76,68,58,69,66,64,63,65,75,80,74,71,67,0
70,74,72,64,73,72,75,75,70,82,69,72,60,64,64,73,72,66,54,58,0
72,80,76,67,69,69,73,79,64,66,69,68,63,74,77,81,78,79,65,66,0
70,72,71,59,67,64,74,72,61,58,63,69,64,68,70,70,71,64,56,54,0
59,71,68,75,67,64,62,72,79,70,71,77,56,56,53,71,68,64,56,56,0
67,75,74,68,66,69,67,64,71,61,64,69,64,65,60,68,75,74,67,68,0
68,72,76,63,68,68,70,60,48,69,70,69,63,71,73,73,75,68,58,44,0
66,66,75,71,70,69,66,73,63,57,70,68,65,65,64,67,69,71,59,59,0
