"V4","V5","V23","V27","V30","V40","V41","V43","Class"
70,67,66,64,67,72,62,74,"1"
69,67,78,69,71,69,73,71,"1"
70,64,74,37,72,64,55,41,"1"
70,78,66,60,70,72,73,68,"1"
61,66,77,37,58,70,64,55,"1"
68,75,70,63,61,79,77,70,"1"
62,75,67,57,68,69,68,73,"1"
60,62,62,65,64,60,58,67,"1"
67,68,76,47,68,77,79,70,"1"
72,79,70,36,55,62,67,56,"1"
60,62,74,44,68,64,76,61,"1"
65,77,70,70,70,65,61,73,"1"
78,73,78,76,67,75,65,70,"1"
67,66,65,52,67,74,68,69,"1"
68,74,71,66,66,71,62,67,"1"
73,65,69,55,70,74,60,65,"1"
66,66,57,30,59,65,44,36,"1"
69,72,67,55,66,77,67,68,"1"
66,57,74,72,66,76,67,71,"1"
82,77,75,64,66,74,71,71,"1"
66,55,74,75,71,70,69,70,"1"
65,62,78,65,49,73,72,70,"1"
58,62,84,69,49,69,70,68,"1"
52,58,52,46,17,31,30,67,"1"
54,51,59,60,54,64,54,46,"1"
62,68,76,53,69,71,67,60,"1"
75,79,68,54,67,73,61,44,"1"
71,72,80,44,62,62,67,42,"1"
75,74,67,68,64,64,59,75,"1"
75,67,75,71,48,56,52,83,"1"
70,75,60,71,67,64,65,73,"1"
68,62,78,37,41,53,43,35,"1"
66,63,71,26,66,70,74,33,"1"
75,72,78,38,61,46,58,37,"1"
71,72,80,59,62,63,65,67,"1"
76,74,78,72,59,64,60,61,"1"
66,68,82,47,66,70,71,64,"1"
68,74,79,14,67,57,72,30,"1"
79,78,74,44,49,58,64,57,"1"
65,68,73,59,66,74,67,48,"1"
64,70,77,58,65,71,71,69,"0"
68,70,73,67,66,73,77,76,"0"
69,67,73,65,68,81,75,65,"0"
70,77,75,68,71,70,73,68,"0"
79,77,67,64,69,73,76,73,"0"
74,80,82,60,54,73,70,65,"0"
74,76,81,69,58,78,68,68,"0"
71,68,79,66,71,74,71,68,"0"
77,74,76,65,63,76,75,74,"0"
74,74,78,60,76,83,76,73,"0"
71,69,78,70,73,71,74,67,"0"
68,78,72,56,67,77,75,70,"0"
72,75,80,62,69,66,69,65,"0"
69,76,74,59,69,69,74,70,"0"
70,76,73,64,70,65,72,61,"0"
73,69,76,64,74,73,76,69,"0"
78,78,80,72,67,77,67,76,"0"
75,75,77,58,61,69,67,66,"0"
66,72,78,69,64,77,77,77,"0"
73,78,68,66,68,69,72,68,"0"
67,69,79,58,68,74,77,72,"0"
78,84,71,57,62,72,77,62,"0"
74,76,72,61,67,70,72,68,"0"
53,60,78,71,67,64,71,69,"0"
63,70,78,64,70,77,79,79,"0"
66,68,66,70,70,70,72,79,"0"
69,71,78,66,68,78,74,70,"0"
75,72,76,73,72,72,72,71,"0"
80,78,80,62,61,63,72,70,"0"
73,72,76,77,74,69,66,75,"0"
68,67,75,63,56,75,64,74,"0"
70,78,78,67,68,67,77,66,"0"
74,70,73,68,69,75,80,67,"0"
71,74,81,70,69,73,72,63,"0"
75,80,77,64,69,81,78,75,"0"
72,72,77,61,63,70,71,67,"0"
67,71,75,79,71,71,68,63,"0"
73,75,75,71,64,68,75,80,"0"
72,72,77,48,70,73,75,56,"0"
69,66,72,63,70,67,69,68,"0"
