"V2","V4","V5","V7","V9","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41"
67,73,78,63,60,62,76,79,70,70,67,65,67,75,63,74,77
75,71,71,58,64,68,73,72,66,60,66,70,64,70,64,69,66
83,66,67,74,72,68,73,69,63,57,53,67,60,74,69,68,54
72,65,65,61,78,69,71,65,64,60,69,70,69,72,61,71,72
62,69,61,63,68,65,73,75,76,67,69,66,71,61,54,72,73
68,67,67,72,72,71,69,67,64,59,65,73,70,69,63,77,71
80,77,76,68,76,66,75,66,58,62,66,55,40,71,67,59,45
68,62,58,57,78,53,77,49,53,44,74,64,66,63,52,77,74
77,71,69,66,55,67,76,71,63,44,25,21,18,79,57,19,16
69,73,74,67,73,65,71,69,40,38,59,67,67,78,65,74,73
65,70,71,63,70,51,65,48,58,43,62,71,70,73,71,62,59
65,73,75,61,65,62,72,50,39,36,51,41,43,70,56,49,43
71,65,80,67,77,68,78,77,60,59,61,53,46,75,67,62,60
64,52,46,54,78,68,78,32,40,43,78,49,49,39,31,60,56
62,65,65,31,66,54,78,47,27,34,78,68,68,68,60,68,71
57,62,50,57,44,24,72,71,42,44,74,29,19,77,65,27,12
67,61,61,62,74,68,75,70,67,63,67,69,66,77,64,75,66
62,73,68,71,76,52,59,55,72,65,70,69,66,66,61,74,68
67,54,48,67,78,61,67,50,39,33,50,57,50,41,38,61,48
65,67,58,79,71,50,65,62,63,70,55,59,52,60,59,57,52
71,75,74,69,73,63,81,60,39,39,72,58,64,71,56,57,63
73,76,61,52,46,59,66,58,30,14,41,54,41,66,77,58,47
77,77,79,59,68,54,71,63,43,38,49,53,42,73,62,55,43
66,72,74,61,65,58,59,72,54,45,64,61,60,74,58,75,74
69,67,67,61,67,71,69,72,51,39,50,64,63,70,59,66,67
74,69,75,57,68,62,72,66,60,57,62,59,38,66,71,70,50
66,78,75,64,66,69,69,63,51,50,43,41,49,74,67,65,69
79,73,78,65,71,54,64,67,60,57,51,65,68,75,66,71,67
61,64,65,66,67,62,78,80,76,76,73,65,73,63,53,73,73
63,70,72,70,72,67,77,66,62,59,58,61,65,75,63,68,70
73,74,73,75,77,60,76,80,72,69,59,71,68,79,68,68,66
66,67,72,71,71,67,80,69,70,65,65,62,66,76,59,70,75
55,71,74,25,27,64,75,58,42,37,54,20,15,73,66,24,35
70,68,70,54,67,70,55,61,46,49,52,66,72,65,62,67,70
71,77,82,63,71,64,79,65,63,63,67,68,70,77,60,71,75
57,74,68,76,62,67,71,71,69,65,63,54,63,74,73,71,71
72,70,72,69,73,71,78,67,62,60,59,69,66,75,57,69,64
60,74,68,48,60,48,52,42,20,23,60,38,41,70,64,65,55
33,38,54,52,50,29,78,67,62,47,57,23,26,74,52,11,13
58,62,73,41,54,77,64,58,60,59,70,45,40,74,52,36,39
58,57,43,57,53,58,61,56,48,63,77,13,7,52,54,17,6
77,70,71,66,75,72,79,64,60,55,68,76,74,75,65,73,73
65,67,61,57,74,69,73,70,47,39,75,67,64,66,53,74,63
77,76,78,34,63,26,56,47,12,6,23,56,48,55,63,56,57
64,76,72,52,66,63,73,67,49,42,51,58,48,73,76,72,51
57,67,82,67,70,64,69,63,54,50,53,59,60,74,72,73,70
58,74,71,60,59,39,78,57,56,56,61,60,62,76,59,61,74
61,64,74,55,63,67,66,62,43,35,65,61,56,73,59,55,61
67,73,76,69,81,68,81,69,59,63,63,67,66,73,61,69,63
69,75,73,64,66,75,69,74,48,48,66,64,68,71,60,65,70
77,68,70,70,79,57,47,77,62,66,62,57,69,75,62,74,76
46,65,68,48,45,47,79,60,49,52,45,31,36,71,63,26,35
67,73,74,63,72,71,84,67,33,38,69,62,65,72,54,58,67
73,69,75,62,70,76,74,69,56,44,65,68,69,71,57,66,62
68,67,70,62,80,64,77,74,72,73,71,67,69,73,64,77,69
57,65,71,69,81,72,78,72,41,38,48,63,68,77,62,77,81
47,48,69,52,52,46,63,70,33,19,46,44,43,57,43,47,57
64,74,73,61,70,72,63,77,29,28,52,64,68,73,59,56,73
58,63,61,68,79,63,76,72,60,60,65,64,70,68,59,58,73
73,71,68,60,76,70,73,58,56,51,57,71,68,77,72,72,64
67,67,65,65,70,68,72,49,45,35,67,67,64,66,62,72,66
78,69,66,71,75,67,42,43,61,61,73,62,64,37,28,72,74
70,69,67,68,73,71,70,72,56,55,71,69,70,69,56,80,77
65,71,77,68,72,65,75,72,57,43,68,67,67,66,57,63,58
66,75,74,67,71,63,67,72,66,59,69,70,73,74,62,78,75
59,51,65,45,25,41,75,77,33,31,17,39,43,73,61,36,47
72,65,65,67,78,70,79,67,57,51,56,68,63,77,61,76,64
65,74,72,59,66,55,80,67,60,68,68,48,40,74,56,62,47
63,76,69,66,66,53,70,71,62,65,59,69,62,77,66,71,62
54,58,55,54,74,58,71,40,40,19,77,55,56,68,44,61,62
67,59,54,65,75,61,81,76,74,50,66,57,47,51,54,68,59
60,67,58,60,79,75,81,56,42,42,59,62,66,73,59,70,69
62,54,68,70,69,70,65,74,53,61,67,68,72,72,61,68,70
54,57,60,44,54,22,60,60,48,38,36,29,22,54,72,23,28
65,68,71,59,75,63,81,82,71,57,67,62,69,75,60,71,77
59,77,80,64,67,68,77,65,54,54,58,61,64,74,67,60,65
71,71,74,53,64,68,71,53,51,38,72,68,68,71,60,66,59
72,74,73,60,71,69,79,58,63,57,70,72,59,60,63,68,63
68,63,61,72,69,69,79,80,68,63,62,67,63,75,55,70,64
58,78,76,58,70,57,70,66,32,29,56,57,63,72,61,72,62
60,61,74,63,70,65,85,46,31,35,79,58,64,75,59,69,61
51,66,63,56,75,63,74,69,62,55,59,61,48,66,63,78,67
57,56,53,44,56,66,63,62,44,41,45,42,61,51,68,57,52
68,70,69,63,74,70,73,71,62,56,63,65,65,75,59,62,64
57,71,51,41,45,39,82,66,62,65,61,51,25,72,55,74,40
49,59,44,26,32,57,40,35,33,20,38,35,25,51,59,37,12
75,64,63,58,77,74,74,66,60,61,58,47,40,63,58,60,57
71,66,71,41,60,58,63,61,30,14,41,38,36,65,44,56,58
73,68,54,63,72,54,76,68,66,57,62,66,60,66,61,79,67
67,63,48,60,75,52,62,64,54,62,78,70,59,49,59,72,61
68,78,83,71,74,61,86,79,72,58,57,65,53,75,58,69,65
62,68,70,28,23,54,67,75,17,16,44,36,19,72,62,48,44
75,69,73,61,71,58,82,80,55,55,70,65,67,77,61,67,68
79,78,70,65,75,66,69,53,61,56,69,75,66,71,65,68,63
68,64,65,69,75,59,83,69,73,78,83,71,70,63,54,77,76
68,76,84,72,75,70,76,64,48,47,54,62,64,76,65,67,58
70,66,66,67,80,65,74,76,60,52,63,63,61,71,60,73,68
73,82,84,71,75,58,76,76,58,63,62,58,57,77,57,55,49
71,77,74,61,71,69,68,70,61,59,67,69,66,70,64,66,51
73,77,79,59,66,66,74,62,66,63,70,63,60,65,56,53,62
63,72,75,61,63,63,78,73,55,54,68,63,64,77,64,72,78
75,74,75,69,72,66,75,71,74,68,78,71,67,68,60,79,71
64,55,51,59,79,59,67,73,53,44,53,65,61,64,55,73,77
74,80,77,64,76,68,77,61,48,45,54,66,65,78,61,55,60
69,67,67,78,69,62,67,63,65,64,64,62,63,72,69,62,47
75,65,74,64,73,71,78,70,60,60,61,70,65,71,62,72,66
69,72,68,71,78,62,66,75,65,67,55,71,72,75,62,79,75
70,72,70,76,72,57,74,60,56,57,60,61,61,76,59,76,77
61,70,74,64,73,65,75,76,65,64,73,65,70,72,53,75,80
70,75,78,69,71,59,72,79,75,75,64,73,75,74,63,72,75
76,75,77,72,75,75,77,72,66,63,68,69,65,76,58,73,71
75,73,75,58,71,61,72,66,51,51,53,69,63,76,57,61,59
56,58,67,61,76,61,70,67,48,57,68,58,68,75,55,63,71
63,64,72,64,69,70,75,66,65,62,67,64,68,75,58,53,64
65,71,72,72,72,55,71,79,72,76,61,71,68,75,63,73,68
68,70,70,67,74,70,75,68,66,66,56,71,68,75,63,81,75
65,69,62,72,69,59,77,79,74,77,74,67,72,67,61,73,67
52,74,72,76,77,66,78,70,79,75,79,79,78,71,63,66,68
65,64,65,62,69,74,74,65,54,59,68,65,74,78,64,59,68
61,66,74,68,71,42,78,79,69,75,69,67,69,69,52,75,76
67,60,65,69,70,63,75,74,73,71,64,71,70,70,63,66,69
64,65,57,63,76,55,56,67,64,60,60,64,63,66,62,79,77
66,69,68,63,77,68,71,63,65,56,65,72,70,74,64,77,70
61,71,71,70,74,63,80,68,65,62,67,64,67,75,63,72,70
67,73,78,57,62,63,81,72,55,55,57,65,66,74,64,69,73
71,71,72,72,65,65,67,73,67,75,58,58,58,69,66,65,58
68,62,59,64,67,62,75,64,62,64,67,65,66,67,61,69,57
74,72,74,71,77,73,74,73,67,62,69,73,75,76,60,71,75
67,70,72,72,76,71,74,75,70,71,69,67,66,63,57,76,76
70,62,67,72,76,59,69,63,69,63,57,47,52,64,66,60,62
58,69,74,44,49,62,75,59,57,57,67,46,42,68,68,47,52
65,72,73,60,68,70,80,70,58,61,69,65,72,74,60,45,66
57,64,71,69,71,60,69,73,74,73,62,64,70,77,65,66,68
42,72,56,67,54,56,61,44,38,47,68,42,45,62,47,51,54
73,69,70,67,77,66,73,66,70,59,58,67,66,71,66,70,61
61,70,75,60,75,67,75,65,55,51,67,61,64,78,62,50,59
23,54,35,64,46,28,74,60,53,56,59,28,25,67,59,39,39
59,70,72,44,72,56,69,58,56,54,53,51,38,67,71,68,46
72,62,66,64,75,67,64,53,47,35,71,66,67,73,57,70,61
68,63,60,36,55,56,48,61,18,32,26,39,44,64,44,63,59
62,66,62,66,79,55,66,58,42,49,86,59,52,74,58,67,58
37,70,67,49,20,32,72,71,75,76,59,22,15,72,64,21,22
75,79,72,58,68,62,70,70,46,43,51,71,65,77,67,73,66
65,68,74,56,60,63,77,77,61,53,69,59,62,76,62,67,69
72,69,75,59,68,56,74,73,62,46,65,52,36,73,58,65,48
69,70,74,71,74,67,82,69,66,64,71,68,69,72,59,68,76
62,46,44,66,67,56,77,68,64,64,68,38,40,64,53,47,48
47,64,71,71,79,39,64,73,75,74,64,37,40,75,65,41,43
64,72,82,43,73,63,78,61,24,17,61,63,67,74,57,48,74
69,73,72,63,72,66,76,76,65,63,70,60,63,75,62,73,69
55,64,62,74,67,66,77,68,67,75,73,65,67,72,64,63,66
64,64,54,71,72,52,64,64,76,71,64,68,63,62,56,72,70
54,72,69,56,67,61,72,66,72,67,58,73,70,72,61,76,66
65,58,51,63,76,58,63,63,76,67,66,67,63,54,56,75,71
69,65,67,60,76,68,78,68,61,63,70,67,65,69,55,68,65
73,75,79,66,61,68,79,75,65,59,56,63,67,73,60,70,72
68,76,71,70,75,58,78,74,72,80,69,67,67,74,58,70,67
32,76,34,53,54,51,66,49,17,19,42,53,30,9,61,29,31
76,60,40,34,50,37,65,43,23,23,77,48,32,32,48,43,39
60,75,60,45,55,61,69,54,51,47,80,69,48,59,72,62,53
64,71,69,65,64,59,68,69,66,59,40,55,53,63,71,65,65
65,66,76,67,72,64,45,46,64,48,27,65,67,72,62,72,69
71,74,79,69,75,64,65,62,56,48,50,65,63,75,64,61,65
55,58,75,77,73,69,80,72,53,60,58,46,67,84,69,67,66
76,69,70,69,80,56,73,47,43,46,80,73,73,65,60,64,66
70,65,64,69,76,68,69,68,49,44,48,65,68,72,57,76,73
64,70,74,70,74,69,81,69,65,65,75,67,71,74,54,69,71
76,82,76,56,67,58,79,45,49,48,70,64,35,60,39,71,49
54,73,68,65,72,50,67,69,69,78,67,69,61,71,67,70,61
68,77,69,64,71,53,66,75,72,67,53,72,64,77,66,70,59
64,62,59,61,74,63,72,62,63,55,56,65,64,71,61,77,65
40,61,74,67,75,71,63,73,57,63,69,60,66,71,57,59,66
70,70,70,69,65,72,74,65,71,68,64,66,68,75,67,69,65
66,64,66,72,77,66,75,58,58,61,60,59,60,65,58,73,75
68,69,74,70,73,68,70,72,62,63,61,66,66,80,70,69,62
64,70,78,66,72,63,74,58,60,53,58,62,61,72,64,74,72
58,80,71,70,71,63,71,85,71,71,47,42,39,70,50,76,73
