"V4","V5","V9","V11","V27","V31","V40","V41","Class"
73,78,60,62,70,67,74,77,"1"
71,71,64,68,60,64,69,66,"1"
66,67,72,68,57,60,68,54,"1"
65,65,78,69,60,69,71,72,"1"
69,61,68,65,67,71,72,73,"1"
67,67,72,71,59,70,77,71,"1"
77,76,76,66,62,40,59,45,"1"
62,58,78,53,44,66,77,74,"1"
71,69,55,67,44,18,19,16,"1"
73,74,73,65,38,67,74,73,"1"
70,71,70,51,43,70,62,59,"1"
73,75,65,62,36,43,49,43,"1"
65,80,77,68,59,46,62,60,"1"
52,46,78,68,43,49,60,56,"1"
65,65,66,54,34,68,68,71,"1"
62,50,44,24,44,19,27,12,"1"
61,61,74,68,63,66,75,66,"1"
73,68,76,52,65,66,74,68,"1"
54,48,78,61,33,50,61,48,"1"
67,58,71,50,70,52,57,52,"1"
75,74,73,63,39,64,57,63,"1"
76,61,46,59,14,41,58,47,"1"
77,79,68,54,38,42,55,43,"1"
72,74,65,58,45,60,75,74,"1"
67,67,67,71,39,63,66,67,"1"
69,75,68,62,57,38,70,50,"1"
78,75,66,69,50,49,65,69,"1"
73,78,71,54,57,68,71,67,"1"
64,65,67,62,76,73,73,73,"1"
70,72,72,67,59,65,68,70,"1"
74,73,77,60,69,68,68,66,"1"
67,72,71,67,65,66,70,75,"1"
71,74,27,64,37,15,24,35,"1"
68,70,67,70,49,72,67,70,"1"
77,82,71,64,63,70,71,75,"1"
74,68,62,67,65,63,71,71,"1"
70,72,73,71,60,66,69,64,"1"
74,68,60,48,23,41,65,55,"1"
38,54,50,29,47,26,11,13,"1"
62,73,54,77,59,40,36,39,"1"
57,43,53,58,63,7,17,6,"1"
70,71,75,72,55,74,73,73,"1"
67,61,74,69,39,64,74,63,"1"
76,78,63,26,6,48,56,57,"1"
76,72,66,63,42,48,72,51,"1"
67,82,70,64,50,60,73,70,"1"
74,71,59,39,56,62,61,74,"1"
64,74,63,67,35,56,55,61,"1"
73,76,81,68,63,66,69,63,"1"
75,73,66,75,48,68,65,70,"1"
68,70,79,57,66,69,74,76,"1"
65,68,45,47,52,36,26,35,"1"
73,74,72,71,38,65,58,67,"1"
69,75,70,76,44,69,66,62,"1"
67,70,80,64,73,69,77,69,"1"
65,71,81,72,38,68,77,81,"1"
48,69,52,46,19,43,47,57,"1"
74,73,70,72,28,68,56,73,"1"
63,61,79,63,60,70,58,73,"1"
71,68,76,70,51,68,72,64,"1"
67,65,70,68,35,64,72,66,"1"
69,66,75,67,61,64,72,74,"1"
