"V7","V15","V31","V41","Class"
66,77,54,62,"1"
82,74,69,73,"1"
64,65,59,55,"1"
63,75,73,73,"1"
58,71,46,64,"1"
74,69,68,77,"1"
71,80,65,68,"1"
72,71,59,58,"1"
67,69,65,79,"1"
61,57,65,67,"1"
60,70,68,76,"1"
70,76,68,61,"1"
67,75,57,65,"1"
60,79,61,68,"1"
69,71,62,62,"1"
56,62,60,60,"1"
46,58,59,44,"1"
62,78,60,67,"1"
75,65,61,67,"1"
74,72,66,71,"1"
58,67,67,69,"1"
67,74,48,72,"1"
60,59,43,70,"1"
89,59,20,30,"1"
50,48,41,54,"1"
58,75,70,67,"1"
68,73,66,61,"1"
71,73,59,67,"1"
72,72,63,59,"1"
59,48,47,52,"1"
71,66,65,65,"1"
63,57,35,43,"1"
62,65,66,74,"1"
67,64,61,58,"1"
75,68,68,65,"1"
68,58,70,60,"1"
69,71,67,71,"1"
59,53,71,72,"1"
73,71,56,64,"1"
64,71,59,67,"1"
58,71,69,71,"0"
70,74,69,77,"0"
59,66,65,75,"0"
75,72,74,73,"0"
76,73,68,76,"0"
72,77,56,70,"0"
69,62,65,68,"0"
69,72,68,71,"0"
66,74,67,75,"0"
74,64,74,76,"0"
70,70,75,74,"0"
72,75,68,75,"0"
62,71,69,69,"0"
68,75,69,74,"0"
70,73,75,72,"0"
73,73,71,76,"0"
67,74,65,67,"0"
68,70,63,67,"0"
71,65,63,77,"0"
68,72,69,72,"0"
70,80,68,77,"0"
68,72,64,77,"0"
67,77,73,72,"0"
74,70,71,71,"0"
70,71,71,79,"0"
76,75,72,72,"0"
65,76,68,74,"0"
71,73,75,72,"0"
69,68,65,72,"0"
70,74,68,66,"0"
68,65,61,64,"0"
72,68,76,77,"0"
63,74,66,80,"0"
66,69,72,72,"0"
70,75,68,78,"0"
71,74,69,71,"0"
68,71,77,68,"0"
77,67,69,75,"0"
74,67,69,75,"0"
69,70,68,69,"0"
