"var1","var2","var246","var255","var742","var819","var842","var846","var1003","Class"
0.139501039,-1.168927463,-2.501036032,1.165710032,1.104030915,-1.657053766,-0.369036751,-2.160217852,-1.988504547,"3"
1.1642751775,-2.0181583133,-0.5151683732,-0.5927590065,-1.160594081,-2.1991263846,0.7715886069,-2.4877105771,-2.9280736251,"2"
0.841092935,0.254719735,-1.933092645,-1.027222293,-0.732511904,-1.017493237,0.927151539,-2.15330339,1.000558348,"4"
0.685064604,-1.927579192,0.942854763,0.280657458,-1.121778567,0.196553139,0.87771621,-0.006923915,-1.454573202,"2"
-1.956162526,-2.234926445,-1.625059293,-0.895263365,-2.328929068,-3.170085661,1.45749812,0.474120145,-2.736449676,"1"
-0.2586412037,-1.6847003969,-0.7184649885,0.0846168457,1.4324142967,-3.1535563587,-0.6751108181,-1.9582864201,-1.9296431766,"3"
-1.109875481,-1.046969056,-0.064538521,-0.758646163,-0.766148073,-1.532939941,1.827785984,-0.376149054,1.301743591,"4"
1.4714853322,-1.7515776796,-0.3677358913,-0.9065879564,-1.2740376788,-1.8344582238,1.6435880999,-1.5837701657,-0.9625964848,"2"
-0.3961585488,-1.1913856888,-0.9578942817,0.4401885442,1.0842090584,-2.3289290683,-0.1357051822,-0.361974677,-1.9011280063,"3"
-2.136223556,-2.236797352,-0.969691509,-2.050271164,-1.649739209,-2.60775248,0.448524598,0.924457295,-1.544118446,"1"
-0.190676361,-1.513219055,-0.725877005,0.699178953,1.603802061,-2.481711759,-0.562294372,-0.909315118,-1.709810887,"3"
1.321409113,0.495366749,-1.292804018,-0.975244875,-0.14792013,-0.845133538,0.802315438,-1.676112046,1.088595622,"4"
-1.6820086053,-2.4395509481,-1.2559680994,-2.0226832079,-2.0272286702,-2.6664285264,1.0543120298,0.4177230055,-1.7891628434,"1"
-0.3322611158,-2.2000285047,1.1576356291,-2.167180456,-1.1731203408,-1.6347557204,1.0884946105,-1.7446850618,-1.1332037334,"2"
1.11123232,-1.98195192,0.681580544,-1.935860813,-1.182537524,-1.194682757,0.428074251,-0.032729825,-1.566378423,"2"
0.648724963,-1.386694441,1.893277612,-1.950520762,-1.534794369,-0.472246142,0.753065671,0.330741562,-1.790959789,"2"
-0.2714151,-1.1254697428,-1.061605563,-2.0596389144,-0.8974689776,-1.4779711497,1.5112295369,-0.4957728211,0.1504008007,"4"
-0.445818462,-1.380312289,-0.727531607,-0.033556784,1.319967575,-1.442653095,0.013902905,-0.419006379,-1.660205029,"3"
0.259436907,-0.7826343471,-0.6794415335,0.0407579925,-0.7217524376,-0.3602527653,0.9926960631,-0.4727273352,0.3079992732,"4"
-0.192493112,-1.063052113,-0.916790857,0.615293741,1.6970641,-2.106196279,-0.19723217,-0.889405403,-1.570217199,"3"
