"V4","V11","V25","V26","V27","V30","V40","V41","Class"
70,52,74,63,64,67,72,62,"1"
69,63,79,74,69,71,69,73,"1"
70,69,47,53,37,72,64,55,"1"
70,59,74,64,60,70,72,73,"1"
61,68,70,41,37,58,70,64,"1"
68,61,71,65,63,61,79,77,"1"
62,70,69,65,57,68,69,68,"1"
60,68,60,66,65,64,60,58,"1"
67,56,78,53,47,68,77,79,"1"
72,64,57,52,36,55,62,67,"1"
60,69,60,54,44,68,64,76,"1"
65,67,73,70,70,70,65,61,"1"
78,70,76,66,76,67,75,65,"1"
67,67,67,59,52,67,74,68,"1"
68,67,62,64,66,66,71,62,"1"
73,56,59,64,55,70,74,60,"1"
66,52,54,58,30,59,65,44,"1"
69,53,68,57,55,66,77,67,"1"
66,59,63,62,72,66,76,67,"1"
82,61,75,59,64,66,74,71,"1"
66,48,72,77,75,71,70,69,"1"
65,61,70,67,65,49,73,72,"1"
58,57,71,69,69,49,69,70,"1"
52,30,72,23,46,17,31,30,"1"
54,55,73,54,60,54,64,54,"1"
62,71,68,56,53,69,71,67,"1"
75,66,65,58,54,67,73,61,"1"
71,64,66,59,44,62,62,67,"1"
75,57,78,64,68,64,64,59,"1"
75,67,67,68,71,48,56,52,"1"
70,60,66,69,71,67,64,65,"1"
68,49,55,35,37,41,53,43,"1"
66,71,48,23,26,66,70,74,"1"
75,73,50,37,38,61,46,58,"1"
71,74,68,57,59,62,63,65,"1"
76,75,72,69,72,59,64,60,"1"
66,67,71,52,47,66,70,71,"1"
68,48,53,19,14,67,57,72,"1"
79,71,72,36,44,49,58,64,"1"
65,72,69,48,59,66,74,67,"1"
64,66,73,59,58,65,71,71,"0"
68,70,74,63,67,66,73,77,"0"
69,65,79,69,65,68,81,75,"0"
70,66,68,69,68,71,70,73,"0"
79,68,69,68,64,69,73,76,"0"
74,64,68,63,60,54,73,70,"0"
74,69,68,75,69,58,78,68,"0"
71,75,65,62,66,71,74,71,"0"
77,64,81,66,65,63,76,75,"0"
74,78,68,63,60,76,83,76,"0"
71,66,81,74,70,73,71,74,"0"
68,65,73,56,56,67,77,75,"0"
72,74,73,60,62,69,66,69,"0"
69,64,69,66,59,69,69,74,"0"
70,67,68,67,64,70,65,72,"0"
73,65,75,65,64,74,73,76,"0"
78,68,75,67,72,67,77,67,"0"
75,77,67,61,58,61,69,67,"0"
66,63,77,69,69,64,77,77,"0"
73,59,75,62,66,68,69,72,"0"
67,70,68,56,58,68,74,77,"0"
78,57,74,54,57,62,72,77,"0"
74,75,62,56,61,67,70,72,"0"
53,67,71,71,71,67,64,71,"0"
63,62,70,65,64,70,77,79,"0"
66,62,76,64,70,70,70,72,"0"
69,66,74,68,66,68,78,74,"0"
75,56,76,66,73,72,72,72,"0"
80,71,74,57,62,61,63,72,"0"
73,56,80,75,77,74,69,66,"0"
68,64,69,63,63,56,75,64,"0"
70,69,76,66,67,68,67,77,"0"
74,57,76,75,68,69,75,80,"0"
71,69,75,71,70,69,73,72,"0"
75,56,79,67,64,69,81,78,"0"
72,67,72,61,61,63,70,71,"0"
67,62,72,76,79,71,71,68,"0"
73,62,64,66,71,64,68,75,"0"
72,66,60,49,48,70,73,75,"0"
69,62,73,67,63,70,67,69,"0"
