"var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var107","var123","var129","var174","var187","var246","var248","var255","var276","var368","var422","var509","var545","var554","var566","var603","var742","var819","var842","var846","var1003","Class"
0.139501039,-1.168927463,0.564972842,-3.366795955,-1.323131786,-0.69254736,2.327394772,0.923703192,0.112167297,0.509765062,2.404464557,0.199670195,-1.734434403,-2.785471348,-1.822631133,-2.755141809,-0.854960477,-2.501036032,-1.191714907,1.165710032,-0.600932697,-1.788564578,-0.384046141,-1.367276355,-0.209733864,-2.167180456,-2.991740252,-2.688247574,1.104030915,-1.657053766,-0.369036751,-2.160217852,-1.988504547,"3"
1.1642751775,-2.0181583133,1.103533493,-2.1654352548,-1.4401171678,-0.4374202793,2.6615873267,1.2240106981,0.2105040078,1.0455630676,2.3475010956,-1.195013063,-1.8559780416,-1.8189251373,-1.2833768271,-2.5796569863,-2.8949823705,-0.5151683732,-1.6591535047,-0.5927590065,-2.4101703037,-1.1008147122,-1.2437536743,-2.3655248928,1.7506943896,-2.0425311877,-0.3112919381,-3.3298073856,-1.160594081,-2.1991263846,0.7715886069,-2.4877105771,-2.9280736251,"2"
0.841092935,0.254719735,-0.208747671,-2.14814874,-1.512765025,-1.263722809,2.946641814,0.08782771,0.482919855,1.063019653,2.144561925,0.161183038,0.829991828,-2.042531188,2.636203261,-0.670603216,2.957879824,-1.933092645,-0.152918106,-1.027222293,-0.357103607,-0.167472354,-1.863685209,2.815109273,0.69544454,1.671228913,-1.856618042,-0.596565083,-0.732511904,-1.017493237,0.927151539,-2.15330339,1.000558348,"4"
0.685064604,-1.927579192,-0.233067633,-1.640412717,-1.008954417,0.774450632,1.617167958,-0.567925216,0.036621183,-0.101700555,1.102504703,-0.684187439,0.913446691,-1.574553511,-1.646620704,-1.149484619,-0.888918785,0.942854763,-0.155718575,0.280657458,0.679453853,1.313965575,-0.472085795,-0.553559166,1.569761095,-1.341320995,0.758934921,-0.903374507,-1.121778567,0.196553139,0.87771621,-0.006923915,-1.454573202,"2"
-1.956162526,-2.234926445,0.281563391,-2.695627681,-1.214696768,-1.05987246,2.498069636,0.780196057,1.041583278,0.727500297,2.595038266,-1.621004549,-2.416874239,-0.234710188,-1.666537504,-2.392509801,-3.123565645,-1.625059293,-2.530741186,-0.895263365,1.568115793,-1.913927103,-0.923567141,-2.524479425,-0.615815838,-1.721487416,-3.005782609,-3.264919763,-2.328929068,-3.170085661,1.45749812,0.474120145,-2.736449676,"1"
-0.2586412037,-1.6847003969,0.1758003398,-2.3238087294,-1.6922761907,-0.0086371934,2.3021349917,0.455777922,-0.3424903089,0.7165218519,2.0622190829,-0.2338253997,-2.1794828959,-2.8302178351,-2.7457520683,-2.6227903572,-0.2555376191,-0.7184649885,-0.3668695903,0.0846168457,-1.0532565869,-0.9832321376,0.274748797,-0.2766761933,0.2416904886,-1.7760829898,-1.0300194972,-2.6678684115,1.4324142967,-3.1535563587,-0.6751108181,-1.9582864201,-1.9296431766,"3"
-1.109875481,-1.046969056,-0.853785527,-2.60775248,-1.770781063,-1.259133216,1.426380085,-0.743598724,0.613129473,-0.533071233,2.649764093,-0.865835288,0.632281905,-0.699567748,-0.114962018,-0.987249821,2.403940599,-0.064538521,-0.186691089,-0.758646163,2.174035556,0.026739297,-1.49923912,3.192392209,1.625881965,1.713635752,-0.118896155,-0.807884858,-0.766148073,-1.532939941,1.827785984,-0.376149054,1.301743591,"4"
1.4714853322,-1.7515776796,-0.2567003348,-1.8991219876,-1.3649243354,-1.1986536428,2.4898776074,-0.0350056092,0.8334741807,0.7792790042,2.2270422457,-0.7730565638,0.0125212806,-1.5925807954,-1.1526461772,-1.1047309697,-0.7700282249,-0.3677358913,0.5208749596,-0.9065879564,0.4262476473,0.6995764683,-0.7687331675,0.0509782448,0.7130478423,-1.6204988598,1.5480092174,-1.8792800668,-1.2740376788,-1.8344582238,1.6435880999,-1.5837701657,-0.9625964848,"2"
-0.3961585488,-1.1913856888,0.6966908942,-1.8623965488,-1.3126722212,0.7449803292,1.7627082048,1.0340382113,0.8029428464,0.953470903,1.8578904717,-0.169128963,-1.5123112017,-1.9848588992,-2.7854713481,-1.826350914,-2.1236024375,-0.9578942817,-0.4682451762,0.4401885442,1.3078732546,-2.1236024375,-0.2967900915,-1.1196316559,0.1347057029,-0.8734707347,-2.1698039818,-1.5385135741,1.0842090584,-2.3289290683,-0.1357051822,-0.361974677,-1.9011280063,"3"
-2.136223556,-2.236797352,-0.946492241,-2.777400279,-1.822631133,-0.45523325,2.547513619,-0.270366195,1.437866367,0.543776724,2.663101648,0.089749292,-1.537117251,-0.365859854,-1.968258013,-2.097198263,-2.673648774,-0.969691509,-1.820158944,-2.050271164,2.829293908,-2.028748427,-0.218778094,-1.863685209,-0.864884944,-2.081844426,-1.910543005,-2.330984568,-1.649739209,-2.60775248,0.448524598,0.924457295,-1.544118446,"1"
-0.190676361,-1.513219055,0.824438566,-2.391416307,-1.112609798,0.591944675,2.101031786,0.405531773,0.545111102,0.586952984,1.883152898,0.225221391,-1.597509342,-1.796973036,-2.887775132,-1.979053368,-1.740116236,-0.725877005,0.21317402,0.699178953,0.871251524,-0.657587005,-0.373385215,0.062693069,0.50095709,-1.328025453,-2.008424054,-2.662121269,1.603802061,-2.481711759,-0.562294372,-0.909315118,-1.709810887,"3"
1.321409113,0.495366749,0.041525747,-1.541779264,-1.627092848,-1.184170177,2.187813768,0.474244624,0.34032196,1.143394431,1.877784249,-0.433555988,1.071789075,-1.111697528,2.400491899,-0.499226488,2.592766539,-1.292804018,0.404598066,-0.975244875,0.314226628,0.113239396,-0.429245637,1.748138422,0.589895551,1.284676832,-1.552585101,-0.350408902,-0.14792013,-0.845133538,0.802315438,-1.676112046,1.088595622,"4"
-1.6820086053,-2.4395509481,0.6848125438,-2.1020962322,-1.6949958008,-0.9118008266,1.682204986,0.4671244885,0.6843586745,0.481685134,2.8241547919,-0.8533159327,-1.9696906777,-0.4422328323,-2.8490378944,-2.342365963,-2.9818293684,-1.2559680994,-1.7837912996,-2.0226832079,1.8547186188,-2.1515822195,-1.3692406066,-2.3538783874,0.227852447,-1.5297029444,-2.6736487744,-2.3655248928,-2.0272286702,-2.6664285264,1.0543120298,0.4177230055,-1.7891628434,"1"
-0.3322611158,-2.2000285047,-0.4634650524,-2.6009911288,-1.2046396933,-1.0300194972,1.9691941044,-0.2447503051,0.3193260778,0.4432103744,2.2116095053,-0.7815413313,2.3962029325,-1.4965557554,-1.9442115924,-1.3390291687,-1.2740376788,1.1576356291,0.4289863031,-2.167180456,1.323274686,0.7001227943,-0.2019937926,-0.4164249483,1.1536684944,-1.5535302805,0.5089238165,-1.299016353,-1.1731203408,-1.6347557204,1.0884946105,-1.7446850618,-1.1332037334,"2"
1.11123232,-1.98195192,0.223543471,-1.465770563,-1.20330636,1.506186283,1.584550781,0.415679431,0.114845392,0.630473586,1.4545136,-0.499226488,-1.712024501,-1.127938118,-1.330292171,-0.491186409,0.409257906,0.681580544,-0.540082805,-1.935860813,1.920973221,0.019900662,-0.69254736,0.996321132,0.252236226,-1.043556083,-1.510497965,-0.012072581,-1.182537524,-1.194682757,0.428074251,-0.032729825,-1.566378423,"2"
0.648724963,-1.386694441,-0.562645372,-2.00619108,-1.098112414,0.944644925,1.99456425,0.295873431,0.560986277,0.342809258,1.306791091,0.045546815,-0.245772669,-1.54928399,-1.504177402,-1.004029646,1.553206128,1.893277612,-1.031982206,-1.950520762,2.101594346,-0.016535969,-0.588607001,2.01278077,1.665761533,-1.10473097,0.028684634,-1.089454351,-1.534794369,-0.472246142,0.753065671,0.330741562,-1.790959789,"2"
-0.2714151,-1.1254697428,-1.5380479163,-2.6493097061,-1.1485380974,-0.3553900555,1.8116928069,0.3444404063,0.3398949439,1.1694434694,2.3027550785,-0.0234733562,-0.2840885369,-1.6419611041,1.865242246,-0.2016267079,1.7640284955,-1.061605563,0.2634406081,-2.0596389144,1.2121790409,-1.531088946,-0.4815904985,2.1908263746,0.1203574967,1.0514507975,-2.1777161109,1.6414209583,-0.8974689776,-1.4779711497,1.5112295369,-0.4957728211,0.1504008007,"4"
