"var1","var129","var187","var246","var248","var255","var509","var545","var566","var742"
0.139501039,-1.822631133,-0.854960477,-2.501036032,-1.191714907,1.165710032,-1.367276355,-0.209733864,-2.991740252,1.104030915
1.1642751775,-1.2833768271,-2.8949823705,-0.5151683732,-1.6591535047,-0.5927590065,-2.3655248928,1.7506943896,-0.3112919381,-1.160594081
0.841092935,2.636203261,2.957879824,-1.933092645,-0.152918106,-1.027222293,2.815109273,0.69544454,-1.856618042,-0.732511904
0.685064604,-1.646620704,-0.888918785,0.942854763,-0.155718575,0.280657458,-0.553559166,1.569761095,0.758934921,-1.121778567
-1.956162526,-1.666537504,-3.123565645,-1.625059293,-2.530741186,-0.895263365,-2.524479425,-0.615815838,-3.005782609,-2.328929068
-0.2586412037,-2.7457520683,-0.2555376191,-0.7184649885,-0.3668695903,0.0846168457,-0.2766761933,0.2416904886,-1.0300194972,1.4324142967
-1.109875481,-0.114962018,2.403940599,-0.064538521,-0.186691089,-0.758646163,3.192392209,1.625881965,-0.118896155,-0.766148073
1.4714853322,-1.1526461772,-0.7700282249,-0.3677358913,0.5208749596,-0.9065879564,0.0509782448,0.7130478423,1.5480092174,-1.2740376788
-0.3961585488,-2.7854713481,-2.1236024375,-0.9578942817,-0.4682451762,0.4401885442,-1.1196316559,0.1347057029,-2.1698039818,1.0842090584
-2.136223556,-1.968258013,-2.673648774,-0.969691509,-1.820158944,-2.050271164,-1.863685209,-0.864884944,-1.910543005,-1.649739209
-0.190676361,-2.887775132,-1.740116236,-0.725877005,0.21317402,0.699178953,0.062693069,0.50095709,-2.008424054,1.603802061
1.321409113,2.400491899,2.592766539,-1.292804018,0.404598066,-0.975244875,1.748138422,0.589895551,-1.552585101,-0.14792013
-1.6820086053,-2.8490378944,-2.9818293684,-1.2559680994,-1.7837912996,-2.0226832079,-2.3538783874,0.227852447,-2.6736487744,-2.0272286702
-0.3322611158,-1.9442115924,-1.2740376788,1.1576356291,0.4289863031,-2.167180456,-0.4164249483,1.1536684944,0.5089238165,-1.1731203408
1.11123232,-1.330292171,0.409257906,0.681580544,-0.540082805,-1.935860813,0.996321132,0.252236226,-1.510497965,-1.182537524
0.648724963,-1.504177402,1.553206128,1.893277612,-1.031982206,-1.950520762,2.01278077,1.665761533,0.028684634,-1.534794369
-0.2714151,1.865242246,1.7640284955,-1.061605563,0.2634406081,-2.0596389144,2.1908263746,0.1203574967,-2.1777161109,-0.8974689776
-0.445818462,-2.20183519,-0.579997083,-0.727531607,-0.071173819,-0.033556784,1.274496503,0.540695057,-0.560190953,1.319967575
0.259436907,0.8219360954,2.4286537082,-0.6794415335,-0.0795844793,0.0407579925,2.5618445425,0.5741947114,-0.5433488155,-0.7217524376
-0.192493112,-2.424752727,-1.850236399,-0.916790857,0.030432207,0.615293741,-0.601845022,0.184070027,-2.024196067,1.6970641
