"var36","var37","var38","var39","var40","var41","var760","var1144","var1779","var1834","var1882","var2288","var2349","var2642","var3320","var4847","var5039","var5552","var5772","var6041","var6200","var6201","var6218","var6884"
2.00432137378264,2.13353890837022,2.42813479402879,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.89597473235906,2.69108149212297,2.22788670461367,2.00432137378264,2.00432137378264,2.31386722036915,4.11290649025331,3.05037975626146,2.25285303097989,2.66838591669,3.79239168949825,3.30920417967041,2.00432137378264,2.52633927738984,2.87040390527903,2.03742649794062,2.1846914308176
2.00432137378264,2.00432137378264,2.57287160220048,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.99782308074573,2.00432137378264,2.38916608436453,2.00432137378264,2.00432137378264,2.00432137378264,3.25863728272408,3.00732095292274,2.02530586526477,2.80617997398389,2.49276038902684,3.17551181336345,2.55750720190566,2.22271647114758,2.30319605742049,2.23044892137827,2.60422605308447
2.00432137378264,2.00432137378264,2.22010808804005,2.02118929906994,2.00432137378264,2.00432137378264,2.35602585719312,2.78958071216443,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,3.55966727838806,2.63245729218472,2.40312052117582,2.3096301674259,3.72032471741744,3.62746827245971,2.75281643118827,2.17897694729317,2.00432137378264,2.58433122436753,2.00432137378264
2.00432137378264,2.29003461136252,2.72672720902657,2.00432137378264,2.00432137378264,2.00432137378264,2.27875360095283,2.36921585741014,2.99563519459755,2.19033169817029,2.39967372148104,2.00432137378264,2.00432137378264,3.67678503041921,2.00432137378264,2.00432137378264,2.65417654187796,4.06009318382447,3.32345836684947,2.95999483832842,2.34830486304816,3.00560944536028,3.06557971472845,4.20414712521285
2.00432137378264,2.00432137378264,2.52113808370404,2.48855071650044,2.00432137378264,2.00432137378264,2.70156798505593,2.931457870689,3.08421868673924,2.00432137378264,2.00432137378264,2.00432137378264,2.26245108973043,3.49359744900053,2.8109042806687,2.00432137378264,2.5910646070265,3.9253636673541,3.58229068271899,2.33645973384853,2.00432137378264,2.00432137378264,3.85193067864027,4.20414712521285
2.00432137378264,2.10380372095596,2.50785587169583,2.35024801833416,2.00432137378264,2.40654018043396,2.00432137378264,2.88874096068289,2.00432137378264,2.11058971029925,2.70156798505593,2.00432137378264,2.00432137378264,4.07918124604763,2.27646180417324,2.00432137378264,2.38916608436453,3.35545152012652,3.56667313760612,2.46239799789896,2.04139268515822,2.00432137378264,2.19865708695442,2.67669360962487
2.00432137378264,2.00432137378264,2.53402610605613,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.58319877396862,2.00432137378264,2.07188200730613,2.00432137378264,2.00432137378264,2.00432137378264,3.62335268153799,2.6730209071289,2.00432137378264,2.66931688056611,3.37346372163237,3.46893780566546,3.04571405894087,2.00432137378264,2.17609125905568,2.02118929906994,2.38201704257487
2.13033376849501,2.2405492482826,2.50105926221775,2.46538285144842,2.00432137378264,2.51587384371168,2.00432137378264,2.64738297011462,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,3.53198955141255,2.77232170672292,2.00432137378264,2.25767857486918,3.68349731767981,3.44870631990508,2.46538285144842,2.00432137378264,2.00432137378264,2.21748394421391,2.50242711998443
2.00432137378264,2.3096301674259,3.16643011384328,2.00432137378264,2.00432137378264,2.00432137378264,2.02530586526477,2.70842090013471,2.8494194137969,2.45939248775923,2.03342375548695,2.3096301674259,2.71011736511182,3.40823996531185,3.05766610390983,2.60205999132796,2.53529412004277,3.37529773821734,3.44808766669234,2.78247262416629,2.00432137378264,2.29666519026153,2.44404479591808,3.73519954842231
2.00432137378264,2.00432137378264,2.81358098856819,3.16256440652302,2.80140371001736,2.55990662503611,2.00432137378264,2.77742682238931,2.30102999566398,2.34830486304816,2.00432137378264,2.00432137378264,2.28330122870355,3.75073975123535,2.88649072517248,2.90633504180509,2.72916478969277,4.07507226270612,3.84491187391214,2.96425963019685,2.00432137378264,2.00432137378264,2.00432137378264,3.7431960814487
