"V2","V5","V7","V9","V11","V15","V23","V26","V27","V29","V33","V34","V40","V41","V42","Class"
59,67,66,61,52,77,66,63,64,54,74,65,72,62,74,"1"
72,67,82,65,63,74,78,74,69,70,70,62,69,73,67,"1"
71,64,64,65,69,65,74,53,37,68,68,60,64,55,61,"1"
69,78,63,65,59,75,66,64,60,54,76,62,72,73,68,"1"
70,66,58,69,68,71,77,41,37,40,73,65,70,64,60,"1"
57,75,74,71,61,69,70,65,63,55,74,63,79,77,72,"1"
69,75,71,76,70,80,67,65,57,65,73,63,69,68,70,"1"
61,62,72,67,68,71,62,66,65,59,65,55,60,58,60,"1"
65,68,67,71,56,69,76,53,47,36,73,60,77,79,68,"1"
74,79,61,66,64,57,70,52,36,49,73,58,62,67,60,"1"
70,62,60,77,69,70,74,54,44,69,73,61,64,76,64,"1"
67,77,70,72,67,76,70,70,70,51,77,75,65,61,73,"1"
76,73,67,70,70,75,78,66,76,67,75,50,75,65,74,"1"
70,66,60,77,67,79,65,59,52,50,72,67,74,68,77,"1"
78,74,69,74,67,71,71,64,66,67,75,61,71,62,69,"1"
67,65,56,63,56,62,69,64,55,60,65,58,74,60,76,"1"
70,66,46,58,52,58,57,58,30,41,73,62,65,44,73,"1"
63,72,62,57,53,78,67,57,55,53,77,73,77,67,78,"1"
62,57,75,59,59,65,74,62,72,66,68,59,76,67,77,"1"
80,77,74,77,61,72,75,59,64,69,77,62,74,71,66,"1"
63,55,58,74,48,67,74,77,75,71,73,60,70,69,71,"1"
70,62,67,74,61,74,78,67,65,70,71,65,73,72,73,"1"
61,62,60,75,57,59,84,69,69,71,64,56,69,70,65,"1"
70,58,89,72,30,59,52,23,46,31,72,61,31,30,57,"1"
75,51,50,69,55,48,59,54,60,66,52,58,64,54,36,"1"
77,68,58,68,71,75,76,56,53,54,79,65,71,67,60,"1"
75,79,68,77,66,73,68,58,54,60,78,63,73,61,52,"1"
78,72,71,74,64,73,80,59,44,63,74,59,62,67,44,"1"
69,74,72,72,57,72,67,64,68,62,77,66,64,59,74,"1"
72,67,59,63,67,48,75,68,71,68,79,63,56,52,69,"1"
64,75,71,71,60,66,60,69,71,63,58,52,64,65,71,"1"
72,62,63,61,49,57,78,35,37,57,70,75,53,43,38,"1"
79,63,62,70,71,65,71,23,26,59,74,56,70,74,34,"1"
66,72,67,81,73,64,78,37,38,73,73,61,46,58,35,"1"
65,72,75,83,74,68,80,57,59,56,73,65,63,65,65,"1"
71,74,68,68,75,58,78,69,72,61,75,61,64,60,72,"1"
70,68,69,61,67,71,82,52,47,64,75,58,70,71,67,"1"
73,74,59,76,48,53,79,19,14,50,54,49,57,72,31,"1"
68,78,73,78,71,71,74,36,44,54,81,65,58,64,52,"1"
68,68,64,73,72,71,73,48,59,44,74,64,74,67,51,"1"
62,70,58,74,66,71,77,59,58,67,76,61,71,71,71,"0"
62,70,70,77,70,74,73,63,67,68,79,69,73,77,72,"0"
59,67,59,73,65,66,73,69,65,66,71,59,81,75,74,"0"
75,77,75,75,66,72,75,69,68,69,76,63,70,73,66,"0"
77,77,76,81,68,73,67,68,64,61,75,70,73,76,79,"0"
68,80,72,75,64,77,82,63,60,60,73,59,73,70,69,"0"
76,76,69,76,69,62,81,75,69,70,76,74,78,68,75,"0"
61,68,69,69,75,72,79,62,66,65,71,59,74,71,69,"0"
67,74,66,70,64,74,76,66,65,63,80,63,76,75,72,"0"
71,74,74,56,78,64,78,63,60,67,79,67,83,76,74,"0"
64,69,70,78,66,70,78,74,70,79,73,65,71,74,68,"0"
76,78,72,75,65,75,72,56,56,52,78,65,77,75,74,"0"
74,75,62,67,74,71,80,60,62,67,75,66,66,69,62,"0"
65,76,68,66,64,75,74,66,59,59,79,65,69,74,69,"0"
59,76,70,74,67,73,73,67,64,68,77,59,65,72,61,"0"
76,69,73,72,65,73,76,65,64,60,79,61,73,76,62,"0"
71,78,67,72,68,74,80,67,72,67,78,61,77,67,78,"0"
80,75,68,75,77,70,77,61,58,67,75,66,69,67,65,"0"
68,72,71,82,63,65,78,69,69,74,70,58,77,77,69,"0"
67,78,68,73,59,72,68,62,66,78,76,65,69,72,70,"0"
72,69,70,81,70,80,79,56,58,64,74,62,74,77,71,"0"
62,84,68,74,57,72,71,54,57,57,72,62,72,77,62,"0"
69,76,67,73,75,77,72,56,61,62,74,58,70,72,64,"0"
59,60,74,69,67,70,78,71,71,64,74,62,64,71,70,"0"
66,70,70,72,62,71,78,65,64,71,74,58,77,79,79,"0"
62,68,76,71,62,75,66,64,70,60,77,67,70,72,75,"0"
71,71,65,73,66,76,78,68,66,68,74,59,78,74,68,"0"
63,72,71,70,56,73,76,66,73,68,75,65,72,72,68,"0"
74,78,69,77,71,68,80,57,62,65,76,63,63,72,68,"0"
69,72,70,71,56,74,76,75,77,62,77,70,69,66,74,"0"
70,67,68,69,64,65,75,63,63,64,68,66,75,64,79,"0"
65,78,72,74,69,68,78,66,67,61,78,65,67,77,66,"0"
64,70,63,70,57,74,73,75,68,58,76,64,75,80,74,"0"
70,74,66,70,69,69,81,71,70,82,74,60,73,72,66,"0"
72,80,70,73,56,75,77,67,64,66,75,63,81,78,79,"0"
70,72,71,78,67,74,77,61,61,58,75,64,70,71,64,"0"
59,71,68,70,62,71,75,76,79,70,69,56,71,68,64,"0"
67,75,77,70,62,67,75,66,71,61,76,64,68,75,74,"0"
68,72,74,74,66,67,77,49,48,69,79,63,73,75,68,"0"
66,66,69,72,62,70,72,67,63,57,75,65,67,69,71,"0"
