"V2","V5","V7","V9","V29","V34","V41","Class"
67,78,63,60,67,63,77,"1"
75,71,58,64,66,64,66,"1"
83,67,74,72,53,69,54,"1"
72,65,61,78,69,61,72,"1"
62,61,63,68,69,54,73,"1"
68,67,72,72,65,63,71,"1"
80,76,68,76,66,67,45,"1"
68,58,57,78,74,52,74,"1"
77,69,66,55,25,57,16,"1"
69,74,67,73,59,65,73,"1"
65,71,63,70,62,71,59,"1"
65,75,61,65,51,56,43,"1"
71,80,67,77,61,67,60,"1"
64,46,54,78,78,31,56,"1"
62,65,31,66,78,60,71,"1"
57,50,57,44,74,65,12,"1"
67,61,62,74,67,64,66,"1"
62,68,71,76,70,61,68,"1"
67,48,67,78,50,38,48,"1"
65,58,79,71,55,59,52,"1"
71,74,69,73,72,56,63,"1"
73,61,52,46,41,77,47,"1"
77,79,59,68,49,62,43,"1"
66,74,61,65,64,58,74,"1"
69,67,61,67,50,59,67,"1"
74,75,57,68,62,71,50,"1"
66,75,64,66,43,67,69,"1"
79,78,65,71,51,66,67,"1"
61,65,66,67,73,53,73,"1"
63,72,70,72,58,63,70,"1"
73,73,75,77,59,68,66,"1"
66,72,71,71,65,59,75,"1"
55,74,25,27,54,66,35,"1"
70,70,54,67,52,62,70,"1"
71,82,63,71,67,60,75,"1"
57,68,76,62,63,73,71,"1"
72,72,69,73,59,57,64,"1"
60,68,48,60,60,64,55,"1"
33,54,52,50,57,52,13,"1"
58,73,41,54,70,52,39,"1"
58,43,57,53,77,54,6,"1"
77,71,66,75,68,65,73,"1"
65,61,57,74,75,53,63,"1"
77,78,34,63,23,63,57,"1"
64,72,52,66,51,76,51,"1"
57,82,67,70,53,72,70,"1"
58,71,60,59,61,59,74,"1"
61,74,55,63,65,59,61,"1"
67,76,69,81,63,61,63,"1"
69,73,64,66,66,60,70,"1"
77,70,70,79,62,62,76,"1"
46,68,48,45,45,63,35,"1"
67,74,63,72,69,54,67,"1"
73,75,62,70,65,57,62,"1"
68,70,62,80,71,64,69,"1"
57,71,69,81,48,62,81,"1"
47,69,52,52,46,43,57,"1"
64,73,61,70,52,59,73,"1"
58,61,68,79,65,59,73,"1"
73,68,60,76,57,72,64,"1"
67,65,65,70,67,62,66,"1"
78,66,71,75,73,28,74,"1"
70,67,68,73,71,56,77,"1"
65,77,68,72,68,57,58,"1"
66,74,67,71,69,62,75,"1"
59,65,45,25,17,61,47,"1"
72,65,67,78,56,61,64,"1"
65,72,59,66,68,56,47,"1"
