"V5","V9","V23","V27","V30","V33","V40","V41","Class"
67,61,66,64,67,74,72,62,"1"
67,65,78,69,71,70,69,73,"1"
64,65,74,37,72,68,64,55,"1"
78,65,66,60,70,76,72,73,"1"
66,69,77,37,58,73,70,64,"1"
75,71,70,63,61,74,79,77,"1"
75,76,67,57,68,73,69,68,"1"
62,67,62,65,64,65,60,58,"1"
68,71,76,47,68,73,77,79,"1"
79,66,70,36,55,73,62,67,"1"
62,77,74,44,68,73,64,76,"1"
77,72,70,70,70,77,65,61,"1"
73,70,78,76,67,75,75,65,"1"
66,77,65,52,67,72,74,68,"1"
74,74,71,66,66,75,71,62,"1"
65,63,69,55,70,65,74,60,"1"
66,58,57,30,59,73,65,44,"1"
72,57,67,55,66,77,77,67,"1"
57,59,74,72,66,68,76,67,"1"
77,77,75,64,66,77,74,71,"1"
55,74,74,75,71,73,70,69,"1"
62,74,78,65,49,71,73,72,"1"
62,75,84,69,49,64,69,70,"1"
58,72,52,46,17,72,31,30,"1"
51,69,59,60,54,52,64,54,"1"
68,68,76,53,69,79,71,67,"1"
79,77,68,54,67,78,73,61,"1"
72,74,80,44,62,74,62,67,"1"
74,72,67,68,64,77,64,59,"1"
67,63,75,71,48,79,56,52,"1"
75,71,60,71,67,58,64,65,"1"
62,61,78,37,41,70,53,43,"1"
63,70,71,26,66,74,70,74,"1"
72,81,78,38,61,73,46,58,"1"
72,83,80,59,62,73,63,65,"1"
74,68,78,72,59,75,64,60,"1"
68,61,82,47,66,75,70,71,"1"
74,76,79,14,67,54,57,72,"1"
78,78,74,44,49,81,58,64,"1"
68,73,73,59,66,74,74,67,"1"
70,74,77,58,65,76,71,71,"0"
70,77,73,67,66,79,73,77,"0"
67,73,73,65,68,71,81,75,"0"
77,75,75,68,71,76,70,73,"0"
77,81,67,64,69,75,73,76,"0"
80,75,82,60,54,73,73,70,"0"
76,76,81,69,58,76,78,68,"0"
68,69,79,66,71,71,74,71,"0"
74,70,76,65,63,80,76,75,"0"
74,56,78,60,76,79,83,76,"0"
69,78,78,70,73,73,71,74,"0"
78,75,72,56,67,78,77,75,"0"
75,67,80,62,69,75,66,69,"0"
76,66,74,59,69,79,69,74,"0"
76,74,73,64,70,77,65,72,"0"
69,72,76,64,74,79,73,76,"0"
78,72,80,72,67,78,77,67,"0"
75,75,77,58,61,75,69,67,"0"
72,82,78,69,64,70,77,77,"0"
78,73,68,66,68,76,69,72,"0"
69,81,79,58,68,74,74,77,"0"
84,74,71,57,62,72,72,77,"0"
76,73,72,61,67,74,70,72,"0"
60,69,78,71,67,74,64,71,"0"
70,72,78,64,70,74,77,79,"0"
68,71,66,70,70,77,70,72,"0"
71,73,78,66,68,74,78,74,"0"
72,70,76,73,72,75,72,72,"0"
78,77,80,62,61,76,63,72,"0"
72,71,76,77,74,77,69,66,"0"
67,69,75,63,56,68,75,64,"0"
78,74,78,67,68,78,67,77,"0"
70,70,73,68,69,76,75,80,"0"
74,70,81,70,69,74,73,72,"0"
80,73,77,64,69,75,81,78,"0"
72,78,77,61,63,75,70,71,"0"
71,70,75,79,71,69,71,68,"0"
75,70,75,71,64,76,68,75,"0"
72,74,77,48,70,79,73,75,"0"
66,72,72,63,70,75,67,69,"0"
