"V5","V9","V23","V27","V30","V33","V40","V41","Class"
78,60,76,70,65,75,74,77,"1"
71,64,73,60,70,70,69,66,"1"
67,72,73,57,67,74,68,54,"1"
65,78,71,60,70,72,71,72,"1"
61,68,73,67,66,61,72,73,"1"
67,72,69,59,73,69,77,71,"1"
76,76,75,62,55,71,59,45,"1"
58,78,77,44,64,63,77,74,"1"
69,55,76,44,21,79,19,16,"1"
74,73,71,38,67,78,74,73,"1"
71,70,65,43,71,73,62,59,"1"
75,65,72,36,41,70,49,43,"1"
80,77,78,59,53,75,62,60,"1"
46,78,78,43,49,39,60,56,"1"
65,66,78,34,68,68,68,71,"1"
50,44,72,44,29,77,27,12,"1"
61,74,75,63,69,77,75,66,"1"
68,76,59,65,69,66,74,68,"1"
48,78,67,33,57,41,61,48,"1"
58,71,65,70,59,60,57,52,"1"
74,73,81,39,58,71,57,63,"1"
61,46,66,14,54,66,58,47,"1"
79,68,71,38,53,73,55,43,"1"
74,65,59,45,61,74,75,74,"1"
67,67,69,39,64,70,66,67,"1"
75,68,72,57,59,66,70,50,"1"
75,66,69,50,41,74,65,69,"1"
78,71,64,57,65,75,71,67,"1"
65,67,78,76,65,63,73,73,"1"
72,72,77,59,61,75,68,70,"1"
73,77,76,69,71,79,68,66,"1"
72,71,80,65,62,76,70,75,"1"
74,27,75,37,20,73,24,35,"1"
70,67,55,49,66,65,67,70,"1"
82,71,79,63,68,77,71,75,"1"
68,62,71,65,54,74,71,71,"1"
72,73,78,60,69,75,69,64,"1"
68,60,52,23,38,70,65,55,"1"
54,50,78,47,23,74,11,13,"1"
73,54,64,59,45,74,36,39,"1"
43,53,61,63,13,52,17,6,"1"
71,75,79,55,76,75,73,73,"1"
61,74,73,39,67,66,74,63,"1"
78,63,56,6,56,55,56,57,"1"
72,66,73,42,58,73,72,51,"1"
82,70,69,50,59,74,73,70,"1"
71,59,78,56,60,76,61,74,"1"
74,63,66,35,61,73,55,61,"1"
76,81,81,63,67,73,69,63,"1"
73,66,69,48,64,71,65,70,"1"
70,79,47,66,57,75,74,76,"1"
68,45,79,52,31,71,26,35,"1"
74,72,84,38,62,72,58,67,"1"
75,70,74,44,68,71,66,62,"1"
70,80,77,73,67,73,77,69,"1"
71,81,78,38,63,77,77,81,"1"
69,52,63,19,44,57,47,57,"1"
73,70,63,28,64,73,56,73,"1"
61,79,76,60,64,68,58,73,"1"
68,76,73,51,71,77,72,64,"1"
65,70,72,35,67,66,72,66,"1"
66,75,42,61,62,37,72,74,"1"
67,73,70,55,69,69,80,77,"1"
77,72,75,43,67,66,63,58,"1"
74,71,67,59,70,74,78,75,"1"
65,25,75,31,39,73,36,47,"1"
65,78,79,51,68,77,76,64,"1"
72,66,80,68,48,74,62,47,"1"
69,66,70,65,69,77,71,62,"1"
55,74,71,19,55,68,61,62,"1"
54,75,81,50,57,51,68,59,"1"
58,79,81,42,62,73,70,69,"1"
68,69,65,61,68,72,68,70,"1"
60,54,60,38,29,54,23,28,"1"
71,75,81,57,62,75,71,77,"1"
80,67,77,54,61,74,60,65,"1"
74,64,71,38,68,71,66,59,"1"
73,71,79,57,72,60,68,63,"1"
61,69,79,63,67,75,70,64,"1"
76,70,70,29,57,72,72,62,"1"
74,70,85,35,58,75,69,61,"1"
63,75,74,55,61,66,78,67,"1"
53,56,63,41,42,51,57,52,"1"
69,74,73,56,65,75,62,64,"1"
51,45,82,65,51,72,74,40,"1"
44,32,40,20,35,51,37,12,"1"
63,77,74,61,47,63,60,57,"1"
71,60,63,14,38,65,56,58,"1"
54,72,76,57,66,66,79,67,"1"
48,75,62,62,70,49,72,61,"1"
83,74,86,58,65,75,69,65,"1"
70,23,67,16,36,72,48,44,"1"
73,71,82,55,65,77,67,68,"1"
70,75,69,56,75,71,68,63,"1"
65,75,83,78,71,63,77,76,"1"
84,75,76,47,62,76,67,58,"1"
66,80,74,52,63,71,73,68,"1"
84,75,76,63,58,77,55,49,"1"
74,71,68,59,69,70,66,51,"1"
79,66,74,63,63,65,53,62,"1"
75,63,78,54,63,77,72,78,"1"
75,72,75,68,71,68,79,71,"1"
51,79,67,44,65,64,73,77,"1"
77,76,77,45,66,78,55,60,"1"
67,69,67,64,62,72,62,47,"1"
74,73,78,60,70,71,72,66,"1"
68,78,66,67,71,75,79,75,"1"
70,72,74,57,61,76,76,77,"1"
74,73,75,64,65,72,75,80,"1"
78,71,72,75,73,74,72,75,"1"
77,75,77,63,69,76,73,71,"1"
75,71,72,51,69,76,61,59,"1"
67,76,70,57,58,75,63,71,"1"
72,69,75,62,64,75,53,64,"1"
72,72,71,76,71,75,73,68,"1"
70,74,75,66,71,75,81,75,"1"
62,69,77,77,67,67,73,67,"1"
72,77,78,75,79,71,66,68,"1"
65,69,74,59,65,78,59,68,"1"
74,71,78,75,67,69,75,76,"1"
65,70,75,71,71,70,66,69,"1"
57,76,56,60,64,66,79,77,"1"
68,77,71,56,72,74,77,70,"1"
71,74,80,62,64,75,72,70,"1"
78,62,81,55,65,74,69,73,"1"
72,65,67,75,58,69,65,58,"1"
59,67,75,64,65,67,69,57,"1"
74,77,74,62,73,76,71,75,"1"
72,76,74,71,67,63,76,76,"1"
67,76,69,63,47,64,60,62,"1"
74,49,75,57,46,68,47,52,"1"
73,68,80,61,65,74,45,66,"1"
71,71,69,73,64,77,66,68,"1"
56,54,61,47,42,62,51,54,"1"
70,77,73,59,67,71,70,61,"1"
75,75,75,51,61,78,50,59,"1"
35,46,74,56,28,67,39,39,"1"
72,72,69,54,51,67,68,46,"1"
66,75,64,35,66,73,70,61,"1"
60,55,48,32,39,64,63,59,"1"
62,79,66,49,59,74,67,58,"1"
67,20,72,76,22,72,21,22,"1"
72,68,70,43,71,77,73,66,"1"
74,60,77,53,59,76,67,69,"1"
75,68,74,46,52,73,65,48,"1"
74,74,82,64,68,72,68,76,"1"
44,67,77,64,38,64,47,48,"1"
71,79,64,74,37,75,41,43,"1"
82,73,78,17,63,74,48,74,"1"
72,72,76,63,60,75,73,69,"1"
62,67,77,75,65,72,63,66,"1"
54,72,64,71,68,62,72,70,"1"
69,67,72,67,73,72,76,66,"1"
51,76,63,67,67,54,75,71,"1"
67,76,78,63,67,69,68,65,"1"
79,61,79,59,63,73,70,72,"1"
71,75,78,80,67,74,70,67,"1"
34,54,66,19,53,9,29,31,"1"
40,50,65,23,48,32,43,39,"1"
60,55,69,47,69,59,62,53,"1"
69,64,68,59,55,63,65,65,"1"
76,72,45,48,65,72,72,69,"1"
79,75,65,48,65,75,61,65,"1"
75,73,80,60,46,84,67,66,"1"
70,80,73,46,73,65,64,66,"1"
64,76,69,44,65,72,76,73,"1"
74,74,81,65,67,74,69,71,"1"
76,67,79,48,64,60,71,49,"1"
68,72,67,78,69,71,70,61,"1"
69,71,66,67,72,77,70,59,"1"
59,74,72,55,65,71,77,65,"1"
74,75,63,63,60,71,59,66,"1"
70,65,74,68,66,75,69,65,"0"
66,77,75,61,59,65,73,75,"0"
74,73,70,63,66,80,69,62,"0"
78,72,74,53,62,72,74,72,"0"
71,71,71,71,42,70,76,73,"0"
70,71,80,67,66,71,67,66,"0"
78,75,76,60,62,77,64,64,"0"
66,73,56,64,66,75,61,73,"0"
66,81,61,63,70,70,74,76,"0"
74,68,75,69,71,77,74,71,"0"
70,77,74,61,74,75,71,68,"0"
66,66,81,68,69,73,69,68,"0"
77,73,74,69,68,74,79,75,"0"
74,76,72,69,64,72,77,78,"0"
71,73,81,62,67,75,75,72,"0"
