"k"	"w"	"num_featg"	"fitness_gbest"	"min_fit_x"	""
1	0.642535111576797	100	-111.01	-111.01	38
2	0.271710058551378	100	-111.7	-111.7	58
3	0.560774644714741	100	-111.7	-111.54	48
4	0.849984610451389	100	-111.7	-111.59	56
5	1.50907652429438	100	-111.7	-111.7	48
6	1.50907652429438	100	-111.7	-111.62	47
7	0.361717311572515	100	-111.7	-111.59	50
8	0.788223686876935	100	-111.7	-111.6	51
9	0.849984610451389	100	-111.7	-111.6	46
10	0.167319632755942	100	-111.7	-111.65	59
11	0.228907229780227	100	-111.7	-111.66	59
12	1.50907652429438	100	-111.7	-111.62	58
13	0.728487527215084	100	-111.7	-111.62	58
14	0.457929584127696	100	-111.7	-111.66	62
15	1.34507261639306	100	-111.7	-111.63	51
16	0.587575191528505	100	-111.7	-111.67	67
17	0.758106712142181	100	-111.7	-111.66	50
18	0.409021753141763	100	-111.7	-111.65	41
19	0.534417071976595	100	-111.7	-111.63	55
20	0.728487527215084	100	-111.7	-111.61	57
21	1.04811397056488	100	-111.7	-111.66	54
22	0.788223686876935	100	-111.7	-111.64	46
23	1.15486085897043	100	-111.7	-111.66	66
24	0.849984610451389	100	-111.7	-111.63	44
25	0.147465299352072	100	-111.7	-111.69	42
26	0.433271890722681	100	-111.7	-111.65	58
27	0.508495151596601	100	-111.7	-111.65	48
28	1.59527083661968	100	-111.7	-111.65	69
29	1.42570799764338	100	-111.7	-111.68	46
30	0.979857593956903	100	-111.7	-111.64	46
31	0.560774644714741	100	-111.7	-111.68	48
32	0.338649867157356	100	-111.7	-111.65	52
33	1.34507261639306	100	-111.7	-111.66	47
34	0.849984610451389	100	-111.7	-111.62	44
35	1.01370138727488	100	-111.7	-111.63	43
36	0.642535111576797	100	-111.7	-111.68	49
37	1.04811397056488	100	-111.7	-111.63	58
38	0.208034942934926	100	-111.7	-111.62	60
39	1.68438671494547	100	-111.7	-111.64	48
40	1.04811397056488	100	-111.7	-111.62	47
41	0.614826157186554	100	-111.71	-111.71	46
42	0.699357904353821	100	-111.71	-111.67	63
43	0.670709751809179	100	-111.71	-111.67	54
44	0.293652490427113	100	-111.71	-111.66	50
45	0.338649867157356	100	-111.71	-111.69	51
46	0.818846817439315	100	-111.71	-111.65	58
47	1.59527083661968	100	-111.71	-111.64	51
48	1.26708077737925	100	-111.71	-111.66	47
49	0.0530089360076549	100	-111.71	-111.64	49
50	0.788223686876935	100	-111.71	-111.64	63
51	1.04811397056488	100	-111.71	-111.66	64
52	0.587575191528505	100	-111.71	-111.66	45
53	0.409021753141763	100	-111.71	-111.67	46
54	1.68438671494547	100	-111.71	-111.68	46
55	0.0350439922336723	100	-111.71	-111.69	53
56	0.483001682874639	100	-111.71	-111.66	54
57	0.788223686876935	100	-111.71	-111.7	50
58	0.670709751809179	100	-111.71	-111.65	49
59	0.338649867157356	100	-111.71	-111.65	42
60	0.433271890722681	100	-111.71	-111.69	40
61	1.63945746821793	100	-111.71	-111.67	51
62	0	100	-111.71	-111.66	61
63	1.59527083661968	100	-111.71	-111.69	52
64	0.361717311572515	100	-111.71	-111.64	52
65	1.42570799764338	100	-111.71	-111.68	48
66	0.788223686876935	100	-111.71	-111.69	68
67	0.642535111576797	100	-111.71	-111.66	55
68	0	100	-111.71	-111.63	53
69	1.50907652429438	100	-111.71	-111.63	50
70	1.04811397056488	100	-111.71	-111.69	74
71	0.849984610451389	100	-111.71	-111.67	45
72	0.849984610451389	100	-111.71	-111.63	50
73	0.614826157186554	100	-111.71	-111.63	47
74	0.614826157186554	100	-111.71	-111.67	50
75	0.187507644646596	100	-111.71	-111.66	54
76	0.250130303174167	100	-111.71	-111.67	55
77	0.338649867157356	100	-111.71	-111.71	58
78	0.560774644714741	100	-111.71	-111.69	48
79	1.42570799764338	100	-111.71	-111.64	47
80	0.670709751809179	100	-111.71	-111.62	61
81	0.315963694062429	100	-111.71	-111.64	57
82	0.560774644714741	100	-111.71	-111.66	45
83	0.508495151596601	100	-111.71	-111.68	54
84	0.849984610451389	100	-111.71	-111.69	59
85	0.913838927541102	100	-111.72	-111.72	44
86	0.560774644714741	100	-111.73	-111.73	62
87	0.642535111576797	100	-111.73	-111.63	50
88	0.147465299352072	100	-111.73	-111.68	56
89	1.59527083661968	100	-111.73	-111.73	57
90	0.508495151596601	100	-111.73	-111.67	46
91	0.167319632755942	100	-111.73	-111.66	38
92	1.34507261639306	100	-111.73	-111.65	54
93	0.614826157186554	100	-111.73	-111.63	50
94	0.758106712142181	100	-111.73	-111.64	62
95	0.338649867157356	100	-111.73	-111.66	55
96	0.208034942934926	100	-111.73	-111.59	52
97	0.614826157186554	100	-111.73	-111.62	48
98	0.0350439922336723	100	-111.73	-111.66	51
99	0.758106712142181	100	-111.73	-111.66	47
100	0.433271890722681	100	-111.73	-111.66	63
101	0.979857593956903	100	-111.73	-111.64	65
102	0.167319632755942	100	-111.73	-111.65	47
103	0.315963694062429	100	-111.73	-111.68	60
104	0.293652490427113	100	-111.73	-111.69	46
105	0.587575191528505	100	-111.73	-111.68	58
106	0.614826157186554	100	-111.73	-111.66	59
107	0.508495151596601	100	-111.73	-111.65	43
108	0.167319632755942	100	-111.73	-111.66	53
109	0.483001682874639	100	-111.73	-111.65	48
110	0.167319632755942	100	-111.73	-111.67	59
111	0.483001682874639	100	-111.73	-111.69	53
112	0.560774644714741	100	-111.73	-111.66	63
113	0.293652490427113	100	-111.73	-111.69	53
114	1.26708077737925	100	-111.73	-111.63	43
115	0.0712758045620736	100	-111.73	-111.68	49
116	0.728487527215084	100	-111.73	-111.73	49
117	0.849984610451389	100	-111.73	-111.67	50
118	0.228907229780227	100	-111.73	-111.67	46
119	1.30575173841242	100	-111.73	-111.66	46
120	0.670709751809179	100	-111.73	-111.62	61
121	0.187507644646596	100	-111.73	-111.72	62
122	1.59527083661968	100	-111.73	-111.64	66
123	0.0350439922336723	100	-111.73	-111.71	56
124	0.758106712142181	100	-111.73	-111.65	48
125	1.26708077737925	100	-111.73	-111.66	54
126	0.293652490427113	100	-111.73	-111.67	44
127	0.108735698282149	100	-111.73	-111.66	55
128	0.167319632755942	100	-111.73	-111.65	61
129	1.42570799764338	100	-111.73	-111.69	56
130	0.167319632755942	100	-111.73	-111.68	67
131	0.361717311572515	100	-111.73	-111.67	69
132	1.46704490014855	100	-111.73	-111.69	60
133	0.534417071976595	100	-111.73	-111.73	47
134	0.642535111576797	100	-111.73	-111.7	47
135	0.913838927541102	100	-111.73	-111.65	53
136	0.457929584127696	100	-111.73	-111.72	66
137	0.534417071976595	100	-111.73	1e+21	59
138	0.250130303174167	100	-111.73	-111.66	46
139	0.250130303174167	100	-111.73	-111.71	61
140	0.167319632755942	100	-111.73	-111.66	59
141	0.699357904353821	100	-111.73	-111.66	58
142	0.560774644714741	100	-111.73	-111.72	58
143	1.42570799764338	100	-111.73	-111.68	70
144	0.187507644646596	100	-111.73	-111.64	54
145	0.508495151596601	100	-111.73	-111.66	50
146	0.433271890722681	100	-111.73	-111.68	75
147	0.385172435079683	100	-111.73	-111.66	45
148	0.271710058551378	100	-111.73	-111.68	65
149	0.699357904353821	100	-111.73	-111.73	51
150	0.0712758045620736	100	-111.73	-111.63	61
151	0.788223686876935	100	-111.73	-111.7	51
152	0.0898496721445403	100	-111.73	-111.64	57
153	1.26708077737925	100	-111.73	-111.73	45
154	0.534417071976595	100	-111.73	-111.65	43
155	0.208034942934926	100	-111.73	-111.68	47
156	0.457929584127696	100	-111.73	-111.67	67
157	0.508495151596601	100	-111.73	-111.71	53
158	0.788223686876935	100	-111.73	-111.66	57
159	1.34507261639306	100	-111.73	-111.71	48
160	1.04811397056488	100	-111.73	-111.72	55
161	0.670709751809179	100	-111.73	-111.64	45
162	0.457929584127696	100	-111.73	-111.67	43
163	0.642535111576797	100	-111.73	-111.65	47
164	0.614826157186554	100	-111.73	-111.68	43
165	0.0898496721445403	100	-111.73	-111.71	47
