"V3","V4","V6","V9","V11","V29","V34","V38","V41","V42","Class"
52,70,73,61,52,54,65,62,62,74,"1"
62,69,78,65,63,70,62,63,73,67,"1"
62,70,67,65,69,68,60,66,55,61,"1"
71,70,61,65,59,54,62,66,73,68,"1"
66,61,61,69,68,40,65,70,64,60,"1"
69,68,69,71,61,55,63,69,77,72,"1"
66,62,67,76,70,65,63,72,68,70,"1"
60,60,64,67,68,59,55,66,58,60,"1"
62,67,65,71,56,36,60,74,79,68,"1"
73,72,66,66,64,49,58,73,67,60,"1"
69,60,58,77,69,69,61,64,76,64,"1"
66,65,66,72,67,51,75,69,61,73,"1"
69,78,68,70,70,67,50,47,65,74,"1"
69,67,68,77,67,50,67,73,68,77,"1"
73,68,68,74,67,67,61,68,62,69,"1"
51,73,69,63,56,60,58,71,60,76,"1"
54,66,76,58,52,41,62,65,44,73,"1"
63,69,67,57,53,53,73,75,67,78,"1"
56,66,74,59,59,66,59,73,67,77,"1"
74,82,74,77,61,69,62,67,71,66,"1"
58,66,56,74,48,71,60,65,69,71,"1"
65,65,68,74,61,70,65,75,72,73,"1"
63,58,56,75,57,71,56,70,70,65,"1"
64,52,75,72,30,31,61,40,30,57,"1"
71,54,53,69,55,66,58,33,54,36,"1"
61,62,62,68,71,54,65,67,67,60,"1"
72,75,72,77,66,60,63,72,61,52,"1"
76,71,65,74,64,63,59,77,67,44,"1"
68,75,78,72,57,62,66,62,59,74,"1"
66,75,61,63,67,68,63,64,52,69,"1"
64,70,70,71,60,63,52,61,65,71,"1"
63,68,72,61,49,57,75,63,43,38,"1"
78,66,69,70,71,59,56,66,74,34,"1"
81,75,69,81,73,73,61,60,58,35,"1"
66,71,67,83,74,56,65,66,65,65,"1"
75,76,71,68,75,61,61,59,60,72,"1"
66,66,71,61,67,64,58,71,71,67,"1"
76,68,56,76,48,50,49,62,72,31,"1"
76,79,63,78,71,54,65,63,64,52,"1"
64,65,63,73,72,44,64,70,67,51,"1"
67,64,59,74,66,67,61,72,71,71,"0"
67,68,65,77,70,68,69,72,77,72,"0"
68,69,69,73,65,66,59,73,75,74,"0"
75,70,67,75,66,69,63,66,73,66,"0"
79,79,74,81,68,61,70,70,76,79,"0"
64,74,76,75,64,60,59,50,70,69,"0"
73,74,60,76,69,70,74,65,68,75,"0"
76,71,77,69,75,65,59,60,71,69,"0"
65,77,67,70,64,63,63,73,75,72,"0"
61,74,76,56,78,67,67,70,76,74,"0"
70,71,72,78,66,79,65,59,74,68,"0"
75,68,71,75,65,52,65,69,75,74,"0"
73,72,63,67,74,67,66,71,69,62,"0"
67,69,62,66,64,59,65,69,74,69,"0"
75,70,62,74,67,68,59,64,72,61,"0"
72,73,67,72,65,60,61,62,76,62,"0"
75,78,68,72,68,67,61,51,67,78,"0"
76,75,69,75,77,67,66,77,67,65,"0"
70,66,63,82,63,74,58,75,77,69,"0"
57,73,63,73,59,78,65,62,72,70,"0"
74,67,69,81,70,64,62,73,77,71,"0"
71,78,64,74,57,57,62,64,77,62,"0"
78,74,70,73,75,62,58,66,72,64,"0"
65,53,72,69,67,64,62,57,71,70,"0"
67,63,69,72,62,71,58,70,79,79,"0"
66,66,73,71,62,60,67,63,72,75,"0"
71,69,65,73,66,68,59,73,74,68,"0"
61,75,68,70,56,68,65,58,72,68,"0"
81,80,70,77,71,65,63,70,72,68,"0"
64,73,49,71,56,62,70,59,66,74,"0"
64,68,76,69,64,64,66,57,64,79,"0"
68,70,65,74,69,61,65,64,77,66,"0"
53,74,65,70,57,58,64,63,80,74,"0"
71,71,68,70,69,82,60,64,72,66,"0"
70,75,73,73,56,66,63,74,78,79,"0"
75,72,67,78,67,58,64,68,71,64,"0"
57,67,66,70,62,70,56,56,68,64,"0"
64,73,77,70,62,61,64,65,75,74,"0"
65,72,47,74,66,69,63,71,75,68,"0"
54,69,69,72,62,57,65,65,69,71,"0"
