"V2","V4","V5","V7","V9","V23","V25","V29","V34","V40","Class"
59,70,67,66,61,66,74,54,65,72,"1"
72,69,67,82,65,78,79,70,62,69,"1"
71,70,64,64,65,74,47,68,60,64,"1"
69,70,78,63,65,66,74,54,62,72,"1"
70,61,66,58,69,77,70,40,65,70,"1"
57,68,75,74,71,70,71,55,63,79,"1"
69,62,75,71,76,67,69,65,63,69,"1"
61,60,62,72,67,62,60,59,55,60,"1"
65,67,68,67,71,76,78,36,60,77,"1"
74,72,79,61,66,70,57,49,58,62,"1"
70,60,62,60,77,74,60,69,61,64,"1"
67,65,77,70,72,70,73,51,75,65,"1"
76,78,73,67,70,78,76,67,50,75,"1"
70,67,66,60,77,65,67,50,67,74,"1"
78,68,74,69,74,71,62,67,61,71,"1"
67,73,65,56,63,69,59,60,58,74,"1"
70,66,66,46,58,57,54,41,62,65,"1"
63,69,72,62,57,67,68,53,73,77,"1"
62,66,57,75,59,74,63,66,59,76,"1"
80,82,77,74,77,75,75,69,62,74,"1"
63,66,55,58,74,74,72,71,60,70,"1"
70,65,62,67,74,78,70,70,65,73,"1"
61,58,62,60,75,84,71,71,56,69,"1"
70,52,58,89,72,52,72,31,61,31,"1"
75,54,51,50,69,59,73,66,58,64,"1"
77,62,68,58,68,76,68,54,65,71,"1"
75,75,79,68,77,68,65,60,63,73,"1"
78,71,72,71,74,80,66,63,59,62,"1"
69,75,74,72,72,67,78,62,66,64,"1"
72,75,67,59,63,75,67,68,63,56,"1"
64,70,75,71,71,60,66,63,52,64,"1"
72,68,62,63,61,78,55,57,75,53,"1"
79,66,63,62,70,71,48,59,56,70,"1"
66,75,72,67,81,78,50,73,61,46,"1"
65,71,72,75,83,80,68,56,65,63,"1"
71,76,74,68,68,78,72,61,61,64,"1"
70,66,68,69,61,82,71,64,58,70,"1"
73,68,74,59,76,79,53,50,49,57,"1"
68,79,78,73,78,74,72,54,65,58,"1"
68,65,68,64,73,73,69,44,64,74,"1"
62,64,70,58,74,77,73,67,61,71,"0"
62,68,70,70,77,73,74,68,69,73,"0"
59,69,67,59,73,73,79,66,59,81,"0"
75,70,77,75,75,75,68,69,63,70,"0"
77,79,77,76,81,67,69,61,70,73,"0"
68,74,80,72,75,82,68,60,59,73,"0"
76,74,76,69,76,81,68,70,74,78,"0"
61,71,68,69,69,79,65,65,59,74,"0"
67,77,74,66,70,76,81,63,63,76,"0"
71,74,74,74,56,78,68,67,67,83,"0"
64,71,69,70,78,78,81,79,65,71,"0"
76,68,78,72,75,72,73,52,65,77,"0"
74,72,75,62,67,80,73,67,66,66,"0"
65,69,76,68,66,74,69,59,65,69,"0"
59,70,76,70,74,73,68,68,59,65,"0"
76,73,69,73,72,76,75,60,61,73,"0"
71,78,78,67,72,80,75,67,61,77,"0"
80,75,75,68,75,77,67,67,66,69,"0"
68,66,72,71,82,78,77,74,58,77,"0"
67,73,78,68,73,68,75,78,65,69,"0"
72,67,69,70,81,79,68,64,62,74,"0"
62,78,84,68,74,71,74,57,62,72,"0"
69,74,76,67,73,72,62,62,58,70,"0"
59,53,60,74,69,78,71,64,62,64,"0"
66,63,70,70,72,78,70,71,58,77,"0"
62,66,68,76,71,66,76,60,67,70,"0"
71,69,71,65,73,78,74,68,59,78,"0"
63,75,72,71,70,76,76,68,65,72,"0"
74,80,78,69,77,80,74,65,63,63,"0"
69,73,72,70,71,76,80,62,70,69,"0"
70,68,67,68,69,75,69,64,66,75,"0"
65,70,78,72,74,78,76,61,65,67,"0"
64,74,70,63,70,73,76,58,64,75,"0"
70,71,74,66,70,81,75,82,60,73,"0"
72,75,80,70,73,77,79,66,63,81,"0"
70,72,72,71,78,77,72,58,64,70,"0"
59,67,71,68,70,75,72,70,56,71,"0"
67,73,75,77,70,75,64,61,64,68,"0"
68,72,72,74,74,77,60,69,63,73,"0"
66,69,66,69,72,72,73,57,65,67,"0"
