"var37","var1834","var1882","var2642","var3320","var6218","Class"
2.33445375115093,2.41830129131975,2.48287358360875,3.96974197676285,3.05115252244738,2.00432137378264,"-1"
2.06818586174616,2.00860017176192,3.13321945673249,2.95230800966213,3.0265332645233,2.00432137378264,"-1"
2.67851837904011,2.49136169383427,2.40654018043396,2.79865064544527,3.14581771449183,2.00432137378264,"-1"
2.19312459835446,2.46089784275655,2.00432137378264,3.72550326885932,2.97451169273733,2.23552844690755,"-1"
2.0899051114394,2.59769518592551,2.00432137378264,3.72875947516787,2.96801571399364,2.4996870826184,"-1"
2.24797326636181,2.00432137378264,3.06781451116184,2.45178643552429,2.92582757462474,2.00432137378264,"-1"
2.00432137378264,2.00432137378264,2.00432137378264,3.71155416825017,3.02816441942447,2.00432137378264,"-1"
2.41161970596323,2.40140054078154,2.00432137378264,3.60734777676841,3.22245633667925,2.00432137378264,"-1"
2.22271647114758,2.19312459835446,2.52762990087134,2.62736585659273,2.985426474083,2.07554696139253,"-1"
2.19312459835446,2.22530928172586,2.69810054562339,2.76789761601809,3.07040732174012,2.53781909507327,"-1"
2.00432137378264,2.14921911265538,2.00432137378264,2.17026171539496,2.79726754083072,2.00432137378264,"-1"
2.00432137378264,2.45939248775923,2.03342375548695,3.39880773020326,2.87390159786446,2.00432137378264,"-1"
2.30749603791321,2.1846914308176,2.00432137378264,3.70552161342267,2.8494194137969,2.00432137378264,"-1"
2.26951294421792,2.16435285578444,2.91434315711944,2.19312459835446,2.93701610746481,2.00432137378264,"-1"
2.89042101880091,2.00432137378264,2.00432137378264,3.76102525171137,2.71264970162721,2.00432137378264,"-1"
2.06069784035361,2.30749603791321,2.00432137378264,3.56229286445647,2.91698004732038,2.24303804868629,"-1"
2.42488163663107,2.45788189673399,2.57518784492766,2.34044411484012,3.26434550705009,2.17609125905568,"-1"
2.00432137378264,2.15228834438306,2.00432137378264,3.52374646681156,2.94645226501307,2.25527250510331,"-1"
2.10380372095596,2.19312459835446,2.00432137378264,3.43088094645289,3.11727129565576,2.00432137378264,"-1"
2.65224634100332,2.25767857486918,2.31386722036915,3.91110431780404,2.91275330367132,2.36735592102602,"-1"
2.00432137378264,2.14612803567824,2.00432137378264,3.44808766669234,2.58433122436753,2.19589965240923,"-1"
2.00432137378264,2.09691001300806,2.00432137378264,3.7322328802205,2.91698004732038,2.13987908640124,"-1"
2.00432137378264,2.03742649794062,2.62940959910272,2.94001815500766,2.86451108105839,2.00432137378264,"-1"
2.17026171539496,2.01283722470517,2.00432137378264,3.77495468908014,2.95424250943932,2.00432137378264,"-1"
2.28330122870355,2.3096301674259,2.00432137378264,3.70509361054787,3.06892761168207,2.00432137378264,"-1"
2.00432137378264,2.11058971029925,2.00432137378264,3.91487181754005,2.90633504180509,2.00432137378264,"-1"
2.00432137378264,2.00432137378264,2.00432137378264,3.62169546232928,3.10957854690439,2.19033169817029,"-1"
2.12385164096709,2.50105926221775,3.03100428136354,2.00432137378264,3.21537315278342,2.48287358360875,"1"
2.00432137378264,2.74507479158206,3.84279639517558,2.6159500516564,3.40585839931764,4.03257847192431,"1"
2.13353890837022,3.05346260492546,4.1630420469142,2.53655844257153,3.58194965837332,3.34966598409663,"1"
2.00432137378264,3.12678057701201,3.85967857662845,2.43616264704076,3.46893780566546,3.03542973818455,"1"
2.09342168516224,2.88930170250631,4.09131515969722,2.48713837547719,3.40414924920969,2.57518784492766,"1"
3.23954972084047,2.64738297011462,3.56288738129388,2.00432137378264,3.13798673272353,3.62603224782902,"1"
2.26245108973043,3.16166741243774,3.18695633546541,2.85247999363686,3.3807537708039,3.24303804868629,"1"
2.00432137378264,2.89320675305985,3.17084820364331,2.81624129999178,3.33000770087276,2.33645973384853,"1"
2.35793484700045,2.987219229908,4.20414712521285,2.00432137378264,3.59835270986928,2.5705429398819,"1"
2.90902085421116,2.61172330800734,4.12375366875584,2.34044411484012,3.40483371661994,3.20057692675485,"1"
2.41664050733828,2.44090908206522,3.22063101944809,2.40140054078154,3.35926616460675,2.86213137931304,"1"
