"var1","var246","var255","var842","var1003","var1389","var1427","var1954","var1955","Class"
0.139501039,-2.501036032,1.165710032,-0.369036751,-1.988504547,-2.189256408,0.180069022,-1.386294361,-1.791559489,"3"
1.1642751775,-0.5151683732,-0.5927590065,0.7715886069,-2.9280736251,-0.6380909748,0.1127928275,0.4342469095,-1.1867879796,"2"
0.841092935,-1.933092645,-1.027222293,0.927151539,1.000558348,-1.346689107,-0.376877651,-0.494296322,0.823517332,"4"
0.685064604,0.942854763,0.280657458,0.87771621,-1.454573202,1.402856449,1.057755571,1.914154077,-1.252463013,"2"
-1.956162526,-1.625059293,-0.895263365,1.45749812,-2.736449676,-1.942117351,-2.620039324,-1.237874356,-2.350725468,"1"
-0.2586412037,-0.7184649885,0.0846168457,-0.6751108181,-1.9296431766,-1.6154559848,0.3670014417,-0.4827241937,-0.6700167632,"3"
-1.109875481,-0.064538521,-0.758646163,1.827785984,1.301743591,1.076639308,-1.052396865,0.520340216,0.360746643,"4"
1.4714853322,-0.3677358913,-0.9065879564,1.6435880999,-0.9625964848,0.9697177483,0.2820914741,2.266615888,-1.1796054479,"2"
-0.3961585488,-0.9578942817,0.4401885442,-0.1357051822,-1.9011280063,-0.6303601925,-0.0511880368,-0.2019937926,-0.982163476,"3"
-2.136223556,-0.969691509,-2.050271164,0.448524598,-1.544118446,-2.565249402,-0.32573014,-0.787018396,-1.457575563,"1"
-0.190676361,-0.725877005,0.699178953,-0.562294372,-1.709810887,-0.671972945,0.457045028,0.218492753,-0.947265536,"3"
1.321409113,-1.292804018,-0.975244875,0.802315438,1.088595622,-1.167962367,-0.052768066,-0.972067747,0.007769737,"4"
-1.6820086053,-1.2559680994,-2.0226832079,1.0543120298,-1.7891628434,-2.2837633388,-3.2701691193,-0.8698843591,-1.8819030191,"1"
-0.3322611158,1.1576356291,-2.167180456,1.0884946105,-1.1332037334,1.5672816949,-0.5610668402,1.7944724524,-1.3971531045,"2"
1.11123232,0.681580544,-1.935860813,0.428074251,-1.566378423,0.147643842,-0.642644198,-0.922811949,-0.231679882,"2"
0.648724963,1.893277612,-1.950520762,0.753065671,-1.790959789,0.940241606,-0.747814582,0.474182386,-0.724844267,"2"
-0.2714151,-1.061605563,-2.0596389144,1.5112295369,0.1504008007,-0.1289703813,-1.0359192193,-0.2035860521,1.9543033984,"4"
-0.445818462,-0.727531607,-0.033556784,0.013902905,-1.660205029,0.098849364,-0.008132983,-0.545417069,-0.96233467,"3"
0.259436907,-0.6794415335,0.0407579925,0.9926960631,0.3079992732,-1.0139035607,-0.1485000083,0.0160701802,1.7734936604,"4"
-0.192493112,-0.916790857,0.615293741,-0.19723217,-1.570217199,-0.674914412,-0.199304962,-0.646454453,-0.977368581,"3"
