"var246","var255","var842"
-2.501036032,1.165710032,-0.369036751
-0.5151683732,-0.5927590065,0.7715886069
-1.933092645,-1.027222293,0.927151539
0.942854763,0.280657458,0.87771621
-1.625059293,-0.895263365,1.45749812
-0.7184649885,0.0846168457,-0.6751108181
-0.064538521,-0.758646163,1.827785984
-0.3677358913,-0.9065879564,1.6435880999
-0.9578942817,0.4401885442,-0.1357051822
-0.969691509,-2.050271164,0.448524598
-0.725877005,0.699178953,-0.562294372
-1.292804018,-0.975244875,0.802315438
-1.2559680994,-2.0226832079,1.0543120298
1.1576356291,-2.167180456,1.0884946105
0.681580544,-1.935860813,0.428074251
1.893277612,-1.950520762,0.753065671
-1.061605563,-2.0596389144,1.5112295369
-0.727531607,-0.033556784,0.013902905
-0.6794415335,0.0407579925,0.9926960631
-0.916790857,0.615293741,-0.19723217
