"V6","V8","V10","V11","V14","V15","Class"
2.00432137378264,2.89597473235906,2.22788670461367,2.00432137378264,3.05037975626146,2.25285303097989,"-1"
2.00432137378264,2.99782308074573,2.38916608436453,2.00432137378264,3.00732095292274,2.02530586526477,"-1"
2.00432137378264,2.78958071216443,2.00432137378264,2.00432137378264,2.63245729218472,2.40312052117582,"-1"
2.00432137378264,2.36921585741014,2.19033169817029,2.39967372148104,2.00432137378264,2.00432137378264,"-1"
2.00432137378264,2.931457870689,2.00432137378264,2.00432137378264,2.8109042806687,2.00432137378264,"-1"
2.40654018043396,2.88874096068289,2.11058971029925,2.70156798505593,2.27646180417324,2.00432137378264,"-1"
2.00432137378264,2.58319877396862,2.07188200730613,2.00432137378264,2.6730209071289,2.00432137378264,"-1"
2.51587384371168,2.64738297011462,2.00432137378264,2.00432137378264,2.77232170672292,2.00432137378264,"-1"
2.00432137378264,2.70842090013471,2.45939248775923,2.03342375548695,3.05766610390983,2.60205999132796,"-1"
2.55990662503611,2.77742682238931,2.34830486304816,2.00432137378264,2.88649072517248,2.90633504180509,"-1"
3.58058287681437,2.93550726582471,2.59217675739587,2.59659709562646,3.14332712999205,2.00432137378264,"-1"
2.00432137378264,2.13353890837022,2.96801571399364,4.06770304404007,3.38792346697344,3.76454971906447,"1"
2.69284691927723,2.00432137378264,2.77378644498119,3.43870053290074,3.36847283844036,3.36847283844036,"1"
2.00432137378264,2.46982201597816,3.18582535961296,4.20414712521285,2.73399928653839,3.30276370847298,"1"
3.04139268515822,2.04139268515822,2.88649072517248,4.20414712521285,3.55254654795566,3.58782317131896,"1"
2.00432137378264,2.54777470538782,2.79934054945358,4.03092339962722,3.03502928220237,3.64384731029971,"1"
2.00432137378264,2.62531245096167,2.20411998265592,2.55630250076729,2.93550726582471,2.94398887507377,"-1"
2.00432137378264,3.13353890837022,2.40312052117582,2.74350976472843,2.98855895687862,2.21218760440396,"-1"
2.00432137378264,2.00432137378264,2.91803033678488,3.5009222391903,2.85853719756964,3.35945602012099,"1"
2.00432137378264,2.18184358794477,2.8109042806687,4.15210480089287,3.37894269861344,3.45818443557026,"1"
2.00432137378264,2.86923171973098,2.0899051114394,2.25767857486918,2.75739602879302,2.57287160220048,"-1"
2.00432137378264,2.52762990087134,2.52762990087134,3.3911116137028,2.85973856619715,3.326949994166,"1"
2.00432137378264,2.46089784275655,2.72181061521255,2.09342168516224,3.01029995663981,3.50338206347373,"1"
2.00432137378264,2.45178643552429,3.20574554094266,4.20414712521285,3.01325866528352,3.85333310500234,"1"
3.03221570329798,2.00432137378264,3.27508089845686,4.20414712521285,3.39846084960822,3.77451696572855,"1"
2.00432137378264,2.29225607135648,3.34340859380386,3.51772359483374,3.50392680419351,3.62065647981962,"1"
2.08278537031645,2.34439227368511,2.74896286125616,4.10503305039359,3.37106786227174,3.34143452457814,"1"
2.11727129565576,2.36361197989214,2.53402610605613,3.3230457354817,2.88986172125819,2.73559889969818,"1"
2.00432137378264,2.7160033436348,2.39445168082622,3.32035403281767,2.99738638439731,3.38952046584638,"-1"
2.00432137378264,3.088844562727,2.00432137378264,2.2148438480477,3.02118929906994,3.28600712207947,"-1"
2.00432137378264,2.8842287696326,2.40312052117582,2.00432137378264,3.17522180034305,2.59769518592551,"-1"
3.83467497446274,2.53781909507327,2.04921802267018,2.38021124171161,2.83442070368153,2.00432137378264,"-1"
2.00432137378264,3.06632592536204,2.11727129565576,2.00432137378264,2.96941591235398,2.70757017609794,"-1"
2.00432137378264,2.95182303531591,2.36361197989214,2.6570558528571,3.01283722470517,2.62117628177504,"-1"
