"","","","","","","","","","","","","","","","",""
2.00432137378264,2.13353890837022,2.42813479402879,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.89597473235906,2.69108149212297,2.22788670461367,2.00432137378264,2.00432137378264,4.11290649025331,3.05037975626146,2.25285303097989,3.30920417967041,2.03742649794062
2.00432137378264,2.00432137378264,2.57287160220048,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.99782308074573,2.00432137378264,2.38916608436453,2.00432137378264,2.00432137378264,3.25863728272408,3.00732095292274,2.02530586526477,3.17551181336345,2.23044892137827
2.00432137378264,2.00432137378264,2.22010808804005,2.02118929906994,2.00432137378264,2.00432137378264,2.35602585719312,2.78958071216443,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,3.55966727838806,2.63245729218472,2.40312052117582,3.62746827245971,2.58433122436753
2.00432137378264,2.29003461136252,2.72672720902657,2.00432137378264,2.00432137378264,2.00432137378264,2.27875360095283,2.36921585741014,2.99563519459755,2.19033169817029,2.39967372148104,2.00432137378264,3.67678503041921,2.00432137378264,2.00432137378264,3.32345836684947,3.06557971472845
2.00432137378264,2.00432137378264,2.52113808370404,2.48855071650044,2.00432137378264,2.00432137378264,2.70156798505593,2.931457870689,3.08421868673924,2.00432137378264,2.00432137378264,2.00432137378264,3.49359744900053,2.8109042806687,2.00432137378264,3.58229068271899,3.85193067864027
2.00432137378264,2.10380372095596,2.50785587169583,2.35024801833416,2.00432137378264,2.40654018043396,2.00432137378264,2.88874096068289,2.00432137378264,2.11058971029925,2.70156798505593,2.00432137378264,4.07918124604763,2.27646180417324,2.00432137378264,3.56667313760612,2.19865708695442
2.00432137378264,2.00432137378264,2.53402610605613,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.58319877396862,2.00432137378264,2.07188200730613,2.00432137378264,2.00432137378264,3.62335268153799,2.6730209071289,2.00432137378264,3.46893780566546,2.02118929906994
2.13033376849501,2.2405492482826,2.50105926221775,2.46538285144842,2.00432137378264,2.51587384371168,2.00432137378264,2.64738297011462,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,3.53198955141255,2.77232170672292,2.00432137378264,3.44870631990508,2.21748394421391
2.00432137378264,2.3096301674259,3.16643011384328,2.00432137378264,2.00432137378264,2.00432137378264,2.02530586526477,2.70842090013471,2.8494194137969,2.45939248775923,2.03342375548695,2.3096301674259,3.40823996531185,3.05766610390983,2.60205999132796,3.44808766669234,2.44404479591808
2.00432137378264,2.00432137378264,2.81358098856819,3.16256440652302,2.80140371001736,2.55990662503611,2.00432137378264,2.77742682238931,2.30102999566398,2.34830486304816,2.00432137378264,2.00432137378264,3.75073975123535,2.88649072517248,2.90633504180509,3.84491187391214,2.00432137378264
2.00432137378264,2.00432137378264,2.81491318127507,4.01325866528352,3.78024528386535,3.58058287681437,2.00432137378264,2.93550726582471,3.11193427633268,2.59217675739587,2.59659709562646,2.00432137378264,3.96796896287869,3.14332712999205,2.00432137378264,3.4399639359209,2.00432137378264
2.11727129565576,2.22271647114758,2.67117284271508,2.00432137378264,2.00432137378264,2.00432137378264,3.58793534863636,2.13353890837022,3.96089867732666,2.96801571399364,4.06770304404007,3.81928064697248,2.00432137378264,3.38792346697344,3.76454971906447,3.09307130637606,2.78390357927274
2.00432137378264,2.16136800223497,2.49136169383427,3.28216877830464,2.32633586092875,2.69284691927723,2.9982593384237,2.00432137378264,4.00740635150367,2.77378644498119,3.43870053290074,3.99352440316707,2.58319877396862,3.36847283844036,3.36847283844036,2.57634135020579,3.77451696572855
2.00432137378264,2.00432137378264,2.40483371661994,2.00432137378264,2.00432137378264,2.00432137378264,3.97469587190968,2.46982201597816,2.87390159786446,3.18582535961296,4.20414712521285,3.85817613798234,2.66370092538965,2.73399928653839,3.30276370847298,2.61066016308988,2.17897694729317
2.00432137378264,2.54406804435028,2.89762709129044,3.14519640611418,2.85064623518307,3.04139268515822,2.92992956008459,2.04139268515822,3.95458016274376,2.88649072517248,4.20414712521285,4.20414712521285,2.83695673705955,3.55254654795566,3.58782317131896,3.41262852054438,4.07401144600894
