"V26","V31","V41","V44","Class"
63,54,62,64,"1"
74,69,73,56,"1"
53,59,55,51,"1"
64,73,73,59,"1"
41,46,64,49,"1"
65,68,77,61,"1"
65,65,68,63,"1"
66,59,58,49,"1"
53,65,79,59,"1"
52,65,67,53,"1"
54,68,76,54,"1"
70,68,61,64,"1"
66,57,65,51,"1"
59,61,68,65,"1"
64,62,62,61,"1"
64,60,60,62,"1"
58,59,44,51,"1"
57,60,67,64,"1"
62,61,67,62,"1"
59,66,71,59,"1"
77,67,69,58,"1"
67,48,72,65,"1"
69,43,70,65,"1"
23,20,30,41,"1"
54,41,54,45,"1"
56,70,67,53,"1"
58,66,61,34,"1"
59,59,67,44,"1"
64,63,59,63,"1"
68,47,52,59,"1"
69,65,65,57,"1"
35,35,43,32,"1"
23,66,74,11,"1"
37,61,58,24,"1"
57,68,65,53,"1"
69,70,60,55,"1"
52,67,71,52,"1"
19,71,72,15,"1"
36,56,64,49,"1"
48,59,67,45,"1"
59,69,71,66,"0"
63,69,77,64,"0"
69,65,75,69,"0"
69,74,73,58,"0"
68,68,76,65,"0"
63,56,70,42,"0"
75,65,68,62,"0"
62,68,71,63,"0"
66,67,75,65,"0"
63,74,76,54,"0"
74,75,74,58,"0"
56,68,75,63,"0"
60,69,69,55,"0"
66,69,74,62,"0"
67,75,72,51,"0"
65,71,76,52,"0"
67,65,67,60,"0"
61,63,67,61,"0"
69,63,77,65,"0"
62,69,72,60,"0"
56,68,77,63,"0"
54,64,77,61,"0"
56,73,72,60,"0"
71,71,71,53,"0"
65,71,79,66,"0"
64,72,72,62,"0"
68,68,74,57,"0"
66,75,72,57,"0"
57,65,72,61,"0"
75,68,66,62,"0"
63,61,64,59,"0"
66,76,77,59,"0"
75,66,80,71,"0"
71,72,72,54,"0"
67,68,78,65,"0"
61,69,71,56,"0"
76,77,68,56,"0"
66,69,75,67,"0"
49,69,75,58,"0"
67,68,69,59,"0"
