"V26","V31","V41","V44","Class"
70,67,77,59,"1"
66,64,66,57,"1"
63,60,54,43,"1"
64,69,72,58,"1"
76,71,73,49,"1"
64,70,71,68,"1"
58,40,45,54,"1"
53,66,74,59,"1"
63,18,16,56,"1"
40,67,73,53,"1"
58,70,59,53,"1"
39,43,43,41,"1"
60,46,60,43,"1"
40,49,56,33,"1"
27,68,71,27,"1"
42,19,12,42,"1"
67,66,66,57,"1"
72,66,68,56,"1"
39,50,48,37,"1"
63,52,52,59,"1"
39,64,63,34,"1"
30,41,47,28,"1"
43,42,43,39,"1"
54,60,74,63,"1"
51,63,67,54,"1"
60,38,50,36,"1"
51,49,69,58,"1"
60,68,67,62,"1"
76,73,73,58,"1"
62,65,70,56,"1"
72,68,66,59,"1"
70,66,75,62,"1"
42,15,35,29,"1"
46,72,70,56,"1"
63,70,75,62,"1"
69,63,71,66,"1"
62,66,64,52,"1"
20,41,55,18,"1"
62,26,13,46,"1"
60,40,39,29,"1"
48,7,6,30,"1"
60,74,73,52,"1"
47,64,63,50,"1"
12,48,57,13,"1"
49,48,51,61,"1"
54,60,70,60,"1"
56,62,74,66,"1"
43,56,61,37,"1"
59,66,63,58,"1"
48,68,70,50,"1"
62,69,76,64,"1"
49,36,35,52,"1"
33,65,67,27,"1"
56,69,62,44,"1"
72,69,69,65,"1"
41,68,81,55,"1"
33,43,57,21,"1"
29,68,73,24,"1"
60,70,73,39,"1"
56,68,64,53,"1"
45,64,66,58,"1"
61,64,74,56,"1"
56,70,77,52,"1"
57,67,58,34,"1"
66,73,75,50,"1"
33,43,47,52,"1"
57,63,64,41,"1"
60,40,47,54,"1"
62,62,62,54,"1"
40,56,62,37,"1"
74,47,59,61,"1"
42,66,69,60,"1"
53,72,70,55,"1"
48,22,28,76,"1"
71,69,77,61,"1"
54,64,65,51,"1"
51,68,59,34,"1"
63,59,63,49,"1"
68,63,64,54,"1"
32,63,62,30,"1"
31,64,61,24,"1"
62,48,67,70,"1"
44,61,52,39,"1"
62,65,64,56,"1"
62,25,40,57,"1"
33,25,12,46,"1"
60,40,57,42,"1"
30,36,58,23,"1"
66,60,67,62,"1"
54,59,61,54,"1"
72,53,65,58,"1"
17,19,44,15,"1"
55,67,68,50,"1"
61,66,63,25,"1"
73,70,76,49,"1"
48,64,58,51,"1"
60,61,68,56,"1"
58,57,49,56,"1"
61,66,51,44,"1"
66,60,62,55,"1"
55,64,78,82,"1"
74,67,71,58,"1"
53,61,77,62,"1"
48,65,60,36,"1"
65,63,47,56,"1"
60,65,66,55,"1"
65,72,75,63,"1"
56,61,77,65,"1"
65,70,80,61,"1"
75,75,75,64,"1"
66,65,71,50,"1"
51,63,59,43,"1"
48,68,71,52,"1"
65,68,64,43,"1"
72,68,68,66,"1"
66,68,75,65,"1"
74,72,67,58,"1"
79,78,68,37,"1"
54,74,68,50,"1"
69,69,76,58,"1"
73,70,69,66,"1"
64,63,77,63,"1"
65,70,70,57,"1"
65,67,70,67,"1"
55,66,73,62,"1"
67,58,58,68,"1"
62,66,57,59,"1"
67,75,75,49,"1"
70,66,76,55,"1"
69,52,62,60,"1"
57,42,52,46,"1"
58,72,66,40,"1"
74,70,68,55,"1"
38,45,54,39,"1"
70,66,61,58,"1"
55,64,59,47,"1"
53,25,39,62,"1"
56,38,46,66,"1"
47,67,61,50,"1"
18,44,59,13,"1"
42,52,58,46,"1"
75,15,22,56,"1"
46,65,66,55,"1"
61,62,69,50,"1"
62,36,48,35,"1"
66,69,76,63,"1"
64,40,48,35,"1"
75,40,43,59,"1"
24,67,74,13,"1"
65,63,69,57,"1"
67,67,66,54,"1"
76,63,70,56,"1"
72,70,66,63,"1"
76,63,71,60,"1"
61,65,65,53,"1"
65,67,72,64,"1"
72,67,67,53,"1"
17,30,31,18,"1"
23,32,39,24,"1"
51,48,53,46,"1"
66,53,65,61,"1"
64,67,69,63,"1"
56,63,65,51,"1"
53,67,66,53,"1"
43,73,66,28,"1"
49,68,73,50,"1"
65,71,71,56,"1"
49,35,49,29,"1"
69,61,61,61,"1"
72,64,59,70,"1"
63,64,65,60,"1"
57,66,66,51,"1"
71,68,65,66,"0"
58,60,75,62,"0"
62,66,62,50,"0"
60,61,72,70,"0"
71,39,73,65,"0"
61,68,66,58,"0"
60,58,64,56,"0"
73,74,73,59,"0"
67,70,76,67,"0"
73,75,71,62,"0"
66,69,68,54,"0"
69,64,68,56,"0"
67,68,75,67,"0"
65,65,78,70,"0"
61,67,72,57,"0"
