"117_at","121_at","1320_at","1405_i_at","1438_at","201930_at","202683_s_at","203139_at","203625_x_at","203928_x_at","204681_s_at","204825_at","205225_at","205713_s_at","205751_at","206793_at","208582_s_at","208670_s_at","208893_s_at","209560_s_at","209603_at","209604_s_at","210735_s_at","211864_s_at","212344_at","212583_at","215432_at","215609_at","216092_s_at","217257_at","218002_s_at","218856_at","219438_at","219919_s_at","220034_at","221704_s_at","222256_s_at","Class"
7.5017,10.6764,6.1196,4.2718,8.5984,9.377,8.8732,8.814,8.6829,10.986,8.7098,7.9851,13.8754,5.2933,5.445,7.6737,3.5125,8.8319,7.6049,7.6698,11.979,15.0625,11.362,9.2348,11.6005,7.5912,3.0102,6.4929,10.6963,3.9491,9.628,6.8392,8.4629,9.0418,6.6028,7.872,5.7322,"2"
7.3458,10.5366,7.1575,8.454,8.5378,9.0588,8.5511,8.7652,8.3696,8.1054,8.1223,5.2744,11.7217,4.3142,6.3482,6.6669,2.8295,9.8519,8.9154,11.5012,10.8744,14.4978,9.5434,10.1938,8.1512,7.5112,4.0525,4.7387,9.378,6.3079,9.5576,10.2503,6.6613,8.294,5.8614,7.9795,5.6664,"1"
8.3759,11.1175,7.7247,9.9479,8.289,9.3094,8.5826,9.4426,8.5685,8.3152,7.5006,5.9481,10.996,4.524,6.0619,5.7248,3.4439,9.3521,9.1121,7.7658,8.0211,12.4583,9.231,8.4931,8.0329,4.692,5.151,6.3879,9.384,4.0241,9.6352,10.6432,6.9982,5.7412,7.916,7.5452,5.9861,"2"
6.7908,10.7172,6.6899,6.2971,8.1686,8.6977,8.7651,8.3725,8.6258,10.3776,8.4397,7.2743,13.1709,5.6629,6.4097,7.5486,2.1221,9.0844,4.9278,7.3802,12.1921,15.2538,10.5688,10.5216,10.2223,7.4438,5.0238,5.5953,10.1166,6.3907,8.2091,6.51,7.7132,8.3221,3.0669,8.5243,4.6524,"2"
9.9053,11.3643,6.9291,9.5212,6.5189,9.2745,8.885,9.6763,7.5755,7.0525,6.8744,7.7976,11.3564,7.2584,7.7306,5.7523,5.8577,8.4021,9.1944,7.8564,8.9641,12.94,9.789,7.677,8.1494,7.005,5.2589,6.7469,7.8887,6.3383,3.9965,6.3863,7.6315,5.9479,7.0706,9.2504,4.6944,"2"
7.6081,10.1439,7.4646,8.2761,8.1477,10.3654,8.7421,7.9845,7.8873,7.6079,6.9657,8.8661,8.2567,8.1876,4.4014,14.4,3.3851,9.681,8.9311,6.3209,8.8958,13.0091,8.2569,9.0195,8.1958,6.4889,4.0902,4.1096,9.1651,5.8236,8.0155,9.2757,7.1848,8.9332,6.2262,6.1414,5.4838,"1"
8.9351,10.5833,7.9064,7.4885,7.1637,9.1013,9.1022,8.7043,6.8007,11.2617,6.3186,7.4989,11.7448,7.1276,5.2843,10.4487,1.6282,8.5916,4.5641,7.4178,8.8227,12.9271,11.2951,9.639,9.3505,7.2498,3.641,5.9119,9.9279,5.7075,6.6966,6.3468,10.0236,5.901,3.6442,8.4071,5.7147,"2"
7.8527,10.0992,7.2142,12.341,9.5541,11.5047,8.705,10.2643,11.1812,7.0836,7.128,10.8174,8.4923,4.2758,4.4349,6.722,6.0098,8.8679,5.9741,6.4118,7.869,10.0815,7.1807,9.0955,6.7431,3.837,4.0017,5.168,7.631,4.0633,10.1721,5.5129,5.6862,6.3636,6.1997,8.5593,8.3319,"2"
7.8096,10.0614,6.9506,13.0767,5.8828,10.6052,8.9567,9.741,10.3012,4.9445,5.7255,11.3633,8.22,4.8917,4.1782,6.8581,3.4568,8.8598,7.3218,6.7974,5.384,10.4132,8.1798,9.5613,5.9878,3.8535,3.922,6.0119,9.2011,6.0637,11.4103,8.8579,6.5194,6.6051,3.9349,7.8763,4.9369,"2"
7.1587,10.8885,7.23,7.3931,8.1545,9.7025,7.9078,8.827,8.3443,11.2567,8.0388,7.7172,13.3314,8.5642,6.0803,6.0097,6.0416,9.2278,5.1121,8.2175,10.6131,14.2407,9.9664,8.5314,9.0371,8.4906,5.1046,6.9133,10.0632,3.8405,6.8175,8.2055,8.6258,5.9664,6.3171,8.3233,4.4214,"2"
7.5754,10.3995,6.8264,9.6931,10.8538,10.8276,8.6115,9.2549,10.7475,5.1021,6.9664,10.7267,7.3225,6.9006,4.5127,7.4525,1.6738,8.1283,3.7827,7.7383,7.8765,11.5877,7.8667,9.1898,6.7721,6.0959,4.6232,6.2217,7.8574,5.848,8.9042,10.4246,6.1314,7.0135,6.3385,8.515,3.001,"2"
9.4074,11.1072,5.6754,10.1236,8.4535,8.3971,9.3272,9.5308,7.3814,7.6512,6.1453,7.478,10.5792,4.5409,6.7532,6.1131,4.3111,9.931,7.6142,8.3721,9.942,13.5929,9.7417,9.28,8.8372,5.6577,4.1204,7.8295,9.7508,3.8847,9.3933,9.2016,8.4296,6.2812,4.8138,7.7797,5.993,"2"
7.8502,12.5159,6.7969,8.0565,7.289,10.95,8.635,8.9875,9.3148,4.7908,8.5195,10.8804,10.5622,1.7593,3.0293,5.9263,2.6992,8.6945,4.7939,6.9641,4.1991,8.6007,8.1083,11.9445,7.342,4.2233,3.1941,6.1185,7.9543,4.4553,7.3994,11.9928,6.4979,8.403,3.2631,7.1668,4.6789,"2"
8.3035,10.5475,5.5099,7.2098,7.6954,9.3732,8.1599,7.829,8.5543,9.6353,7.4677,8.6607,13.3712,6.0129,3.9041,7.1238,4.7321,9.2531,4.5708,7.5544,10.4073,13.8736,11.2976,9.2068,8.5354,7.179,2.6807,3.6904,10.7211,0.8426,9.8048,6.769,8.8838,7.3748,3.5877,8.3832,4.4785,"2"
7.9844,10.1832,5.839,7.765,8.6306,8.816,8.3325,9.3678,6.8049,8.6687,7.9681,6.766,12.4182,9.9627,5.8034,7.3167,6.1301,9.4525,7.8242,6.8721,10.3235,13.9525,10.3298,10.4572,9.156,7.4363,6.5259,7.3937,9.9597,6.6165,11.277,6.7571,6.4887,8.721,6.3822,8.6685,7.3899,"2"
8.1751,10.1268,6.7413,8.3489,7.3158,10.844,8.6214,9.5396,11.8311,5.3288,9.7549,9.7675,8.3408,2.9505,3.5526,8.4087,5.4615,8.6802,10.5707,6.9345,7.6337,11.1446,7.1372,8.9316,7.3206,6.4616,3.8672,6.3773,8.1195,5.7569,6.7802,10.3308,5.9505,8.2878,7.9476,9.8812,4.8788,"1"
8.1448,11.3997,7.2533,7.2821,8.6307,9.8881,9.4828,9.124,7.7854,9.4309,6.7336,9.8635,13.0582,7.1801,3.908,6.1625,4.9191,9.5551,5.88,8.0151,10.7095,14.0451,11.7014,9.9049,9.2143,5.8374,4.4613,7.2835,9.8092,3.4259,11.9215,8.4338,9.7413,4.8193,6.3279,7.5393,6.4885,"2"
8.4572,11.3217,6.741,10.0948,8.7391,9.2635,9.2349,9.7394,7.503,7.7927,6.5078,5.131,11.1112,7.0996,6.9308,6.332,6.5695,8.6223,8.3351,8.5531,10.4716,14.2077,9.7647,9.39,8.0318,7.48,5.115,6.5176,9.7664,5.2179,8.357,10.014,6.1078,6.1104,5.6253,8.3227,5.0853,"2"
7.4646,10.6053,4.9369,7.4585,7.2871,11.2493,9.5725,8.38,8.8886,8.105,8.1432,9.5011,8.3414,7.302,4.1376,13.5248,3.5036,9.0472,9.1135,7.386,8.3591,11.8983,8.1442,9.2731,7.9109,6.5584,7.7367,4.3954,9.5203,6.1741,6.914,9.9491,6.2126,8.3027,3.8067,10.6212,5.4322,"2"
