"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2.00432137378264,2.00432137378264,2.00432137378264,2.42813479402879,2.00432137378264,2.00432137378264,2.00432137378264,2.17609125905568,2.36172783601759,3.80746737568428,4.20414712521285,2.65991620006985,2.79448804665917,3.30254737248749,2.00432137378264,2.89597473235906,3.9395691686559,2.69108149212297,2.22788670461367,2.6570558528571,2.00432137378264,2.5705429398819,2.97863694838447,2.00432137378264,3.43964842956347,2.10037054511756,3.0640834359636,4.11290649025331,2.00432137378264,2.00432137378264,2.00432137378264,3.36229393796423,2.25285303097989,2.00432137378264,3.16967443405881,3.17172645365323
2.56584781867352,2.21218760440396,2.00432137378264,2.57287160220048,2.00432137378264,2.00432137378264,2.00432137378264,2.34044411484012,2.00432137378264,2.00432137378264,3.30749603791321,2.53781909507327,2.77959649125782,3.25623653320592,2.00432137378264,2.99782308074573,3.66417170536193,2.00432137378264,2.38916608436453,2.00432137378264,2.00432137378264,2.95036485437612,3.00389116623691,2.00432137378264,2.00432137378264,3.07261747654524,2.68752896121463,3.25863728272408,2.00432137378264,2.9731278535997,2.00432137378264,2.00432137378264,2.02530586526477,2.55750720190566,3.44075170047919,2.78318869107526
2.00432137378264,2.00432137378264,2.00432137378264,2.22010808804005,2.02118929906994,2.00432137378264,2.00432137378264,2.20411998265592,2.00432137378264,2.45024910831936,2.8842287696326,2.00432137378264,3.22245633667925,3.58927922123597,2.35602585719312,2.78958071216443,3.17260293120986,2.00432137378264,2.00432137378264,3.73909744611748,2.00432137378264,2.73559889969818,3.08242630086077,2.00432137378264,3.34143452457814,2.77670118398841,3.0068937079479,3.55966727838806,2.00432137378264,2.0899051114394,2.00432137378264,3.13830269816628,2.40312052117582,2.75281643118827,3.22582599146189,3.17026171539496
2.00432137378264,2.69983772586725,2.00432137378264,2.72672720902657,2.00432137378264,2.00432137378264,2.00432137378264,2.69722934275972,2.93449845124357,2.31806333496276,3.41212440617332,2.91539983521227,3.01786771896351,3.4929000111087,2.27875360095283,2.36921585741014,3.63928722591024,2.99563519459755,2.19033169817029,3.80386663428498,2.39967372148104,3.58467038446435,3.04453976039241,2.00432137378264,3.41145134213794,2.21748394421391,2.75511226639507,3.67678503041921,2.00432137378264,2.00432137378264,2.65321251377534,2.06818586174616,2.00432137378264,2.95999483832842,2.85853719756964,3.24353410183206
2.00432137378264,2.00432137378264,2.00432137378264,2.52113808370404,2.48855071650044,2.00432137378264,2.00432137378264,2.83122969386706,2.90091306773767,2.76715586608218,3.13545069934551,2.83632411570675,3.05037975626146,3.60852603357719,2.70156798505593,2.931457870689,3.87742894078822,3.08421868673924,2.00432137378264,4.20414712521285,2.00432137378264,3.44808766669234,3.17695898058691,2.00432137378264,3.23401081758718,2.48855071650044,2.45331834004704,3.49359744900053,2.22010808804005,2.49276038902684,3.38827886345964,3.83391171507138,2.00432137378264,2.33645973384853,3.31132995230379,3.33223641549144
2.00432137378264,2.00432137378264,2.00432137378264,2.50785587169583,2.35024801833416,2.00432137378264,2.40654018043396,2.07554696139253,2.00432137378264,4.20414712521285,3.99246514780804,2.32633586092875,3.19395897801919,3.59549622182557,2.00432137378264,2.88874096068289,3.94408767941543,2.00432137378264,2.11058971029925,3.14736710779379,2.70156798505593,3.30535136944662,3.06818586174616,2.00432137378264,3.28735377271475,2.00432137378264,2.98407703390283,4.07918124604763,2.00432137378264,2.00432137378264,2.00432137378264,3.85811593219007,2.00432137378264,2.46239799789896,3.36285930295868,3.29136885045158
2.00432137378264,2.00432137378264,2.00432137378264,2.53402610605613,2.00432137378264,2.00432137378264,2.00432137378264,2.14921911265538,2.00432137378264,4.18230049959334,4.08863214184632,2.28103336724773,2.73798732633343,3.84235957333068,2.00432137378264,2.58319877396862,4.09018748757542,2.00432137378264,2.07188200730613,2.30102999566398,2.00432137378264,3.68930885912362,3.19089171692217,2.00432137378264,3.42160392686983,2.00432137378264,2.88930170250631,3.62335268153799,2.00432137378264,2.00432137378264,2.00432137378264,3.83790394459294,2.00432137378264,3.04571405894087,3.30016053695135,3.10585067438514
2.00432137378264,2.00432137378264,2.13033376849501,2.50105926221775,2.46538285144842,2.00432137378264,2.51587384371168,2.00432137378264,2.19312459835446,4.20414712521285,4.18616496172741,2.00432137378264,2.97909290063833,3.54394394248291,2.00432137378264,2.64738297011462,3.73511963408187,2.00432137378264,2.00432137378264,3.11092624226642,2.00432137378264,3.28891960566173,3.24328614608345,2.00432137378264,3.47928731647617,2.41161970596323,2.88592633980143,3.53198955141255,2.00432137378264,2.00432137378264,2.24797326636181,4.02914017976432,2.00432137378264,2.46538285144842,3.2523675144599,2.99166900737995
2.00432137378264,2.00432137378264,2.00432137378264,3.16643011384328,2.00432137378264,2.00432137378264,2.00432137378264,2.40654018043396,2.33645973384853,2.23299611039215,2.9304395947667,2.51054501020661,2.98632377705077,3.28443073384452,2.02530586526477,2.70842090013471,3.86746748785905,2.8494194137969,2.45939248775923,2.00432137378264,2.03342375548695,2.61278385671974,3.14798532068381,2.3096301674259,2.71767050300226,2.87273882747267,2.82930377283102,3.40823996531185,2.00432137378264,2.00432137378264,2.00432137378264,2.32837960343874,2.60205999132796,2.78247262416629,2.89209460269048,3.02242837118549
2.00432137378264,2.20411998265592,2.00432137378264,2.81358098856819,3.16256440652302,2.80140371001736,2.55990662503611,2.3384564936046,2.34830486304816,3.17376882313665,3.47246389660699,2.98407703390283,3.08600370561838,4.00680820849258,2.00432137378264,2.77742682238931,3.85835670529777,2.30102999566398,2.34830486304816,2.00432137378264,2.00432137378264,3.78397500341267,3.21563756343506,2.00432137378264,3.39040515648008,2.57978359661681,2.79098847508882,3.75073975123535,2.00432137378264,2.00432137378264,2.00432137378264,4.20414712521285,2.90633504180509,2.96425963019685,3.36903022180915,3.38542751480513
2.85125834871908,2.00432137378264,2.00432137378264,2.81491318127507,4.01325866528352,3.78024528386535,3.58058287681437,2.56466606425209,2.14301480025409,4.10095610305949,4.1360860973841,2.91222205653242,3.60884682232641,3.88772979728803,2.00432137378264,2.93550726582471,3.81980706459076,3.11193427633268,2.59217675739587,2.00432137378264,2.59659709562646,3.26576091671761,3.41879829059035,2.00432137378264,3.48029446000301,2.00432137378264,3.14829409743475,3.96796896287869,2.00432137378264,2.00432137378264,2.00432137378264,3.86123561863404,2.00432137378264,2.00432137378264,3.37364747220922,3.16672605558005
2.00432137378264,2.00432137378264,2.11727129565576,2.67117284271508,2.00432137378264,2.00432137378264,2.00432137378264,2.56229286445647,2.85430604180108,2.06445798922692,2.9304395947667,2.00432137378264,2.87448181769947,2.00432137378264,3.58793534863636,2.13353890837022,2.08278537031645,3.96089867732666,2.96801571399364,2.00432137378264,4.06770304404007,2.19589965240923,3.79406958398163,3.81928064697248,2.00432137378264,3.40122816749811,2.09342168516224,2.00432137378264,3.19948091486236,3.39707054995941,3.09096307659573,2.00432137378264,3.76454971906447,3.50839503313305,2.83058866868514,2.29666519026153
2.00432137378264,2.48855071650044,2.00432137378264,2.49136169383427,3.28216877830464,2.32633586092875,2.69284691927723,2.6730209071289,2.88817949391832,3.07298474462793,3.34340859380386,2.00432137378264,2.84385542262316,2.00432137378264,2.9982593384237,2.00432137378264,2.00432137378264,4.00740635150367,2.77378644498119,2.49692964807321,3.43870053290074,2.14921911265538,3.44963265047007,3.99352440316707,2.00432137378264,3.14426277376199,2.33041377334919,2.58319877396862,3.10380372095596,3.55205953418788,3.90579588036787,2.00432137378264,3.36847283844036,3.18155777386279,2.70156798505593,2.04532297878666
