"var1","var2","var3","var187","var246","var255","var509","var742","var819","var842","var846","var1003"
0.139501039,-1.168927463,0.564972842,-0.854960477,-2.501036032,1.165710032,-1.367276355,1.104030915,-1.657053766,-0.369036751,-2.160217852,-1.988504547
1.1642751775,-2.0181583133,1.103533493,-2.8949823705,-0.5151683732,-0.5927590065,-2.3655248928,-1.160594081,-2.1991263846,0.7715886069,-2.4877105771,-2.9280736251
0.841092935,0.254719735,-0.208747671,2.957879824,-1.933092645,-1.027222293,2.815109273,-0.732511904,-1.017493237,0.927151539,-2.15330339,1.000558348
0.685064604,-1.927579192,-0.233067633,-0.888918785,0.942854763,0.280657458,-0.553559166,-1.121778567,0.196553139,0.87771621,-0.006923915,-1.454573202
-1.956162526,-2.234926445,0.281563391,-3.123565645,-1.625059293,-0.895263365,-2.524479425,-2.328929068,-3.170085661,1.45749812,0.474120145,-2.736449676
-0.2586412037,-1.6847003969,0.1758003398,-0.2555376191,-0.7184649885,0.0846168457,-0.2766761933,1.4324142967,-3.1535563587,-0.6751108181,-1.9582864201,-1.9296431766
-1.109875481,-1.046969056,-0.853785527,2.403940599,-0.064538521,-0.758646163,3.192392209,-0.766148073,-1.532939941,1.827785984,-0.376149054,1.301743591
1.4714853322,-1.7515776796,-0.2567003348,-0.7700282249,-0.3677358913,-0.9065879564,0.0509782448,-1.2740376788,-1.8344582238,1.6435880999,-1.5837701657,-0.9625964848
-0.3961585488,-1.1913856888,0.6966908942,-2.1236024375,-0.9578942817,0.4401885442,-1.1196316559,1.0842090584,-2.3289290683,-0.1357051822,-0.361974677,-1.9011280063
-2.136223556,-2.236797352,-0.946492241,-2.673648774,-0.969691509,-2.050271164,-1.863685209,-1.649739209,-2.60775248,0.448524598,0.924457295,-1.544118446
-0.190676361,-1.513219055,0.824438566,-1.740116236,-0.725877005,0.699178953,0.062693069,1.603802061,-2.481711759,-0.562294372,-0.909315118,-1.709810887
1.321409113,0.495366749,0.041525747,2.592766539,-1.292804018,-0.975244875,1.748138422,-0.14792013,-0.845133538,0.802315438,-1.676112046,1.088595622
-1.6820086053,-2.4395509481,0.6848125438,-2.9818293684,-1.2559680994,-2.0226832079,-2.3538783874,-2.0272286702,-2.6664285264,1.0543120298,0.4177230055,-1.7891628434
-0.3322611158,-2.2000285047,-0.4634650524,-1.2740376788,1.1576356291,-2.167180456,-0.4164249483,-1.1731203408,-1.6347557204,1.0884946105,-1.7446850618,-1.1332037334
1.11123232,-1.98195192,0.223543471,0.409257906,0.681580544,-1.935860813,0.996321132,-1.182537524,-1.194682757,0.428074251,-0.032729825,-1.566378423
0.648724963,-1.386694441,-0.562645372,1.553206128,1.893277612,-1.950520762,2.01278077,-1.534794369,-0.472246142,0.753065671,0.330741562,-1.790959789
-0.2714151,-1.1254697428,-1.5380479163,1.7640284955,-1.061605563,-2.0596389144,2.1908263746,-0.8974689776,-1.4779711497,1.5112295369,-0.4957728211,0.1504008007
-0.445818462,-1.380312289,0.299289445,-0.579997083,-0.727531607,-0.033556784,1.274496503,1.319967575,-1.442653095,0.013902905,-0.419006379,-1.660205029
0.259436907,-0.7826343471,-1.2779782176,2.4286537082,-0.6794415335,0.0407579925,2.5618445425,-0.7217524376,-0.3602527653,0.9926960631,-0.4727273352,0.3079992732
-0.192493112,-1.063052113,0.203185712,-1.850236399,-0.916790857,0.615293741,-0.601845022,1.6970641,-2.106196279,-0.19723217,-0.889405403,-1.570217199
