"var1","var2","var3","var5","var6","var10","var12","var17","var20","var22","var24","var26","var119","var129","var174","var187","var229","var246","var255","var276","var368","var433","var545","var554","var603","var607","var695","var742","var756","var788","var819","var836","var842","var846","var851","var1003","var1076","Class"
0.139501039,-1.168927463,0.564972842,-1.323131786,-0.69254736,0.509765062,0.199670195,-0.033556784,0.750755493,2.269379851,-0.374548005,2.682301531,-2.349676701,-1.822631133,-2.755141809,-0.854960477,-1.702650294,-2.501036032,1.165710032,-0.600932697,-1.788564578,-2.864704011,-0.209733864,-2.167180456,-2.688247574,-3.233989463,-0.583934096,1.104030915,-0.093651556,-1.317888328,-1.657053766,-2.657832485,-0.369036751,-2.160217852,0.435347483,-1.988504547,-0.622688717,"3"
1.1642751775,-2.0181583133,1.103533493,-1.4401171678,-0.4374202793,1.0455630676,-1.195013063,0.3261332588,0.706754184,2.1806773123,0.0536355492,2.4110178844,-2.4698210124,-1.2833768271,-2.5796569863,-2.8949823705,-1.1864603792,-0.5151683732,-0.5927590065,-2.4101703037,-1.1008147122,-2.8336134241,1.7506943896,-2.0425311877,-3.3298073856,-2.0698873289,-2.9778923554,-1.160594081,0.6843082319,-1.4806050406,-2.1991263846,-2.9262062109,0.7715886069,-2.4877105771,-1.6124424215,-2.9280736251,-0.9555514458,"2"
0.841092935,0.254719735,-0.208747671,-1.512765025,-1.263722809,1.063019653,0.161183038,-0.207516295,0.651335113,2.61372487,-0.51266064,2.479156818,-2.175952442,2.636203261,-0.670603216,2.957879824,-0.661067287,-1.933092645,-1.027222293,-0.357103607,-0.167472354,-1.312300681,0.69544454,1.671228913,-0.596565083,-1.998045903,-1.542246663,-0.732511904,0.007273484,-1.752731082,-1.017493237,-2.064355904,0.927151539,-2.15330339,-0.592216462,1.000558348,-1.294262276,"4"
0.685064604,-1.927579192,-0.233067633,-1.008954417,0.774450632,-0.101700555,-0.684187439,-0.381846243,-0.645691239,0.984771472,0.747445954,0.720859619,0.541917231,-1.646620704,-1.149484619,-0.888918785,-1.309703759,0.942854763,0.280657458,0.679453853,1.313965575,-1.164111271,1.569761095,-1.341320995,-0.903374507,0.310054923,-0.891110433,-1.121778567,0.018919885,0.69823422,0.196553139,-1.25351325,0.87771621,-0.006923915,1.743828935,-1.454573202,0.241769015,"2"
-1.956162526,-2.234926445,0.281563391,-1.214696768,-1.05987246,0.727500297,-1.621004549,0.079180798,0.260901657,1.846831449,-0.652965391,2.393722944,-1.773723107,-1.666537504,-2.392509801,-3.123565645,-0.690949597,-1.625059293,-0.895263365,1.568115793,-1.913927103,-2.847312268,-0.615815838,-1.721487416,-3.264919763,-2.706052198,-2.756715373,-2.328929068,0.434441216,-2.981829368,-3.170085661,-1.191056579,1.45749812,0.474120145,-2.698595042,-2.736449676,-1.46403971,"1"
-0.2586412037,-1.6847003969,0.1758003398,-1.6922761907,-0.0086371934,0.7165218519,-0.2338253997,0.4673751779,-0.3636995589,1.6253309464,0.3712186694,1.9062630593,-2.2946169233,-2.7457520683,-2.6227903572,-0.2555376191,-1.3371233171,-0.7184649885,0.0846168457,-1.0532565869,-0.9832321376,-2.4877105771,0.2416904886,-1.7760829898,-2.6678684115,-1.3126722212,-0.9253314765,1.4324142967,0.2047351516,-0.6568152513,-3.1535563587,-2.0264696569,-0.6751108181,-1.9582864201,0.172776144,-1.9296431766,0.1011115014,"3"
-1.109875481,-1.046969056,-0.853785527,-1.770781063,-1.259133216,-0.533071233,-0.865835288,-0.349132035,-0.346724613,1.193407184,-0.231932057,1.483353011,-1.05987246,-0.114962018,-0.987249821,2.403940599,-1.269044801,-0.064538521,-0.758646163,2.174035556,0.026739297,-0.805868051,1.625881965,1.713635752,-0.807884858,0.926478658,-1.613445934,-0.766148073,1.332788094,0.912523645,-1.532939941,-0.35939292,1.827785984,-0.376149054,-0.647409289,1.301743591,2.239549442,"4"
1.4714853322,-1.7515776796,-0.2567003348,-1.3649243354,-1.1986536428,0.7792790042,-0.7730565638,-0.1394919788,-0.4144553999,0.8177072005,-0.7469699873,2.0583966431,-0.6498961386,-1.1526461772,-1.1047309697,-0.7700282249,-1.3056364581,-0.3677358913,-0.9065879564,0.4262476473,0.6995764683,-1.172151192,0.7130478423,-1.6204988598,-1.8792800668,-1.1770063561,-1.8819030191,-1.2740376788,1.1683559893,-1.1425641762,-1.8344582238,-1.5455245867,1.6435880999,-1.5837701657,0.5481214085,-0.9625964848,-0.5972916949,"2"
-0.3961585488,-1.1913856888,0.6966908942,-1.3126722212,0.7449803292,0.953470903,-0.169128963,0.9281007186,-0.3180038323,0.9939552292,0.0380662008,1.9236499329,-2.212744389,-2.7854713481,-1.826350914,-2.1236024375,-1.8030226615,-0.9578942817,0.4401885442,1.3078732546,-2.1236024375,-1.7826015314,0.1347057029,-0.8734707347,-1.5385135741,-1.3019532127,-2.3517753372,1.0842090584,0.6715148804,-1.2758269081,-2.3289290683,-1.7198109699,-0.1357051822,-0.361974677,-0.2176586211,-1.9011280063,-0.2241440516,"3"
-2.136223556,-2.236797352,-0.946492241,-1.822631133,-0.45523325,0.543776724,0.089749292,-0.912049738,-0.270497248,1.917672331,0.315029694,1.748573572,-1.5154923,-1.968258013,-2.097198263,-2.673648774,-1.371997056,-0.969691509,-2.050271164,2.829293908,-2.028748427,-2.225624052,-0.864884944,-2.081844426,-2.330984568,-1.506881324,-1.139121832,-1.649739209,-0.528650209,-2.014403146,-2.60775248,0.102646837,0.448524598,0.924457295,-1.672910335,-1.544118446,-1.40283033,"1"
