"var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","var25","var26","var27","var107","var119","var123","var129","var153","var169","var174","var182","var187","var229","var236","var246","var248","var251","var255","var276","var336","var338","var368","var422","var433","var509","var544","var545","var554","var566","var567","var575","var589","var603","var607","var695","var714","var742","var756","var783","var788","var819","var836","var842","var846","var851","var1003","var1055","var1076"
0.139501039,-1.168927463,0.564972842,-3.366795955,-1.323131786,-0.69254736,2.327394772,0.923703192,0.112167297,0.509765062,2.404464557,0.199670195,2.158310484,0.514498869,-0.498897053,0.330813398,-0.033556784,1.554981727,-2.397995278,0.750755493,0.047551302,2.269379851,-1.019985968,-0.374548005,0.224822142,2.682301531,-2.861201381,-1.734434403,-2.349676701,-2.785471348,-1.822631133,-0.375566558,-0.708870141,-2.755141809,-3.144232282,-0.854960477,-1.702650294,0.009058844,-2.501036032,-1.191714907,0.545922461,1.165710032,-0.600932697,0.182404887,-3.174858939,-1.788564578,-0.384046141,-2.864704011,-1.367276355,0.246391218,-0.209733864,-2.167180456,-2.991740252,-0.866073016,-0.884792065,-1.581822745,-2.688247574,-3.233989463,-0.583934096,-2.286711744,1.104030915,-0.093651556,-1.906497147,-1.317888328,-1.657053766,-2.657832485,-0.369036751,-2.160217852,0.435347483,-1.988504547,-2.22192719,-0.622688717
1.1642751775,-2.0181583133,1.103533493,-2.1654352548,-1.4401171678,-0.4374202793,2.6615873267,1.2240106981,0.2105040078,1.0455630676,2.3475010956,-1.195013063,1.5166645123,0.5300986991,-1.268689119,0.0967636684,0.3261332588,1.5026764159,-2.4961698421,0.706754184,0.9876434833,2.1806773123,-1.8170772772,0.0536355492,-0.3744025827,2.4110178844,-2.5319982573,-1.8559780416,-2.4698210124,-1.8189251373,-1.2833768271,-1.2651392396,-1.1394342832,-2.5796569863,-3.0512449835,-2.8949823705,-1.1864603792,-1.6215104937,-0.5151683732,-1.6591535047,0.3527673191,-0.5927590065,-2.4101703037,-0.5971099924,-1.8508727337,-1.1008147122,-1.2437536743,-2.8336134241,-2.3655248928,1.4258996157,1.7506943896,-2.0425311877,-0.3112919381,-0.5323898017,-2.0069348509,-1.0618947057,-3.3298073856,-2.0698873289,-2.9778923554,-2.6394574096,-1.160594081,0.6843082319,-0.665726585,-1.4806050406,-2.1991263846,-2.9262062109,0.7715886069,-2.4877105771,-1.6124424215,-2.9280736251,-0.9413521625,-0.9555514458
0.841092935,0.254719735,-0.208747671,-2.14814874,-1.512765025,-1.263722809,2.946641814,0.08782771,0.482919855,1.063019653,2.144561925,0.161183038,2.350975177,0.988015867,-0.827364523,-0.436955775,-0.207516295,1.276814261,-2.161953963,0.651335113,0.429051418,2.61372487,-1.116267224,-0.51266064,0.09630968,2.479156818,-1.713133149,0.829991828,-2.175952442,-2.042531188,2.636203261,-0.064645193,-1.193032864,-0.670603216,-2.302585093,2.957879824,-0.661067287,0.464928271,-1.933092645,-0.152918106,1.044472843,-1.027222293,-0.357103607,-1.692819521,-1.265848208,-0.167472354,-1.863685209,-1.312300681,2.815109273,1.122035804,0.69544454,1.671228913,-1.856618042,-0.233320158,-1.334461212,-1.136625731,-0.596565083,-1.998045903,-1.542246663,2.877764846,-0.732511904,0.007273484,-2.085862109,-1.752731082,-1.017493237,-2.064355904,0.927151539,-2.15330339,-0.592216462,1.000558348,-0.254118356,-1.294262276
0.685064604,-1.927579192,-0.233067633,-1.640412717,-1.008954417,0.774450632,1.617167958,-0.567925216,0.036621183,-0.101700555,1.102504703,-0.684187439,2.015742668,0.31429966,0.01133551,-0.462670582,-0.381846243,-0.254634218,-1.105636904,-0.645691239,-0.195528384,0.984771472,-0.442544116,0.747445954,0.406064928,0.720859619,0.305128986,0.913446691,0.541917231,-1.574553511,-1.646620704,-0.58590843,-0.793188535,-1.149484619,-0.968900682,-0.888918785,-1.309703759,-0.447850825,0.942854763,-0.155718575,-0.787677664,0.280657458,0.679453853,-0.014707629,-1.14696255,1.313965575,-0.472085795,-1.164111271,-0.553559166,0.684055981,1.569761095,-1.341320995,0.758934921,1.48235426,-0.471124257,-0.818710404,-0.903374507,0.310054923,-0.891110433,-1.547872557,-1.121778567,0.018919885,-1.244794799,0.69823422,0.196553139,-1.25351325,0.87771621,-0.006923915,1.743828935,-1.454573202,-1.101115419,0.241769015
-1.956162526,-2.234926445,0.281563391,-2.695627681,-1.214696768,-1.05987246,2.498069636,0.780196057,1.041583278,0.727500297,2.595038266,-1.621004549,1.046581881,0.430222759,-0.738353773,-0.536485371,0.079180798,1.471852599,-2.549765222,0.260901657,1.029690843,1.846831449,-2.064355904,-0.652965391,-0.757579041,2.393722944,-0.992092445,-2.416874239,-1.773723107,-0.234710188,-1.666537504,-2.416874239,-2.039451893,-2.392509801,-3.196625216,-3.123565645,-0.690949597,-2.808423175,-1.625059293,-2.530741186,-2.397995278,-0.895263365,1.568115793,-0.780667778,-3.420380201,-1.913927103,-0.923567141,-2.847312268,-2.524479425,-1.798180037,-0.615815838,-1.721487416,-3.005782609,-1.427116356,-3.257097038,-1.34822816,-3.264919763,-2.706052198,-2.756715373,-2.353878387,-2.328929068,0.434441216,0.630207381,-2.981829368,-3.170085661,-1.191056579,1.45749812,0.474120145,-2.698595042,-2.736449676,-2.926206211,-1.46403971
-0.2586412037,-1.6847003969,0.1758003398,-2.3238087294,-1.6922761907,-0.0086371934,2.3021349917,0.455777922,-0.3424903089,0.7165218519,2.0622190829,-0.2338253997,2.1933950318,0.3013630595,-0.8063158787,-0.4725669116,0.4673751779,-0.5830379579,-1.7808195292,-0.3636995589,-0.3475736297,1.6253309464,-0.74675895,0.3712186694,-0.1210383284,1.9062630593,-0.6653374799,-2.1794828959,-2.2946169233,-2.8302178351,-2.7457520683,0.6094394315,-2.5862751442,-2.6227903572,-1.6119410427,-0.2555376191,-1.3371233171,1.5447073729,-0.7184649885,-0.3668695903,1.4826494494,0.0846168457,-1.0532565869,0.6621723763,-2.8051119139,-0.9832321376,0.274748797,-2.4877105771,-0.2766761933,1.2515908533,0.2416904886,-1.7760829898,-1.0300194972,0.4166028525,-0.1309062698,-0.5596657892,-2.6678684115,-1.3126722212,-0.9253314765,-1.7384082937,1.4324142967,0.2047351516,-3.0512449835,-0.6568152513,-3.1535563587,-2.0264696569,-0.6751108181,-1.9582864201,0.172776144,-1.9296431766,-1.6654793033,0.1011115014
-1.109875481,-1.046969056,-0.853785527,-2.60775248,-1.770781063,-1.259133216,1.426380085,-0.743598724,0.613129473,-0.533071233,2.649764093,-0.865835288,1.130595335,-0.026241311,-1.131652143,-0.059007181,-0.349132035,-0.728359936,-2.139616265,-0.346724613,-0.677864557,1.193407184,-1.472724089,-0.231932057,-1.085893516,1.483353011,-0.902881045,0.632281905,-1.05987246,-0.699567748,-0.114962018,0.48205571,-1.068568167,-0.987249821,0.442311209,2.403940599,-1.269044801,-1.261248872,-0.064538521,-0.186691089,0.740221588,-0.758646163,2.174035556,0.948796643,-0.422814746,0.026739297,-1.49923912,-0.805868051,3.192392209,-0.149544637,1.625881965,1.713635752,-0.118896155,0.237046456,-2.336141877,-1.191385689,-0.807884858,0.926478658,-1.613445934,1.470290781,-0.766148073,1.332788094,-3.07045582,0.912523645,-1.532939941,-0.35939292,1.827785984,-0.376149054,-0.647409289,1.301743591,0.917170345,2.239549442
1.4714853322,-1.7515776796,-0.2567003348,-1.8991219876,-1.3649243354,-1.1986536428,2.4898776074,-0.0350056092,0.8334741807,0.7792790042,2.2270422457,-0.7730565638,1.7443882978,0.7271620591,-0.3461590022,-1.275468806,-0.1394919788,0.6611920093,-2.4604091782,-0.4144553999,0.7089220997,0.8177072005,-1.6114399151,-0.7469699873,-1.2964536571,2.0583966431,-0.95581149,0.0125212806,-0.6498961386,-1.5925807954,-1.1526461772,0.1395010388,-0.060918415,-1.1047309697,-2.1593509249,-0.7700282249,-1.3056364581,-1.6977228273,-0.3677358913,0.5208749596,-0.0615563057,-0.9065879564,0.4262476473,-0.2541183556,-1.7259717287,0.6995764683,-0.7687331675,-1.172151192,0.0509782448,1.4501607814,0.7130478423,-1.6204988598,1.5480092174,1.4153676086,-1.1641112709,-0.9122987106,-1.8792800668,-1.1770063561,-1.8819030191,-0.8957530807,-1.2740376788,1.1683559893,-1.3030567625,-1.1425641762,-1.8344582238,-1.5455245867,1.6435880999,-1.5837701657,0.5481214085,-0.9625964848,-0.809456303,-0.5972916949
-0.3961585488,-1.1913856888,0.6966908942,-1.8623965488,-1.3126722212,0.7449803292,1.7627082048,1.0340382113,0.8029428464,0.953470903,1.8578904717,-0.169128963,1.7237304188,0.7634658395,-0.2507717184,0.3428802329,0.9281007186,0.3905544954,-1.6265840713,-0.3180038323,-0.1392620673,0.9939552292,-0.493640799,0.0380662008,-0.1906763612,1.9236499329,0.1041798189,-1.5123112017,-2.212744389,-1.9848588992,-2.7854713481,1.1250594587,-2.3517753372,-1.826350914,-1.6393817888,-2.1236024375,-1.8030226615,1.1297232837,-0.9578942817,-0.4682451762,0.0462154238,0.4401885442,1.3078732546,-0.3492738285,-2.3361418765,-2.1236024375,-0.2967900915,-1.7826015314,-1.1196316559,1.0490718431,0.1347057029,-0.8734707347,-2.1698039818,0.9659567029,-0.906340401,-0.3872814377,-1.5385135741,-1.3019532127,-2.3517753372,-2.1733127573,1.0842090584,0.6715148804,-1.6761120457,-1.2758269081,-2.3289290683,-1.7198109699,-0.1357051822,-0.361974677,-0.2176586211,-1.9011280063,-1.6523454134,-0.2241440516
-2.136223556,-2.236797352,-0.946492241,-2.777400279,-1.822631133,-0.45523325,2.547513619,-0.270366195,1.437866367,0.543776724,2.663101648,0.089749292,2.041194354,1.044156103,-0.831949583,-0.54697107,-0.912049738,-0.672364641,-2.175071773,-0.270497248,-0.231175723,1.917672331,-1.708153885,0.315029694,-1.732736129,1.748573572,-0.762497259,-1.537117251,-1.5154923,-0.365859854,-1.968258013,-1.068568167,-1.873403458,-2.097198263,-2.243373233,-2.673648774,-1.371997056,-2.161953963,-0.969691509,-1.820158944,-2.63108916,-2.050271164,2.829293908,0.135404637,-1.494770837,-2.028748427,-0.218778094,-2.225624052,-1.863685209,-1.799388496,-0.864884944,-2.081844426,-1.910543005,-1.649739209,-1.920729851,-0.067529657,-2.330984568,-1.506881324,-1.139121832,-1.717023123,-1.649739209,-0.528650209,0.571544359,-2.014403146,-2.60775248,0.102646837,0.448524598,0.924457295,-1.672910335,-1.544118446,-2.200931439,-1.40283033
