"204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","206799_at","207626_s_at","209173_at","209443_at","213201_s_at","215729_s_at","39549_at"
9.8038,14.3747,3.0068,13.8754,10.5785,10.0742,10.2362,11.4867,7.931,8.5889,13.2041,9.7194,7.5478,1.9565,5.4232
7.9689,11.2149,3.3895,11.7217,8.5134,7.3888,13.2355,7.4297,10.6196,7.0887,11.3631,5.8991,5.0501,5.3426,5.8324
7.6789,9.8209,4.9401,10.996,9.3702,4.4202,9.5032,5.9013,6.2148,5.7342,11.18,6.6629,5.0025,5.3609,5.1314
9.2192,11.943,5.2692,13.1709,9.7985,8.284,8.8903,10.7619,4.1386,9.2872,12.8009,10.6123,4.8609,1.434,5.439
6.5448,13.4882,3.3665,11.3564,9.2064,9.0296,5.6884,9.2022,4.0249,7.9937,11.2662,9.0275,5.5283,2.5211,3.3738
7.6643,12.2014,4.4839,8.2567,5.5985,1.8421,14.0282,5.4971,12.0994,4.3313,11.7468,5.4755,9.0893,11.8167,6.4937
10.5147,12.4125,3.0947,11.7448,7.0701,10.0255,8.7553,5.5528,9.5527,10.0349,14.7718,9.926,8.9715,2.7961,2.7939
3.1546,6.8619,6.0434,8.4923,4.8947,5.6106,5.9833,5.2837,4.2954,3.8607,7.3952,4.9525,4.0818,2.2044,6.2997
5.5439,6.217,6.7591,8.22,1.9134,5.0621,1.5373,4.4171,2.9022,3.5282,8.1262,6.2653,3.683,9.6897,7.8153
9.0901,11.2898,3.5545,13.3314,8.0771,8.1858,13.2541,11.9617,11.0936,7.6756,13.6097,10.8171,8.5601,3.5314,6.2795
3.8022,5.9648,9.7592,7.3225,11.6823,5.431,4.298,6.9641,3.3022,4.2194,3.2267,4.7869,8.568,8.876,3.7634
7.5111,8.7497,6.1564,10.5792,10.8164,6.793,14.0024,8.3146,12.6246,4.2603,12.0077,6.2959,5.7739,8.288,6.4125
3.9454,6.6686,1.4616,10.5622,3.4729,5.0019,6.0815,5.2538,10.9172,3.7342,9.6504,9.5265,8.4083,8.7505,4.2342
9.7169,9.5026,3.1684,13.3712,6.1659,5.8828,13.6016,13.943,12.7042,4.391,12.2897,9.8668,8.9007,2.9568,3.2103
9.3821,10.1274,2.8214,12.4182,11.0031,8.3146,11.6865,8.0468,11.2098,6.8467,11.8047,8.0787,7.3905,6.3008,5.6691
5.8315,6.2929,14.3467,8.3408,2.5738,2.0689,13.7742,5.7238,11.662,2.2826,11.8799,5.1414,5.2514,6.3368,7.5111
9.8595,10.4731,3.4894,13.0582,11.9046,8.8679,5.5063,9.045,5.1379,7.7453,14.1781,6.2109,8.5655,3.5299,3.9283
8.5211,9.3566,6.3154,11.1112,12.118,6.4155,9.9874,8.3567,8.082,6.2733,12.1042,6.0855,6.5161,4.7914,2.193
7.4136,7.2945,11.8964,8.3414,3.317,6.9568,6.4237,7.5195,3.5392,4.3705,12.4807,4.9035,4.212,9.2198,6.3757
5.8756,12.8889,4.4416,10.9402,5.5166,3.802,12.476,8.2209,11.5105,5.7241,12.5537,6.2231,5.6907,3.1912,3.5423
3.5539,4.5465,11.3565,8.4434,5.0648,5.6521,15.2336,4.8825,14.4102,6.4954,12.0414,4.8564,6.7862,8.1825,5.7942
5.0213,7.8511,3.335,8.7318,3.8427,5.4735,13.989,8.0147,11.1748,6.4645,9.9522,5.8309,4.9857,8.7423,6.5989
5.3555,6.4334,9.0374,8.3963,9.5074,4.8994,8.751,8.1672,4.4583,7.0351,4.5639,5.7452,5.0668,7.9547,6.1517
9.9006,12.8536,2.2825,12.5963,11.0595,9.7226,12.9903,8.4653,9.6497,7.5355,14.0042,10.9999,4.6854,2.9889,5.0339
10.1724,15.2081,4.1053,11.8094,13.1976,10.2337,12.7586,11.673,12.5231,8.4044,14.8256,10.7909,5.834,2.149,3.8456
5.0777,7.9403,6.9436,9.5325,4.5438,5.026,11.3211,8.523,5.5402,7.9566,8.8531,6.2905,5.5338,4.9883,5.0044
9.9225,14.2037,5.136,13.2295,13.5228,10.7522,13.5734,10.6489,13.2658,7.4713,14.4807,11.3928,8.7384,1.9647,4.6667
4.9111,8.2241,3.5758,9.8211,7.6988,5.0579,5.6305,6.9457,5.0914,6.5916,9.2244,6.0094,5.5371,6.2769,6.7271
4.8718,7.9279,11.3807,8.0818,3.8364,4.8091,6.9865,6.3319,4.2433,7.6336,4.141,5.2971,6.0719,3.0053,3.6856
4.6842,7.2515,7.6181,8.2941,7.6448,3.1729,3.139,5.8694,4.2842,5.354,7.2935,7.725,8.3038,10.9867,5.8714
8.6045,7.8954,9.6987,10.7936,8.1116,6.7335,12.3731,7.308,10.9854,6.5441,10.6397,7.3876,4.589,7.1663,6.4747
7.9291,7.8215,11.7015,10.5265,6.1495,6.8044,11.2854,5.7323,7.6674,7.503,11.1319,5.1298,5.1815,9.4107,3.9281
6.8564,13.5663,6.1097,10.9363,6.9588,9.3554,11.9552,11.8804,10.8981,8.5327,13.6772,8.5501,5.5012,4.8463,3.7048
10.2253,7.801,2.6155,12.3623,6.9838,6.6352,12.8403,10.0473,7.9773,8.3741,11.8078,8.093,9.0583,3.8809,6.115
4.3686,7.7838,6.7941,7.7249,8.235,2.5537,5.0394,7.1169,3.4144,6.628,3.0582,5.7655,7.0039,10.3695,4.8933
3.8683,6.9274,5.6704,8.8049,8.6676,5.8338,11.4325,6.8085,4.3188,4.3361,8.3153,5.9726,4.7759,9.3743,3.5243
9.0213,9.5738,6.6189,10.9305,7.4277,7.8691,14.5502,6.4077,14.0581,7.6251,13.3137,5.4308,10.4425,3.5025,3.195
4.3544,6.7644,12.3075,7.6342,3.528,5.1665,4.9343,5.1583,2.8053,6.3489,7.3533,5.2649,3.8551,1.0689,1.9775
10.3597,9.7428,4.9253,12.3505,9.9342,6.0367,8.3512,6.9298,3.8597,6.576,11.3438,5.6223,9.0206,1.2775,5.9704
4.4654,5.6988,8.7764,5.6522,6.5326,2.3261,3.4982,7.3472,3.4204,7.9794,5.6365,6.14,4.4112,7.8107,4.421
7.6664,11.1445,4.0845,8.8267,6.9673,4.6947,14.1469,8.6548,13.294,6.6679,13.5961,6.0496,5.6749,3.1003,6.728
10.8188,11.4941,3.129,13.2534,10.4338,9.3341,12.0829,8.7383,10.9965,8.3148,13.6813,10.7697,8.9997,1.4498,5.2823
4.2515,7.7597,3.763,8.2067,10.6848,7.3433,7.23,6.5909,4.2971,6.8115,3.4605,5.3236,4.8822,10.4698,6.776
8.7817,13.9184,7.2348,11.2609,9.9571,7.7624,14.1466,8.1456,12.8622,6.4608,12.0547,8.8103,4.9234,7.7638,5.6814
9.417,9.4318,2.8312,13.2832,9.86,6.9366,6.3348,12.5153,4.8937,8.8404,10.5454,7.0105,6.4109,2.9577,7.1539
9.2128,11.8153,2.9817,11.7827,12.3232,8.5264,15.1279,8.2431,14.8214,5.9986,12.0664,9.8275,5.9295,3.1549,4.8051
3.8957,7.7087,6.5037,8.3335,6.6963,2.6012,4.1722,5.892,3.8603,4.8625,3.9312,6.9906,3.9414,5.5568,2.7918
4.5598,6.5596,12.0989,8.3603,4.2248,6.0721,4.6735,7.6677,4.8021,4.3334,4.7922,5.5589,4.3284,6.1849,4.0649
4.1196,7.7106,7.8635,8.9474,3.0887,3.18,3.3179,5.9233,5.2903,4.5703,8.8308,5.6452,4.5722,1.9105,5.4665
4.4122,6.9996,4.3274,7.5993,5.7663,5.6576,6.135,5.3579,4.7796,3.817,3.3998,5.323,4.9951,6.772,3.1002
9.0992,15.8673,2.0825,12.0116,13.8127,10.2231,12.5007,9.5652,10.2749,8.1773,14.9549,5.7722,9.1188,2.8635,6.3081
10.6052,9.305,3.6224,13.5384,13.0434,9.7532,11.0361,9.7597,9.134,8.8012,10.8395,10.6517,8.5006,2.8702,7.0434
5.4812,8.9584,5.9209,10.3875,8.902,7.0746,10.8471,9.7464,5.9668,6.3966,7.2371,6.6035,7.5706,4.536,6.1486
10.8056,12.8166,1.6891,11.8833,7.5963,8.2678,14.5282,8.6569,11.8333,5.779,13.1925,7.6581,5.2788,2.5142,4.9637
8.6574,9.377,5.998,12.7416,7.3556,4.8891,9.9846,6.7339,5.2458,6.5992,13.4339,4.8659,3.5194,1.5145,6.4184
3.7011,6.6151,6.2828,8.3177,8.4301,2.8532,6.3827,5.9303,4.2755,6.7046,5.3614,9.0112,6.4048,8.8079,3.1027
3.9342,6.9351,3.2282,7.5472,5.3488,6.4788,5.3701,4.3457,4.0027,4.3811,8.3047,5.1382,5.3882,1.7874,3.4637
4.0861,7.5146,3.1677,8.1155,7.2201,2.145,6.5428,7.8528,3.8327,5.1149,3.9912,5.3973,5.1909,10.4593,7.9516
5.4141,7.5989,3.5993,7.6352,2.575,1.515,8.4115,5.9165,3.9053,4.0958,5.0813,5.252,5.3574,8.8795,9.3845
9.8616,14.4763,3.3055,12.7813,4.0914,10.072,10.2469,13.8159,9.1695,4.1917,13.0444,5.9309,5.6805,3.0363,2.6102
4.4204,7.6139,4.6607,8.1508,6.1454,3.3562,5.8935,7.4362,5.3695,4.73,4.7482,5.8902,4.0213,11.8767,7.3519
9.7046,10.715,3.1052,13.5231,4.1792,8.4962,11.8966,12.3207,11.2637,5.8354,13.1038,11.0585,9.425,2.9162,2.6864
7.569,11.9831,2.761,10.1043,5.1855,7.0835,14.3972,9.1966,14.3595,8.4307,14.1626,5.8207,9.9689,2.592,3.7332
8.4344,12.5709,3.2726,12.7246,13.1664,10.1068,13.671,10.4358,10.6856,8.0183,13.2235,10.2811,8.2472,5.4828,6.5274
4.4874,8.1514,3.2884,8.3319,2.1198,8.5838,6.1693,6.0087,4.0876,7.3098,11.9111,5.5781,7.9914,7.7407,2.875
