"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V38","V40","V41"
59,52,70,67,73,66,72,61,58,52,66,74,63,64,54,67,54,74,65,62,72,62
72,62,69,67,78,82,74,65,69,63,78,79,74,69,70,71,69,70,62,63,69,73
71,62,70,64,67,64,79,65,70,69,74,47,53,37,68,72,59,68,60,66,64,55
69,71,70,78,61,63,67,65,59,59,66,74,64,60,54,70,73,76,62,66,72,73
70,66,61,66,61,58,69,69,72,68,77,70,41,37,40,58,46,73,65,70,70,64
57,69,68,75,69,74,73,71,57,61,70,71,65,63,55,61,68,74,63,69,79,77
69,66,62,75,67,71,72,76,69,70,67,69,65,57,65,68,65,73,63,72,69,68
61,60,60,62,64,72,68,67,74,68,62,60,66,65,59,64,59,65,55,66,60,58
65,62,67,68,65,67,71,71,64,56,76,78,53,47,36,68,65,73,60,74,77,79
74,73,72,79,66,61,76,66,65,64,70,57,52,36,49,55,65,73,58,73,62,67
70,69,60,62,58,60,71,77,69,69,74,60,54,44,69,68,68,73,61,64,64,76
67,66,65,77,66,70,72,72,72,67,70,73,70,70,51,70,68,77,75,69,65,61
76,69,78,73,68,67,75,70,77,70,78,76,66,76,67,67,57,75,50,47,75,65
70,69,67,66,68,60,76,77,70,67,65,67,59,52,50,67,61,72,67,73,74,68
78,73,68,74,68,69,63,74,68,67,71,62,64,66,67,66,62,75,61,68,71,62
67,51,73,65,69,56,72,63,64,56,69,59,64,55,60,70,60,65,58,71,74,60
70,54,66,66,76,46,74,58,68,52,57,54,58,30,41,59,59,73,62,65,65,44
63,63,69,72,67,62,65,57,68,53,67,68,57,55,53,66,60,77,73,75,77,67
62,56,66,57,74,75,68,59,65,59,74,63,62,72,66,66,61,68,59,73,76,67
80,74,82,77,74,74,73,77,64,61,75,75,59,64,69,66,66,77,62,67,74,71
63,58,66,55,56,58,69,74,44,48,74,72,77,75,71,71,67,73,60,65,70,69
70,65,65,62,68,67,77,74,62,61,78,70,67,65,70,49,48,71,65,75,73,72
61,63,58,62,56,60,67,75,61,57,84,71,69,69,71,49,43,64,56,70,69,70
70,64,52,58,75,89,70,72,26,30,52,72,23,46,31,17,20,72,61,40,31,30
75,71,54,51,53,50,68,69,46,55,59,73,54,60,66,54,41,52,58,33,64,54
77,61,62,68,62,58,72,68,77,71,76,68,56,53,54,69,70,79,65,67,71,67
75,72,75,79,72,68,79,77,69,66,68,65,58,54,60,67,66,78,63,72,73,61
