"1007_s_at","1053_at","204508_s_at","205225_at","206754_s_at","206799_at","212956_at","215729_s_at","Class"
12.444,8.3774,10.1763,13.0759,12.4854,3.149,13.36,2.9565,"2"
12.2005,7.8592,9.3275,13.7616,10.5188,14.9688,13.2925,1.5807,"2"
12.6709,8.6762,9.92,12.736,11.6232,11.6974,12.3582,5.6368,"2"
11.6619,8.2557,8.9128,13.8228,7.5591,3.9515,13.1325,2.251,"2"
11.8397,8.7971,4.8606,8.3607,14.788,3.4244,10.8038,6.2959,"1"
11.4081,8.3247,4.5569,8.9998,7.6447,3.9217,8.3545,11.292,"1"
12.5829,8.9015,6.4544,12.8445,10.5207,6.8241,13.433,0.0799,"2"
12.1237,8.7101,4.723,8.974,7.3345,12.6968,10.0088,8.5529,"1"
11.098,9.7493,3.7788,7.0561,6.8551,2.9032,8.9243,9.357,"1"
12.4537,7.5118,8.4624,11.8396,12.5394,7.5681,11.8889,3.1103,"2"
11.1349,7.6111,9.0767,12.4562,7.9484,5.0535,12.4273,5.2469,"2"
11.8757,8.0035,8.8618,12.2024,9.1798,4.3108,12.4745,3.9259,"2"
12.6326,8.3098,7.2568,7.987,5.6576,6.0717,10.9061,5.8684,"1"
12.5807,8.0104,8.201,10.1026,7.2889,8.0237,10.9066,5.6927,"1"
12.4304,7.6919,8.4555,8.0999,7.9678,3.6556,10.6692,2.1542,"1"
11.9454,7.4614,5.8544,8.5567,5.7934,10.8039,10.2593,3.3872,"1"
12.1154,7.9201,7.7363,10.7157,7.5721,10.6691,11.99,9.8497,"1"
11.9077,7.6548,5.4881,8.5834,7.9186,4.064,8.9875,8.4034,"1"
11.8592,8.7641,10.3608,12.8623,12.6914,14.3858,11.6637,2.3699,"2"
12.0612,8.3111,10.4822,13.764,11.5871,14.9648,13.9558,1.7151,"2"
12.7259,8.4282,9.5693,11.444,10.4399,10.9951,13.1016,4.4885,"2"
12.3641,8.9391,6.3788,7.4728,7.1454,3.4943,11.971,3.8248,"1"
12.0602,8.6066,6.2395,8.4135,14.3442,2.756,9.7345,5.049,"1"
11.281,8.6218,4.7333,6.8669,4.8695,4.766,9.3805,7.03,"1"
12.5553,7.4527,9.3072,14.2366,12.5693,3.4826,13.1174,3.5265,"2"
12.2333,7.8985,9.7793,13.7238,10.1326,6.6525,13.7972,1.9596,"2"
11.8859,7.5916,8.1056,11.4232,11.0953,4.0803,13.2411,1.7007,"2"
