"V4","V5","V26","V30","V31","V33","V41","V44","Class"
73,78,70,65,67,75,77,59,"1"
71,71,66,70,64,70,66,57,"1"
66,67,63,67,60,74,54,43,"1"
65,65,64,70,69,72,72,58,"1"
69,61,76,66,71,61,73,49,"1"
67,67,64,73,70,69,71,68,"1"
77,76,58,55,40,71,45,54,"1"
62,58,53,64,66,63,74,59,"1"
71,69,63,21,18,79,16,56,"1"
73,74,40,67,67,78,73,53,"1"
70,71,58,71,70,73,59,53,"1"
73,75,39,41,43,70,43,41,"1"
65,80,60,53,46,75,60,43,"1"
52,46,40,49,49,39,56,33,"1"
65,65,27,68,68,68,71,27,"1"
62,50,42,29,19,77,12,42,"1"
61,61,67,69,66,77,66,57,"1"
73,68,72,69,66,66,68,56,"1"
54,48,39,57,50,41,48,37,"1"
67,58,63,59,52,60,52,59,"1"
75,74,39,58,64,71,63,34,"1"
76,61,30,54,41,66,47,28,"1"
77,79,43,53,42,73,43,39,"1"
72,74,54,61,60,74,74,63,"1"
67,67,51,64,63,70,67,54,"1"
69,75,60,59,38,66,50,36,"1"
78,75,51,41,49,74,69,58,"1"
73,78,60,65,68,75,67,62,"1"
64,65,76,65,73,63,73,58,"1"
70,72,62,61,65,75,70,56,"1"
74,73,72,71,68,79,66,59,"1"
67,72,70,62,66,76,75,62,"1"
71,74,42,20,15,73,35,29,"1"
68,70,46,66,72,65,70,56,"1"
77,82,63,68,70,77,75,62,"1"
74,68,69,54,63,74,71,66,"1"
70,72,62,69,66,75,64,52,"1"
74,68,20,38,41,70,55,18,"1"
38,54,62,23,26,74,13,46,"1"
62,73,60,45,40,74,39,29,"1"
57,43,48,13,7,52,6,30,"1"
70,71,60,76,74,75,73,52,"1"
67,61,47,67,64,66,63,50,"1"
76,78,12,56,48,55,57,13,"1"
76,72,49,58,48,73,51,61,"1"
67,82,54,59,60,74,70,60,"1"
74,71,56,60,62,76,74,66,"1"
64,74,43,61,56,73,61,37,"1"
73,76,59,67,66,73,63,58,"1"
75,73,48,64,68,71,70,50,"1"
68,70,62,57,69,75,76,64,"1"
65,68,49,31,36,71,35,52,"1"
73,74,33,62,65,72,67,27,"1"
69,75,56,68,69,71,62,44,"1"
67,70,72,67,69,73,69,65,"1"
65,71,41,63,68,77,81,55,"1"
48,69,33,44,43,57,57,21,"1"
74,73,29,64,68,73,73,24,"1"
63,61,60,64,70,68,73,39,"1"
71,68,56,71,68,77,64,53,"1"
67,65,45,67,64,66,66,58,"1"
69,66,61,62,64,37,74,56,"1"
69,67,56,69,70,69,77,52,"1"
71,77,57,67,67,66,58,34,"1"
75,74,66,70,73,74,75,50,"1"
51,65,33,39,43,73,47,52,"1"
65,65,57,68,63,77,64,41,"1"
74,72,60,48,40,74,47,54,"1"
76,69,62,69,62,77,62,54,"1"
58,55,40,55,56,68,62,37,"1"
59,54,74,57,47,51,59,61,"1"
67,58,42,62,66,73,69,60,"1"
54,68,53,68,72,72,70,55,"1"
57,60,48,29,22,54,28,76,"1"
68,71,71,62,69,75,77,61,"1"
77,80,54,61,64,74,65,51,"1"
71,74,51,68,68,71,59,34,"1"
74,73,63,72,59,60,63,49,"1"
63,61,68,67,63,75,64,54,"1"
78,76,32,57,63,72,62,30,"1"
61,74,31,58,64,75,61,24,"1"
66,63,62,61,48,66,67,70,"1"
56,53,44,42,61,51,52,39,"1"
70,69,62,65,65,75,64,56,"1"
71,51,62,51,25,72,40,57,"1"
59,44,33,35,25,51,12,46,"1"
64,63,60,47,40,63,57,42,"1"
66,71,30,38,36,65,58,23,"1"
68,54,66,66,60,66,67,62,"1"
63,48,54,70,59,49,61,54,"1"
78,83,72,65,53,75,65,58,"1"
68,70,17,36,19,72,44,15,"1"
69,73,55,65,67,77,68,50,"1"
78,70,61,75,66,71,63,25,"1"
64,65,73,71,70,63,76,49,"1"
76,84,48,62,64,76,58,51,"1"
66,66,60,63,61,71,68,56,"1"
82,84,58,58,57,77,49,56,"1"
77,74,61,69,66,70,51,44,"1"
77,79,66,63,60,65,62,55,"1"
72,75,55,63,64,77,78,82,"1"
74,75,74,71,67,68,71,58,"1"
55,51,53,65,61,64,77,62,"1"
80,77,48,66,65,78,60,36,"1"
67,67,65,62,63,72,47,56,"1"
65,74,60,70,65,71,66,55,"1"
72,68,65,71,72,75,75,63,"1"
72,70,56,61,61,76,77,65,"1"
