"V30","V41","Class"
67,62,"1"
71,73,"1"
72,55,"1"
70,73,"1"
58,64,"1"
61,77,"1"
68,68,"1"
64,58,"1"
68,79,"1"
55,67,"1"
68,76,"1"
70,61,"1"
67,65,"1"
67,68,"1"
66,62,"1"
70,60,"1"
59,44,"1"
66,67,"1"
66,67,"1"
66,71,"1"
71,69,"1"
49,72,"1"
49,70,"1"
17,30,"1"
54,54,"1"
69,67,"1"
67,61,"1"
62,67,"1"
64,59,"1"
48,52,"1"
67,65,"1"
41,43,"1"
66,74,"1"
61,58,"1"
62,65,"1"
59,60,"1"
66,71,"1"
67,72,"1"
49,64,"1"
66,67,"1"
65,71,"0"
66,77,"0"
68,75,"0"
71,73,"0"
69,76,"0"
54,70,"0"
58,68,"0"
71,71,"0"
63,75,"0"
76,76,"0"
73,74,"0"
67,75,"0"
69,69,"0"
69,74,"0"
70,72,"0"
74,76,"0"
67,67,"0"
61,67,"0"
64,77,"0"
68,72,"0"
68,77,"0"
62,77,"0"
67,72,"0"
67,71,"0"
70,79,"0"
70,72,"0"
68,74,"0"
72,72,"0"
61,72,"0"
74,66,"0"
56,64,"0"
68,77,"0"
69,80,"0"
69,72,"0"
69,78,"0"
63,71,"0"
71,68,"0"
64,75,"0"
70,75,"0"
70,69,"0"
