"var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var107","var123","var129","var174","var187","var246","var248","var255","var276","var368","var422","var509","var545","var554","var566","var589","var603","var742","var783","var819","var836","var842","var846","var851","var1003"
0.7733437,-2.438405,-0.4825622,-2.721135,-1.217058,0.8278092,1.342604,0.05704174,0.1335689,0.5654274,1.499824,0.3935949,1.625921,0.8181927,0.01054421,-0.5454171,0.1865626,-2.611831,-1.422543,-2.763035,-3.327018,-3.426515,1.604747,0.5256157,-1.514582,-1.526016,-1.11109,0.3450071,-1.844528,0.7801502,-1.850236,0.03459464,-0.8889188,-3.013896,0.7311171,-2.526979,-2.108664,-1.869505,1.553629,-3.803169,-0.1328459,-3.231455
-0.07817778,-2.415754,0.4127717,-2.825146,-0.6262365,0.05448819,1.429498,-0.1202486,0.4567917,0.1590529,1.145909,0.3806942,1.556522,0.008166563,0.1587117,-0.2741737,0.3254113,0.8554786,-1.859824,-2.264326,-2.818423,-2.361274,0.7924947,0.8172657,-1.701005,-1.883875,-0.5651058,0.717791,-1.699363,1.072679,-1.598004,-1.240983,-0.836325,-1.36375,0.3808308,-2.234926,-3.272804,-0.427404,1.732505,-3.083471,0.2616717,-2.294617
-0.08446916,-1.649739,-0.2413075,-2.875286,-0.8894054,-0.02747398,1.1593,0.01567648,0.1919418,0.4965847,1.388741,-0.5306883,1.614903,-0.2080087,0.07927318,-0.5373407,0.004390348,-0.3792127,-2.116106,-2.050271,-3.055482,-2.259526,1.552741,0.2816388,-1.256319,-1.375552,-0.3831656,0.1238976,-1.478848,1.334238,-1.689564,1.014651,-0.5610668,-0.9281103,-0.2871489,-1.278337,-2.7678,-0.5600159,1.454747,-2.285728,1.327261,-2.154165
0.965614,-2.380547,0.6252965,-1.741256,-0.8453664,0.9496868,1.093801,0.8197358,-0.2846201,0.9947322,1.014832,0.08250122,1.0476,0.9720281,-0.1707883,-0.0438474,-0.4254127,-0.1529181,-1.104127,-2.259526,-1.448595,-2.271086,1.135844,0.2505252,-1.657578,-1.458865,-0.6969544,0.191529,-1.197991,0.9006084,-1.704848,0.04707441,-0.3069329,0.07612736,-0.8278221,-1.601966,-0.9197969,-0.9413522,1.037233,-1.082345,-0.04134296,-2.219163
0.0756639,-1.728785,0.8526265,0.2726953,-1.84137,0.3279359,1.251219,0.7714499,0.0309171,0.2783133,1.112219,-0.3936354,1.186776,0.4180522,-0.3865452,0.086728,0.1375857,0.4368346,-0.674718,-1.590616,-2.248097,-2.000261,1.259143,0.0475513,-2.291645,0.02371653,0.2363361,-0.1098149,-1.974001,1.190553,-1.187444,-0.4495737,-0.8763491,-1.219763,-0.1772146,-0.5684547,-0.4663304,-1.322006,0.7275969,-1.577455,-0.2827609,-1.539912
0.4588163,-2.875286,0.1358412,0.4053984,-2.082647,0.1378471,1.73353,0.3964244,0.04583342,0.3520643,1.694514,-0.3776068,1.825613,0.3449363,-0.3969019,-0.7476034,0.03652477,1.687565,-2.049494,-1.806061,-1.872753,-2.877061,1.799992,-0.3159444,-1.348613,-0.06059962,-0.859438,0.09712671,-2.438405,1.909409,-1.777265,1.591763,-0.560191,-2.281803,-0.1532677,-1.892464,-0.9051035,-2.019664,0.294608,-2.118598,0.06663008,-1.576487
0.06709774,-1.624044,0.5196268,0.2382292,-1.397558,0.138805,1.825291,-0.3054388,-0.05287349,-1.242367,1.830852,-1.347074,1.268243,-0.3319823,-0.2240189,-0.1468772,0.5721653,-0.2368622,-1.101115,-2.036382,-2.117767,-3.068303,1.705112,-0.2646168,-2.130314,0.5875644,0.2338065,-0.05625294,-2.015153,2.00279,-1.993631,0.469566,-1.010876,-2.02647,0.4154814,-1.592581,-0.4111311,-1.285544,0.8826926,-1.702102,-0.3441819,-1.835085
0.09412766,-1.795165,0.7027509,0.2060381,-1.868209,0.2881819,1.406072,0.7603384,-0.03905273,0.1361031,1.300028,-0.4194626,1.390834,0.2985478,-0.3762947,0.05401459,0.1655992,0.4045981,-0.7023898,-1.641445,-2.273026,-2.106196,1.490587,-0.03035612,-2.161086,-0.0762333,0.1322556,-0.1262437,-2.051048,1.204413,-1.250017,-0.5421443,-0.9162907,-1.308223,-0.210721,-0.6616485,-0.5118261,-1.40854,0.7069021,-1.623537,-0.3053031,-1.607939
0.1083161,-1.944911,0.6000994,-0.05108279,-1.981952,0.1192042,1.849116,0.2375197,-0.05034637,-0.2527011,1.735965,-1.470546,1.129044,-0.02932583,-0.244878,0.2120422,0.2102609,-0.511159,-1.666008,-2.338212,-2.950759,-2.868219,1.002175,-0.514499,-3.123566,-0.3326794,-0.5317088,-0.001801622,-2.250942,1.134044,-1.250366,-0.5436932,-1.505528,-2.565249,-0.08045112,-2.217325,-0.8481649,-2.260484,0.9130856,-1.195674,-0.1381133,-2.034851
-0.970747,-2.347582,-0.3920061,-0.141218,-1.82325,-0.3035405,1.498551,-0.2064094,0.1447927,-1.572142,1.582128,-0.8739499,1.457126,-0.0806679,-0.1612256,0.5727294,0.7776262,0.3180173,-2.016655,-1.536652,-2.898606,-2.312635,0.7878208,-0.2556667,-1.88783,-0.3543918,-0.4944603,0.4541918,-1.658628,1.7154,-1.410177,-1.177006,-1.712579,-1.29244,0.5140803,-0.4402118,-2.304587,-1.711471,0.8567955,-2.275943,-0.8561368,-1.633731
1.163932,-2.686778,0.04497337,-2.085057,-0.7050174,1.138057,1.311194,0.6106348,0.2316671,1.064745,1.393022,0.0623173,1.402438,0.3873011,1.027188,-0.730849,0.3703214,1.301635,-1.690648,-2.253795,-1.597509,-2.272056,1.086978,0.210909,-1.4503,0.8309071,0.4741824,-0.2088709,-1.639897,1.372018,-1.136626,0.00856323,-0.597837,-1.232029,-1.697723,-2.453408,-0.3458763,-1.168284,1.282599,-0.951141,1.209348,-2.429283
0.5036197,-2.645075,0.04008572,-2.956512,-1.587187,0.7705248,0.894127,0.1374114,-0.3050317,0.692597,0.9605373,-0.157707,1.553587,0.9076132,0.4123083,-0.1097033,-0.7236064,0.6826422,-1.261249,-2.237734,-2.009169,-1.67451,0.8735085,-0.2724651,-1.615959,-0.5675724,0.03343478,-0.1938275,-0.7520483,1.497903,-1.236496,0.524255,-0.87707,-0.9160408,-0.06999337,-1.738977,0.4515214,-0.4820762,1.199965,-0.4560218,-0.1781702,-2.251892
1.187203,-2.154165,-0.1136167,-2.288682,-1.266558,0.6817323,1.18142,0.3440151,-0.04625338,0.7311652,1.571508,-0.8540204,1.550112,1.013345,0.650344,0.239804,0.1249572,0.491031,-1.30453,-1.835085,-1.433805,-0.1631073,-0.2596779,-0.1852458,-1.664951,0.3151756,0.4134994,-0.6077037,0.7812038,0.6981845,-1.339029,0.395886,-0.7876777,-1.65026,-1.31565,-2.164564,-0.04730127,-1.124546,1.269423,-1.140372,1.628946,-1.708154
0.005982072,-1.657578,-0.843505,-2.268184,-1.20932,0.5190319,1.773273,-1.218072,-0.303676,0.5074198,1.591376,0.4615934,2.249205,-1.791559,0.1234558,0.9693006,-0.1737583,1.4418,-1.123007,-0.8458323,-1.536187,-1.118407,0.5122846,-0.4340189,-0.9142927,1.336579,1.428971,1.060633,1.321249,1.465591,-0.4780358,-0.9080746,-0.648365,-1.971125,-0.4974159,-1.659679,-0.02572815,-2.179483,1.844194,-1.662311,0.4348945,-1.063342
0.9968748,-1.440962,-0.996146,-1.518684,-0.9912837,0.5766134,1.174832,-0.3902317,-0.1571218,-0.3844867,1.506386,-0.436801,1.29289,0.5853949,0.03681397,-0.9223088,-0.1226197,0.6040974,-1.35286,-1.603456,-1.413049,-1.331049,1.61917,0.4447499,-1.103223,1.417405,0.693647,-0.1320468,-0.7164158,1.207795,-1.056991,1.541609,-0.6698214,-0.293566,-1.253864,-1.29244,-0.8991878,-0.8139598,0.8010594,-1.296819,0.1819882,-1.515492
0.7221233,-2.497384,-0.1030299,-2.049494,-0.9260886,0.5422661,0.7760627,0.4452626,-0.4183984,0.4079952,1.908104,-0.626985,1.488783,0.7449329,0.1941678,-0.8051967,-0.4869463,0.5863412,-1.492544,-1.462744,-1.891138,-1.354021,1.729654,0.1181385,-1.398772,-0.1545508,1.053371,-0.409925,-0.3218595,1.624149,-1.156453,1.671736,-0.499556,-0.6921477,-0.9856408,-2.018911,0.4281394,-0.5586163,0.6905939,-1.063052,-0.04520659,-1.535259
0.6142663,-2.092324,-0.001701447,-1.512765,-0.9765717,0.5625258,1.226155,0.7853617,0.05240268,0.4743069,2.049098,-0.5390536,1.312702,0.8563284,0.2159981,-0.7211352,0.2682699,0.703147,-0.9075788,-0.9308969,-0.9980432,-0.6375233,1.403397,-0.2215199,-1.796973,0.5868974,1.302097,-0.3897886,0.07445791,1.87017,-0.7080578,0.5109056,-0.5661622,-1.04868,-0.7164158,-0.906588,0.01449445,-0.5540811,1.429402,-0.9560716,0.6608306,-0.9996723
0.9984236,-1.712025,-0.7003732,-1.382701,-0.7435987,1.178932,1.908772,-0.2872822,-0.2878154,0.04363404,1.938166,-1.00076,1.701871,0.8067437,0.256114,-0.5929399,0.06849942,0.7526418,-1.040438,-1.432967,-1.263723,-1.46404,1.547711,-0.503519,-1.033387,0.3383277,1.273406,-0.5493932,-0.954512,1.629946,-0.7459152,1.855954,-0.4576009,-1.329536,-0.6343124,-1.50643,-0.6038551,-1.109875,1.425203,-1.275469,1.012292,-1.700457
0.856753,-2.535779,-0.2725964,-1.677717,-0.8753887,1.03741,1.603541,-0.4001791,0.0605305,-0.01005034,1.893609,-0.3076127,1.581306,0.6394299,0.266203,-1.083231,-0.06999337,1.340486,-1.901798,-1.959705,-1.707051,-1.547403,2.11031,-0.5457622,-0.9867132,0.1966353,1.010437,-0.657394,-0.5223923,2.083234,-1.00076,1.871541,-1.003211,-0.1174331,-1.609938,-1.964685,0.3524862,-1.522343,0.5362594,-1.938637,1.525056,-1.799993
0.6570536,-1.378326,-0.5542552,-1.998046,-1.089752,0.9530083,2.002925,0.3042442,0.5693398,0.3511497,1.315147,0.05391984,1.067122,0.9099507,0.03198305,-0.6279214,0.2134164,-0.2373693,-1.540845,-1.495663,-0.9956045,1.561549,1.90163,-1.023598,-1.942117,2.109946,-0.008132983,-0.5801757,2.021137,1.674101,-1.096315,0.03710309,-0.5497397,-1.081165,-1.526476,-0.8898923,-0.463783,-1.314532,0.7614131,0.3391116,-0.139492,-1.782602
1.285507,-2.248097,-0.5390536,-1.274395,-0.8092317,1.111825,1.44206,0.9566262,-0.001601281,0.6941966,2.029056,-0.370629,1.847935,0.9358188,0.2803553,-1.159318,-0.4293993,0.8483544,-1.859824,-1.729912,-1.962548,-1.000488,0.6409587,-0.5086613,-2.081043,0.6776274,0.583946,-0.9339457,0.05078817,1.299374,-1.307483,1.565277,-0.1657005,-1.639897,-2.000261,-1.614953,-1.653912,-0.5521686,0.4746802,-1.178955,0.9687693,-2.051826
0.7659329,-2.337177,-0.6947485,-1.508688,-0.7760941,1.110244,1.865227,-0.1972322,0.07936556,-0.1281743,1.902152,-0.9416085,2.209504,0.6994771,0.2323015,-0.4895535,0.059683,1.184576,-1.638867,-2.138767,-1.712025,-0.9152912,1.580009,-0.1558354,-1.92278,0.9548189,1.38934,-0.5459348,-0.4298603,1.798553,-1.209991,-0.1700768,-0.8599104,-1.782602,-0.9085706,-1.577455,0.2359413,-1.224856,0.8518162,-0.7843857,2.149749,-1.833832
0.8382427,-1.833207,-0.5471439,-0.6808234,-0.7865791,2.452728,2.374962,0.2571971,-0.5033536,-0.02050888,1.791759,-0.4076675,1.670778,1.436251,0.3080728,-0.04510197,-0.04196848,-1.354796,-1.006763,-1.958286,-1.655482,-1.804237,2.000804,-0.1926143,-2.199126,0.03014116,0.4205507,-0.3136155,-0.5466255,0.8896182,-0.8523774,1.088192,-0.2693184,-1.240291,-0.4574428,-1.236152,-0.2347102,-0.5911323,0.3205606,-1.321256,-0.6236211,-1.79276
0.313496,-1.797576,-0.3166304,0.3557145,-2.126114,0.2980284,1.909557,0.1708392,0.1452253,-0.1333028,2.210536,-0.7620686,1.035069,0.5840575,-0.586987,-0.1293117,-0.02061095,0.7338092,-1.751578,-0.09442058,0.03893221,0.952854,0.9265183,-0.2336991,-0.6254885,0.4071304,-2.147292,0.5161116,2.244628,-0.06560576,0.9553191,-1.595042,-1.359068,-0.3450287,0.7069021,-2.445301,-1.992164,-2.107018,0.5513532,-1.688481,-0.8947739,0.4948182
0.7376424,-1.056703,-1.782602,-1.598498,-1.006215,1.187996,1.153984,0.3332528,-0.08741146,-0.2415621,1.711958,-0.4220519,1.22407,0.1206234,0.06212937,-0.9689007,-0.6639768,0.1209779,-1.212677,-0.3044892,-0.157707,1.508954,-0.5535592,-0.1384578,-1.399582,-0.02757677,-1.05843,-0.0692429,1.814515,-0.6587458,-0.04992581,-1.054691,-0.444102,0.2551072,-0.6337468,-1.133825,0.1292723,-1.355183,0.6714127,-1.288079,-0.5963835,-0.2699731
1.026257,-2.640859,-0.05013607,-1.033387,-2.001,1.632236,1.51017,0.6803658,-0.2011375,0.7675123,1.861798,-0.5271244,2.073574,0.9646236,-0.2172857,-2.209095,0.09803374,-0.2248951,-0.6620362,-0.836325,-1.4503,2.424643,-0.7145751,-0.2980018,-2.869981,-2.813411,-0.2896841,0.000499875,2.52704,0.7425562,1.880869,-0.8646475,-0.6812186,0.4304829,-0.148268,-1.847061,0.2158369,-0.9308969,0.5858403,-1.240983,0.0905717,-0.065072
0.2157563,-1.085597,-1.546463,0.2784647,-1.532477,-0.2547632,1.674383,-0.1374247,-0.05171444,0.0617534,1.305843,-0.3969019,1.597143,0.3181628,-0.5739429,-0.7337609,-0.1136167,-0.09717191,-1.889813,0.8274158,-0.874669,1.727772,-1.102319,-0.8081092,-2.628315,-0.04342956,-1.477095,-0.06166266,1.804643,0.07547846,-0.1734015,-1.188099,-0.3419271,-0.4604494,0.09984533,-1.71591,0.3882511,-1.676647,0.4617194,-1.84833,-0.007326775,0.3565549
-0.1619309,-1.025827,0.03101405,0.2958734,-1.82573,-0.06091841,1.427628,0.328152,0.03169245,0.8882616,1.263985,-0.2830263,1.163557,0.6173994,-0.8979598,-0.8679769,0.06419471,0.3544525,-1.9951,-0.2611051,-1.332564,1.627533,-1.383099,-0.5807118,-1.169893,-1.090644,-0.3971994,0.2787675,1.583238,-0.3514032,1.093298,-1.515037,-0.6148907,0.3583036,0.6004835,-1.666538,0.3789158,-1.828216,0.03207989,-1.064211,0.1528069,0.625457
0.3710117,-1.813392,-0.953214,0.1127928,-1.852147,-0.0697789,1.931565,-0.3649952,0.2352302,0.03748844,1.830948,-0.02922286,1.575033,0.2720099,-0.2752266,-0.7425475,0.5233074,0.8092844,-1.311929,0.355294,-1.590126,1.824936,-0.9560716,-0.5198664,-2.066723,-0.9829649,-1.274038,0.08194858,1.823258,0.1715134,-1.033668,-1.199981,-0.9945226,-0.4097744,-0.1505904,-2.348629,-0.02613866,-1.555897,0.6450068,-2.407946,-0.3204808,0.1150237
-0.03180031,-0.0790432,-0.573588,-2.556188,-0.2647471,0.3333244,1.088461,0.6430111,0.4469909,1.080109,1.108695,0.5199241,1.394387,0.2264182,0.5134222,0.4611521,0.5510074,1.026866,-1.820159,-1.634243,-1.21672,1.428467,-0.6126738,-0.6460728,-1.643512,-1.545056,-1.876011,0.2580473,1.435323,0.3784364,-1.859824,-2.534517,-1.282655,0.3096148,-0.3578185,-1.918684,0.05211795,-0.8356328,1.147879,-2.042531,0.7454075,-0.7940731
0.3067491,-1.259133,-1.851509,0.4583105,-1.7065,0.1883036,1.764594,-0.2625343,-0.3276711,-0.7819784,2.631054,-1.804845,0.7505667,0.661966,-0.5359725,-1.200977,-0.6919479,0.5086833,-1.293168,-0.9720677,0.4030622,0.6173994,-0.6066026,-0.801178,-1.820776,0.6826927,-1.10262,-0.4615594,2.431638,-0.6502793,-0.6597124,-1.259838,-1.526937,-1.513673,-0.8787541,-1.852784,-0.3329584,-1.397962,0.5704144,-1.258781,-1.460587,0.02058663
0.4324316,-2.700082,-0.4021207,0.1307651,-3.216379,-0.5533852,1.809714,-0.6416939,-0.3400988,0.03372487,2.029713,-0.3974969,2.00867,0.1144887,-1.212005,-1.767848,0.001498876,0.4221255,-2.582299,0.1917767,-1.230659,1.319299,-0.671973,-0.2497442,-2.079442,0.2302383,-1.80667,0.6240114,2.109413,-0.156303,-0.08555789,-1.615456,-0.8117055,0.6621208,-0.08088473,-2.462754,-0.463942,-2.087474,0.8067437,-3.162968,-0.6073365,0.01410012
0.8929402,0.02683665,-0.06262036,-2.216407,-0.9771029,0.8870267,1.265595,0.7777181,0.4787156,1.097812,1.411011,0.25278,1.395948,1.22806,0.3269268,0.4329506,0.2030225,0.8894538,-2.291645,-2.403511,0.2384656,1.106481,-0.7402388,0.08378953,-0.4480073,-1.611941,-1.320132,0.3645042,1.508224,0.2184124,-1.240983,-2.383795,-0.3478568,0.06485097,-0.3875761,-1.123007,-1.297185,-0.5257701,1.330359,-1.549755,-0.2639655,0.2568878
0.1084059,0.3235317,-1.338266,-2.613195,-0.5266163,0.6773734,1.461054,-0.2358489,0.308587,0.4323667,1.579102,0.4940253,1.752516,-0.1958932,0.8404459,-0.5725237,0.2863812,0.7899108,-1.328403,1.456077,-0.744651,1.927281,-0.5573933,0.5188533,-1.639382,1.122687,-0.02963481,0.1963066,1.978004,0.2799775,1.855407,-1.96326,-1.020818,0.602073,-0.1624013,-1.516859,0.05467756,-0.7459152,1.169537,-0.451928,0.3776827,1.026006
0.7331368,-0.09025299,-0.5436932,-2.698595,-0.3774609,0.6252965,1.394287,0.2395679,0.3543823,0.7858175,1.455051,0.2508365,1.555488,0.9059575,0.7967411,-1.483687,0.1578581,0.6254035,-0.5271244,1.044825,-0.2546342,1.622631,-0.3582476,-0.03417745,-1.102319,0.6687008,-0.1824816,-0.0849045,1.609358,0.4121097,1.376446,-1.968974,-0.756087,0.646789,-0.8400244,-1.717023,-0.4732088,-0.7931885,1.134751,-1.903809,0.3243274,0.991324
0.2394105,-0.7642136,-0.06785067,-2.688248,-0.9339457,1.182616,1.570884,0.4229775,0.4545092,0.4703786,1.823274,-0.3651392,1.593999,1.204802,0.855266,-0.1882591,-0.6009327,-0.5594908,-1.232715,1.105389,0.07788654,1.958319,-0.5987465,-0.5554744,-0.409172,-0.6182253,0.5637216,-0.2789206,1.871525,-0.2034635,0.4146891,-2.395797,-1.174738,1.283929,0.0593061,-1.996572,-1.992164,-1.226559,1.595582,-1.857899,-0.3412235,0.1935911
