"var1","var1.1","var1.2","var1.3","var1.4","var1.5","var1.6","var1.7","Class"
-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,"setosa"
-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,"setosa"
-1.74301699413542,-1.74301699413542,-1.74301699413542,-1.74301699413542,-1.74301699413542,-1.74301699413542,-1.74301699413542,-1.74301699413542,"setosa"
-0.173094066392202,-0.173094066392202,-0.173094066392202,-0.173094066392202,-0.173094066392202,-0.173094066392202,-0.173094066392202,-0.173094066392202,"setosa"
-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,-0.897673879196766,"setosa"
-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,"setosa"
-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,"setosa"
-0.41462067066039,-0.41462067066039,-0.41462067066039,-0.41462067066039,-0.41462067066039,-0.41462067066039,-0.41462067066039,-0.41462067066039,"setosa"
-1.13920048346495,-1.13920048346495,-1.13920048346495,-1.13920048346495,-1.13920048346495,-1.13920048346495,-1.13920048346495,-1.13920048346495,"setosa"
-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,"setosa"
-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,"setosa"
-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,"setosa"
-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,"setosa"
-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,-1.38072708773314,"setosa"
-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,"setosa"
-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,"setosa"
-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,-0.776910577062672,"setosa"
-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,-1.25996378559905,"setosa"
-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,-1.50149038986724,"setosa"
-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,-1.01843718133086,"setosa"
