"V27","V29","V30","V41","Class"
70,67,65,77,"1"
60,66,70,66,"1"
57,53,67,54,"1"
60,69,70,72,"1"
67,69,66,73,"1"
59,65,73,71,"1"
62,66,55,45,"1"
44,74,64,74,"1"
44,25,21,16,"1"
38,59,67,73,"1"
43,62,71,59,"1"
36,51,41,43,"1"
59,61,53,60,"1"
43,78,49,56,"1"
34,78,68,71,"1"
44,74,29,12,"1"
63,67,69,66,"1"
65,70,69,68,"1"
33,50,57,48,"1"
70,55,59,52,"1"
39,72,58,63,"1"
14,41,54,47,"1"
38,49,53,43,"1"
45,64,61,74,"1"
39,50,64,67,"1"
57,62,59,50,"1"
50,43,41,69,"1"
57,51,65,67,"1"
76,73,65,73,"1"
59,58,61,70,"1"
69,59,71,66,"1"
65,65,62,75,"1"
37,54,20,35,"1"
49,52,66,70,"1"
63,67,68,75,"1"
65,63,54,71,"1"
60,59,69,64,"1"
23,60,38,55,"1"
47,57,23,13,"1"
59,70,45,39,"1"
63,77,13,6,"1"
55,68,76,73,"1"
39,75,67,63,"1"
6,23,56,57,"1"
42,51,58,51,"1"
50,53,59,70,"1"
56,61,60,74,"1"
35,65,61,61,"1"
63,63,67,63,"1"
48,66,64,70,"1"
66,62,57,76,"1"
52,45,31,35,"1"
38,69,62,67,"1"
44,65,68,62,"1"
73,71,67,69,"1"
38,48,63,81,"1"
19,46,44,57,"1"
28,52,64,73,"1"
60,65,64,73,"1"
51,57,71,64,"1"
35,67,67,66,"1"
61,73,62,74,"1"
55,71,69,77,"1"
43,68,67,58,"1"
59,69,70,75,"1"
31,17,39,47,"1"
51,56,68,64,"1"
68,68,48,47,"1"
65,59,69,62,"1"
19,77,55,62,"1"
50,66,57,59,"1"
42,59,62,69,"1"
61,67,68,70,"1"
38,36,29,28,"1"
57,67,62,77,"1"
54,58,61,65,"1"
38,72,68,59,"1"
57,70,72,63,"1"
63,62,67,64,"1"
29,56,57,62,"1"
35,79,58,61,"1"
55,59,61,67,"1"
41,45,42,52,"1"
56,63,65,64,"1"
65,61,51,40,"1"
20,38,35,12,"1"
61,58,47,57,"1"
14,41,38,58,"1"
57,62,66,67,"1"
62,78,70,61,"1"
58,57,65,65,"1"
16,44,36,44,"1"
55,70,65,68,"1"
56,69,75,63,"1"
78,83,71,76,"1"
47,54,62,58,"1"
52,63,63,68,"1"
63,62,58,49,"1"
59,67,69,51,"1"
63,70,63,62,"1"
54,68,63,78,"1"
68,78,71,71,"1"
44,53,65,77,"1"
45,54,66,60,"1"
64,64,62,47,"1"
60,61,70,66,"1"
67,55,71,75,"1"
57,60,61,77,"1"
64,73,65,80,"1"
75,64,73,75,"1"
63,68,69,71,"1"
51,53,69,59,"1"
57,68,58,71,"1"
62,67,64,64,"1"
76,61,71,68,"1"
66,56,71,75,"1"
77,74,67,67,"1"
75,79,79,68,"1"
59,68,65,68,"1"
75,69,67,76,"1"
71,64,71,69,"1"
60,60,64,77,"1"
56,65,72,70,"1"
62,67,64,70,"1"
55,57,65,73,"1"
75,58,58,58,"1"
64,67,65,57,"1"
62,69,73,75,"1"
71,69,67,76,"1"
63,57,47,62,"1"
57,67,46,52,"1"
61,69,65,66,"1"
73,62,64,68,"1"
47,68,42,54,"1"
59,58,67,61,"1"
51,67,61,59,"1"
56,59,28,39,"1"
54,53,51,46,"1"
35,71,66,61,"1"
32,26,39,59,"1"
49,86,59,58,"1"
76,59,22,22,"1"
43,51,71,66,"1"
53,69,59,69,"1"
46,65,52,48,"1"
64,71,68,76,"1"
64,68,38,48,"1"
74,64,37,43,"1"
17,61,63,74,"1"
63,70,60,69,"1"
75,73,65,66,"1"
71,64,68,70,"1"
67,58,73,66,"1"
67,66,67,71,"1"
63,70,67,65,"1"
59,56,63,72,"1"
80,69,67,67,"1"
19,42,53,31,"1"
23,77,48,39,"1"
47,80,69,53,"1"
59,40,55,65,"1"
48,27,65,69,"1"
48,50,65,65,"1"
60,58,46,66,"1"
46,80,73,66,"1"
44,48,65,73,"1"
65,75,67,71,"1"
48,70,64,49,"1"
78,67,69,61,"1"
67,53,72,59,"1"
55,56,65,65,"1"
63,69,60,66,"1"
68,64,66,65,"0"
61,60,59,75,"0"
63,61,66,62,"0"
53,58,62,72,"0"
71,47,42,73,"0"
67,61,66,66,"0"
60,63,62,64,"0"
64,60,66,73,"0"
63,66,70,76,"0"
69,61,71,71,"0"
61,63,74,68,"0"
68,68,69,68,"0"
69,69,68,75,"0"
69,66,64,78,"0"
62,72,67,72,"0"
