"V4","V5","V7","V11","V12","V13","V14","V17","V18","V19","V20","V22","V23","V26","V27","V29","V30","V31","V32","V33","V34","V37","V38","V39","V40","V41","V43","V45","Class"
70,67,66,52,72,71,70,65,67,55,61,68,66,63,64,54,67,54,76,74,65,56,62,56,72,62,74,67,1
69,67,82,63,70,70,72,71,72,75,66,73,78,74,69,70,71,69,72,70,62,71,63,60,69,73,71,58,1
70,64,64,69,72,71,68,61,73,71,75,80,74,53,37,68,72,59,72,68,60,70,66,65,64,55,41,46,1
70,78,63,59,66,69,71,58,60,55,62,67,66,64,60,54,70,73,69,76,62,61,66,65,72,73,68,63,1
61,66,58,68,62,71,71,59,74,75,70,83,77,41,37,40,58,46,75,73,65,69,70,66,70,64,55,41,1
68,75,74,61,72,74,73,58,60,55,71,79,70,65,63,55,61,68,75,74,63,58,69,67,79,77,70,65,1
62,75,71,70,66,69,71,64,71,77,65,72,67,65,57,65,68,65,76,73,63,70,72,72,69,68,73,59,1
60,62,72,68,76,70,74,74,74,70,75,69,62,66,65,59,64,59,72,65,55,66,66,60,60,58,67,52,1
67,68,67,56,73,72,68,57,67,62,74,80,76,53,47,36,68,65,74,73,60,63,74,63,77,79,70,56,1
72,79,61,64,78,74,62,36,62,50,67,79,70,52,36,49,55,65,74,73,58,62,73,69,62,67,56,46,1
60,62,60,69,73,68,68,65,76,75,63,67,74,54,44,69,68,68,74,73,61,67,64,68,64,76,61,49,1
65,77,70,67,76,72,73,71,74,73,69,78,70,70,70,51,70,68,79,77,75,71,69,63,65,61,73,67,1
78,73,67,70,79,73,79,71,76,68,81,77,78,66,76,67,67,57,68,75,50,59,47,49,75,65,70,48,1
67,66,60,67,71,71,79,64,77,76,63,68,65,59,52,50,67,61,74,72,67,66,73,68,74,68,69,62,1
68,74,69,67,73,73,66,67,66,68,61,75,71,64,66,67,66,62,74,75,61,66,68,65,71,62,67,59,1
73,65,56,56,68,67,70,58,68,62,65,77,69,64,55,60,70,60,72,65,58,59,71,62,74,60,65,56,1
66,66,46,52,81,58,67,32,73,59,76,82,57,58,30,41,59,59,67,73,62,55,65,56,65,44,36,28,1
69,72,62,53,68,71,73,58,61,54,70,72,67,57,55,53,66,60,76,77,73,58,75,70,77,67,68,58,1
66,57,75,59,74,66,71,69,66,66,71,80,74,62,72,66,66,61,73,68,59,62,73,73,76,67,71,58,1
82,77,74,61,73,73,73,66,66,68,63,69,75,59,64,69,66,66,70,77,62,65,67,66,74,71,71,62,1
66,55,58,48,63,60,76,73,58,66,68,72,74,77,75,71,71,67,75,73,60,70,65,62,70,69,70,61,1
65,62,67,61,66,61,69,62,71,71,74,77,78,67,65,70,49,48,73,71,65,73,75,71,73,72,70,64,1
58,62,60,57,64,71,56,62,73,76,71,83,84,69,69,71,49,43,59,64,56,72,70,73,69,70,68,62,1
52,58,89,30,46,55,54,40,39,37,35,59,52,23,46,31,17,20,49,72,61,13,40,23,31,30,67,57,1
54,51,50,55,11,12,43,60,73,77,46,68,59,54,60,66,54,41,53,52,58,65,33,23,64,54,46,52,1
62,68,58,71,76,77,72,57,77,74,61,72,76,56,53,54,69,70,73,79,65,68,67,66,71,67,60,57,1
75,79,68,66,73,77,67,58,69,69,67,77,68,58,54,60,67,66,75,78,63,64,72,69,73,61,44,37,1
71,72,71,64,65,76,65,57,65,65,73,81,80,59,44,63,62,59,71,74,59,61,77,76,62,67,42,30,1
75,74,72,57,72,71,75,68,68,62,62,67,67,64,68,62,64,63,75,77,66,65,62,63,64,59,75,67,1
75,67,59,67,75,76,66,56,69,68,68,68,75,68,71,68,48,47,74,79,63,62,64,67,56,52,83,73,1
70,75,71,60,62,68,70,72,69,69,61,56,60,69,71,63,67,65,62,58,52,66,61,56,64,65,73,63,1
68,62,63,49,76,75,55,37,54,52,57,78,78,35,37,57,41,35,67,70,75,46,63,62,53,43,35,26,1
66,63,62,71,73,78,75,62,76,71,68,72,71,23,26,59,66,66,72,74,56,63,66,69,70,74,33,12,1
75,72,67,73,76,75,69,57,74,74,56,74,78,37,38,73,61,61,73,73,61,66,60,71,46,58,37,20,1
71,72,75,74,70,76,70,71,69,76,72,76,80,57,59,56,62,68,75,73,65,73,66,70,63,65,67,42,1
76,74,68,75,75,74,59,69,70,74,74,71,78,69,72,61,59,70,72,75,61,71,59,64,64,60,61,63,1
66,68,69,67,50,53,73,63,71,73,80,82,82,52,47,64,66,67,66,75,58,65,71,67,70,71,64,53,1
68,74,59,48,75,78,47,19,60,56,56,80,79,19,14,50,67,71,63,54,49,65,62,58,57,72,30,11,1
79,78,73,71,73,77,67,57,61,63,52,64,74,36,44,54,49,56,73,81,65,60,63,70,58,64,57,50,1
65,68,64,72,80,77,70,61,73,68,63,76,73,48,59,44,66,59,75,74,64,61,70,69,74,67,48,45,1
64,70,58,66,68,68,73,63,64,74,64,74,77,59,58,67,65,69,78,76,61,67,72,74,71,71,69,61,0
68,70,70,70,69,73,71,71,76,75,66,73,73,63,67,68,66,69,78,79,69,73,72,71,73,77,76,66,0
69,67,59,65,77,73,74,55,71,66,69,75,73,69,65,66,68,65,75,71,59,64,73,71,81,75,65,66,0
70,77,75,66,74,73,68,70,76,70,67,74,75,69,68,69,71,74,75,76,63,69,66,63,70,73,68,59,0
79,77,76,68,66,66,74,68,67,73,63,72,67,68,64,61,69,68,73,75,70,70,70,70,73,76,73,63,0
74,80,72,64,75,80,78,64,67,67,70,78,82,63,60,60,54,56,70,73,59,58,50,51,73,70,65,41,0
74,76,69,69,78,79,57,69,67,66,73,80,81,75,69,70,58,65,79,76,74,64,65,62,78,68,68,60,0
71,68,69,75,71,81,75,69,70,73,61,69,79,62,66,65,71,68,67,71,59,65,60,68,74,71,68,59,0
77,74,66,64,75,78,66,60,65,65,73,75,76,66,65,63,63,67,76,80,63,64,73,72,76,75,74,64,0
74,74,74,78,71,78,58,72,71,68,72,79,78,63,60,67,76,74,67,79,67,64,70,74,83,76,73,54,0
71,69,70,66,69,68,68,70,75,76,73,80,78,74,70,79,73,75,77,73,65,72,59,62,71,74,67,57,0
68,78,72,65,67,70,67,58,63,67,59,67,72,56,56,52,67,68,73,78,65,67,69,74,77,75,70,61,0
72,75,62,74,75,79,70,67,65,69,79,81,80,60,62,67,69,69,75,75,66,66,71,73,66,69,65,56,0
69,76,68,64,74,73,60,63,64,62,73,77,74,66,59,59,69,69,76,79,65,60,69,64,69,74,70,57,0
70,76,70,67,75,76,70,61,74,67,78,75,73,67,64,68,70,75,76,77,59,69,64,64,65,72,61,55,0
73,69,73,65,73,66,66,67,69,70,60,66,76,65,64,60,74,71,77,79,61,70,62,63,73,76,69,59,0
78,78,67,68,72,75,74,66,66,67,66,78,80,67,72,67,67,65,77,78,61,66,51,57,77,67,76,59,0
75,75,68,77,76,78,74,65,67,75,74,74,77,61,58,67,61,63,75,75,66,61,77,74,69,67,66,58,0
66,72,71,63,61,62,61,62,72,77,69,72,78,69,69,74,64,63,66,70,58,69,75,77,77,77,77,64,0
73,78,68,59,59,76,71,66,70,68,65,79,68,62,66,78,68,69,70,76,65,67,62,72,69,72,68,59,0
67,69,70,70,73,78,69,65,70,77,69,73,79,56,58,64,68,68,69,74,62,70,73,77,74,77,72,65,0
78,84,68,57,71,70,71,53,63,67,54,71,71,54,57,57,62,64,75,72,62,64,64,67,72,77,62,65,0
74,76,67,75,75,76,71,61,66,70,67,76,72,56,61,62,67,73,76,74,58,68,66,76,70,72,68,56,0
53,60,74,67,64,65,71,71,72,70,70,75,78,71,71,64,67,71,71,74,62,73,57,57,64,71,69,49,0
63,70,70,62,68,68,70,67,71,69,65,76,78,65,64,71,70,71,73,74,58,71,70,72,77,79,79,66,0
66,68,76,62,63,68,74,68,71,68,58,65,66,64,70,60,70,72,71,77,67,71,63,63,70,72,79,59,0
69,71,65,66,69,79,76,62,74,71,58,76,78,68,66,68,68,68,71,74,59,66,73,71,78,74,70,55,0
75,72,71,56,70,75,76,72,76,73,68,79,76,66,73,68,72,75,72,75,65,67,58,57,72,72,71,58,0
80,78,69,71,73,76,68,61,68,68,67,74,80,57,62,65,61,65,71,76,63,67,70,74,63,72,70,64,0
73,72,70,56,64,62,76,62,63,58,63,75,76,75,77,62,74,68,77,77,70,64,59,58,69,66,75,59,0
68,67,68,64,69,65,62,67,74,68,65,74,75,63,63,64,56,61,62,68,66,58,57,48,75,64,74,58,0
70,78,72,69,71,73,72,62,65,62,72,79,78,66,67,61,68,76,72,78,65,63,64,67,67,77,66,57,0
74,70,63,57,64,64,73,59,65,63,63,72,73,75,68,58,69,66,72,76,64,65,63,65,75,80,67,67,0
71,74,66,69,74,72,70,66,73,72,75,81,81,71,70,82,69,72,76,74,60,66,64,64,73,72,63,58,0
75,80,70,56,72,70,73,65,69,69,73,81,77,67,64,66,69,68,70,75,63,63,74,77,81,78,75,66,0
72,72,71,67,73,76,71,61,67,64,74,77,77,61,61,58,63,69,76,75,64,67,68,70,70,71,67,54,0
67,71,68,62,77,61,67,71,67,64,62,64,75,76,79,70,71,77,71,69,56,64,56,53,71,68,63,56,0
73,75,77,62,74,75,65,70,66,69,67,74,75,66,71,61,64,69,73,76,64,64,65,60,68,75,80,68,0
72,72,74,66,71,69,69,64,68,68,70,77,77,49,48,69,70,69,76,79,63,69,71,73,73,75,56,44,0
69,66,69,62,68,66,68,68,70,69,66,73,72,67,63,57,70,68,75,75,65,65,65,64,67,69,68,59,0
