"var760","var1882","var3320"
2.00432137378264,2.00432137378264,3.05037975626146
2.00432137378264,2.00432137378264,3.00732095292274
2.35602585719312,2.00432137378264,2.63245729218472
2.27875360095283,2.39967372148104,2.00432137378264
2.70156798505593,2.00432137378264,2.8109042806687
2.00432137378264,2.70156798505593,2.27646180417324
2.00432137378264,2.00432137378264,2.6730209071289
2.00432137378264,2.00432137378264,2.77232170672292
2.02530586526477,2.03342375548695,3.05766610390983
2.00432137378264,2.00432137378264,2.88649072517248
2.00432137378264,2.59659709562646,3.14332712999205
3.58793534863636,4.06770304404007,3.38792346697344
2.9982593384237,3.43870053290074,3.36847283844036
3.97469587190968,4.20414712521285,2.73399928653839
2.92992956008459,4.20414712521285,3.55254654795566
3.35063560825895,4.03092339962722,3.03502928220237
2.27415784926368,2.55630250076729,2.93550726582471
2.23044892137827,2.74350976472843,2.98855895687862
3.30341207059674,3.5009222391903,2.85853719756964
3.17143390094301,4.15210480089287,3.37894269861344
2.60959440922522,2.25767857486918,2.75739602879302
3.62096843564429,3.3911116137028,2.85973856619715
2.14921911265538,2.09342168516224,3.01029995663981
3.83972937520639,4.20414712521285,3.01325866528352
3.89253980465864,4.20414712521285,3.39846084960822
2.81888541459401,3.51772359483374,3.50392680419351
3.1296898921993,4.10503305039359,3.37106786227174
2.02938377768521,3.3230457354817,2.88986172125819
2.53655844257153,3.32035403281767,2.99738638439731
2.31175386105575,2.2148438480477,3.02118929906994
2.25285303097989,2.00432137378264,3.17522180034305
2.07188200730613,2.38021124171161,2.83442070368153
2.00860017176192,2.00432137378264,2.96941591235398
2.00432137378264,2.6570558528571,3.01283722470517
