"201555_at","201798_s_at","202683_s_at","203139_at","203928_x_at","203963_at","204681_s_at","204825_at","204914_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","206401_s_at","208670_s_at","208893_s_at","209560_s_at","209603_at","211864_s_at","212344_at","212583_at","214164_x_at","214612_x_at","215867_x_at","216092_s_at","218856_at","218862_at","220034_at","Class"
9.9499,10.8345,8.8732,8.814,10.986,12.4052,8.7098,7.9851,4.5686,8.3232,4.8386,9.0616,5.2933,5.445,8.7696,10.6463,8.8319,7.6049,7.6698,11.979,9.2348,11.6005,7.5912,12.7392,6.2012,12.5744,10.6963,6.8392,10.4625,6.6028,"2"
9.6616,11.4169,8.5511,8.7652,8.1054,10.4033,8.1223,5.2744,6.6256,7.4873,11.9784,7.7288,4.3142,6.3482,7.055,8.2532,9.8519,8.9154,11.5012,10.8744,10.1938,8.1512,7.5112,10.9092,7.0485,11.0575,9.378,10.2503,9.8143,5.8614,"1"
9.4638,10.0144,8.5826,9.4426,8.3152,9.8307,7.5006,5.9481,6.1259,8.2573,12.5884,7.156,4.524,6.0619,6.8984,7.4477,9.3521,9.1121,7.7658,8.0211,8.4931,8.0329,4.692,10.6696,5.5564,11.0769,9.384,10.6432,9.3484,7.916,"2"
9.6843,11.7944,8.7651,8.3725,10.3776,11.6533,8.4397,7.2743,3.8915,7.4642,7.4246,10.4775,5.6629,6.4097,10.1242,10.3491,9.0844,4.9278,7.3802,12.1921,10.5216,10.2223,7.4438,12.1329,3.9435,12.1168,10.1166,6.51,9.9697,3.0669,"2"
9.5383,9.7407,8.885,9.6763,7.0525,10.2096,6.8744,7.7976,4.8553,8.1481,3.8018,8.6446,7.2584,7.7306,7.6511,8.0488,8.4021,9.1944,7.8564,8.9641,7.677,8.1494,7.005,11.1382,8.2632,11.4462,7.8887,6.3863,9.1053,7.0706,"2"
10.1847,10.0696,8.7421,7.9845,7.6079,9.851,6.9657,8.8661,7.7365,8.4326,8.5915,6.6745,8.1876,4.4014,7.4822,4.3977,9.681,8.9311,6.3209,8.8958,9.0195,8.1958,6.4889,10.6727,4.3995,10.5644,9.1651,9.2757,9.3359,6.2262,"1"
8.9335,10.6966,9.1022,8.7043,11.2617,12.3342,6.3186,7.4989,5.0691,7.368,2.7006,8.0934,7.1276,5.2843,9.5151,10.9757,8.5916,4.5641,7.4178,8.8227,9.639,9.3505,7.2498,13.092,7.1582,13.0713,9.9279,6.3468,10.8368,3.6442,"2"
10.8099,10.3963,8.705,10.2643,7.0836,7.5858,7.128,10.8174,7.8055,9.4141,3.8043,6.2711,4.2758,4.4349,1.6942,5.6453,8.8679,5.9741,6.4118,7.869,9.0955,6.7431,3.837,7.929,4.3282,8.2609,7.631,5.5129,8.5617,6.1997,"2"
10.6846,11.4664,8.9567,9.741,4.9445,7.0641,5.7255,11.3633,3.6418,6.9553,2.6793,6.0501,4.8917,4.1782,5.2208,4.8202,8.8598,7.3218,6.7974,5.384,9.5613,5.9878,3.8535,8.2914,4.9114,8.1673,9.2011,8.8579,8.7449,3.9349,"2"
9.4622,10.2514,7.9078,8.827,11.2567,11.1123,8.0388,7.7172,4.17,8.2267,6.4989,8.5107,8.5642,6.0803,7.3974,11.0537,9.2278,5.1121,8.2175,10.6131,8.5314,9.0371,8.4906,11.749,11.7263,11.8937,10.0632,8.2055,10.5702,6.3171,"2"
