"V2","V4","V5","V7","V9","V11","V12","V13","V14","V15","V16","V17","V18","V19","V21","V22","V23","V24","V25","V27","V28","V29","V30","V31","V32","V33","V34","V37","V38","V40","V41","V42","V45","Class"
59,70,67,66,61,52,72,71,70,77,66,65,67,55,57,68,66,72,74,64,56,54,67,54,76,74,65,56,62,72,62,74,67,1
72,69,67,82,65,63,70,70,72,74,70,71,72,75,65,73,78,74,79,69,69,70,71,69,72,70,62,71,63,69,73,67,58,1
71,70,64,64,65,69,72,71,68,65,61,61,73,71,74,80,74,54,47,37,77,68,72,59,72,68,60,70,66,64,55,61,46,1
69,70,78,63,65,59,66,69,71,75,65,58,60,55,59,67,66,74,74,60,57,54,70,73,69,76,62,61,66,72,73,68,63,1
70,61,66,58,69,68,62,71,71,71,63,59,74,75,69,83,77,73,70,37,39,40,58,46,75,73,65,69,70,70,64,60,41,1
57,68,75,74,71,61,72,74,73,69,61,58,60,55,62,79,70,77,71,63,69,55,61,68,75,74,63,58,69,79,77,72,65,1
69,62,75,71,76,70,66,69,71,80,66,64,71,77,61,72,67,71,69,57,69,65,68,65,76,73,63,70,72,69,68,70,59,1
61,60,62,72,67,68,76,70,74,71,76,74,74,70,66,69,62,65,60,65,68,59,64,59,72,65,55,66,66,60,58,60,52,1
65,67,68,67,71,56,73,72,68,69,56,57,67,62,66,80,76,80,78,47,48,36,68,65,74,73,60,63,74,77,79,68,56,1
74,72,79,61,66,64,78,74,62,57,48,36,62,50,63,79,70,61,57,36,69,49,55,65,74,73,58,62,73,62,67,60,46,1
70,60,62,60,77,69,73,68,68,70,69,65,76,75,64,67,74,56,60,44,68,69,68,68,74,73,61,67,64,64,76,64,49,1
67,65,77,70,72,67,76,72,73,76,74,71,74,73,61,78,70,76,73,70,62,51,70,68,79,77,75,71,69,65,61,73,67,1
76,78,73,67,70,70,79,73,79,75,74,71,76,68,79,77,78,75,76,76,65,67,67,57,68,75,50,59,47,75,65,74,48,1
70,67,66,60,77,67,71,71,79,79,70,64,77,76,54,68,65,72,67,52,56,50,67,61,74,72,67,66,73,74,68,77,62,1
78,68,74,69,74,67,73,73,66,71,64,67,66,68,66,75,71,60,62,66,65,67,66,62,74,75,61,66,68,71,62,69,59,1
67,73,65,56,63,56,68,67,70,62,70,58,68,62,59,77,69,68,59,55,65,60,70,60,72,65,58,59,71,74,60,76,56,1
70,66,66,46,58,52,81,58,67,58,68,32,73,59,51,82,57,76,54,30,69,41,59,59,67,73,62,55,65,65,44,73,28,1
63,69,72,62,57,53,68,71,73,78,64,58,61,54,61,72,67,72,68,55,61,53,66,60,76,77,73,58,75,77,67,78,58,1
62,66,57,75,59,59,74,66,71,65,67,69,66,66,72,80,74,71,63,72,62,66,66,61,73,68,59,62,73,76,67,77,58,1
